
[00:00:00.000 --> 00:00:02.560]  各位網友 今天我們來談一談
[00:00:02.560 --> 00:00:04.600]  關於金錢風險的問題
[00:00:04.600 --> 00:00:06.400]  今天我們來談一談
[00:00:06.400 --> 00:00:08.200]  關於金錢風險的問題
[00:00:08.200 --> 00:00:09.720]  今天我們來談一談
[00:00:09.720 --> 00:00:11.520]  關於金錢風險的問題
[00:00:11.520 --> 00:00:13.320]  關於金錢風險的問題
[00:00:13.320 --> 00:00:15.360]  關於金錢風險的問題
[00:00:15.360 --> 00:00:17.160]  關於金錢風險的問題
[00:00:17.160 --> 00:00:19.200]  關於金錢風險的問題
[00:00:19.200 --> 00:00:21.760]  關於金錢風險的問題
[00:00:21.760 --> 00:00:23.560]  關於金錢風險的問題
[00:00:23.560 --> 00:00:25.600]  關於金錢風險的問題
[00:00:25.600 --> 00:00:27.400]  關於金錢風險的問題
[00:00:27.400 --> 00:00:29.440]  關於金錢風險的問題
[00:00:29.440 --> 00:00:32.760]  很少我會談金錢風險這個主題
[00:00:32.760 --> 00:00:33.800]  但今天說
[00:00:33.800 --> 00:00:36.360]  不是因為教會真的有需要 我不知道
[00:00:36.360 --> 00:00:37.640]  可能有需要
[00:00:37.640 --> 00:00:39.680]  我又不是收到什麼內幕消息
[00:00:39.680 --> 00:00:40.960]  有什麼情況
[00:00:40.960 --> 00:00:43.260]  而是我想用另一個角度來看
[00:00:43.260 --> 00:00:46.340]  就是屬靈的操練
[00:00:46.340 --> 00:00:48.900]  原來奉獻多一種的操練
[00:00:48.900 --> 00:00:50.440]  因為聖經很清楚說
[00:00:50.440 --> 00:00:52.740]  你的財寶在裡面
[00:00:52.740 --> 00:00:55.560]  你的心在哪裡
[00:00:55.560 --> 00:00:58.360]  所以我們可以說得很天花龍鳳
[00:00:58.360 --> 00:01:01.180]  但是你的財寶在哪裡
[00:01:01.180 --> 00:01:02.680]  哪樣東西看重的話
[00:01:02.680 --> 00:01:05.240]  其實反映你的生命在哪裡
[00:01:05.240 --> 00:01:08.440]  所以今天是用一個主題
[00:01:08.440 --> 00:01:10.600]  就是見己於主
[00:01:10.600 --> 00:01:14.360]  在奉獻上我們應該有什麼學習的地方
