
[00:00:00.000 --> 00:00:02.000]  請節目友平安
[00:00:02.000 --> 00:00:04.000]  感謝神的恩典
[00:00:04.000 --> 00:00:06.000]  讓我們繼續在創世記里
[00:00:06.000 --> 00:00:10.000]  跟大家分享信息
[00:00:10.000 --> 00:00:14.000]  今天我會跟大家分享
[00:00:14.000 --> 00:00:20.000]  信心之父也是常人的信息
[00:00:20.000 --> 00:00:22.000]  有很多人說
[00:00:22.000 --> 00:00:26.000]  我不是像某某人那樣
[00:00:26.000 --> 00:00:30.000]  他那些是屬靈人
[00:00:30.000 --> 00:00:32.000]  我就是很熟悉的
[00:00:32.000 --> 00:00:34.000]  我也是不行的
[00:00:34.000 --> 00:00:36.000]  我看到那些領袖的時候
[00:00:36.000 --> 00:00:38.000]  我很羨慕
[00:00:38.000 --> 00:00:40.000]  但我不會做得到
[00:00:40.000 --> 00:00:44.000]  我今天就很想和大家分享
[00:00:44.000 --> 00:00:46.000]  世界上有沒有一些一生出來
[00:00:46.000 --> 00:00:48.000]  他就是屬靈人
[00:00:48.000 --> 00:00:50.000]  一生出來就是領袖
[00:00:50.000 --> 00:00:52.000]  我告訴大家
[00:00:52.000 --> 00:00:58.000]  無論你在聖經里找任何一個人物
[00:00:58.000 --> 00:01:00.000]  你都可以找到的
[00:01:00.000 --> 00:01:04.000]  沒有任何一個人一出世
[00:01:04.000 --> 00:01:06.000]  就定了他是屬靈人
[00:01:06.000 --> 00:01:08.000]  就定了他是聖潔的
[00:01:08.000 --> 00:01:10.000]  是完全的
[00:01:10.000 --> 00:01:12.000]  所以他能夠做到這麼多
[00:01:12.000 --> 00:01:14.000]  這麼偉大的事
[00:01:14.000 --> 00:01:18.000]  我今天要找的這個人物
[00:01:18.000 --> 00:01:22.000]  是我相信在整本聖經裡面
[00:01:22.000 --> 00:01:24.000]  最出名的一個
[00:01:24.000 --> 00:01:28.000]  是最神、最愛的一個
[00:01:28.000 --> 00:01:30.000]  另一方面他成就的東西
[00:01:30.000 --> 00:01:36.000]  是遠比任何一個其他的信徒都要大的一個
[00:01:36.000 --> 00:01:38.000]  他是誰呢?
[00:01:38.000 --> 00:01:41.000]  就是在今天整個世界裡面
[00:01:41.000 --> 00:01:44.000]  超過一半以上的人口
[00:01:44.000 --> 00:01:52.000]  都敬他、敬重他、尊敬他、佩服他
[00:01:52.000 --> 00:01:56.000]  甚至認他是他們的國父
[00:01:56.000 --> 00:01:59.000]  認他是他們信心之父
[00:01:59.000 --> 00:02:04.000]  認他是他們最偉大的一個仙子
[00:02:04.000 --> 00:02:08.000]  這個人的名字叫阿伯拉罕
[00:02:08.000 --> 00:02:11.000]  他原本的名字叫阿伯蘭
[00:02:11.000 --> 00:02:15.000]  我希望從創世記裡面
[00:02:15.000 --> 00:02:18.000]  就是在他的生平
[00:02:18.000 --> 00:02:23.000]  我們找出他有七次不同的試煉
[00:02:23.000 --> 00:02:26.000]  在七次不同的試煉裡面
[00:02:26.000 --> 00:02:28.000]  他有失敗的
[00:02:28.000 --> 00:02:30.000]  同樣他有成功的
[00:02:30.000 --> 00:02:36.000]  我希望能夠分三次和大家分享
[00:02:36.000 --> 00:02:40.000]  第一次是他成功了
[00:02:40.000 --> 00:02:44.000]  第一次是信心開啓的時期
[00:02:44.000 --> 00:02:47.000]  創世記的十二章到十四章
[00:02:47.000 --> 00:02:52.000]  第二次就是信心成長的時期
[00:02:52.000 --> 00:02:57.000]  創世記的十五章一直到二十一章
[00:02:57.000 --> 00:03:01.000]  第三次是信心的高峰時期
[00:03:01.000 --> 00:03:05.000]  由二十二章一直到二十四章
[00:03:05.000 --> 00:03:09.000]  我們首先要和大家分享
[00:03:09.000 --> 00:03:13.000]  就是他信心的開啓時期
[00:03:13.000 --> 00:03:17.000]  上一講和大家說到
[00:03:17.000 --> 00:03:22.000]  因信而離開和因信聽神的指令
[00:03:22.000 --> 00:03:26.000]  去進入神應許的地
[00:03:26.000 --> 00:03:33.000]  我們看到這是上一講和大家分享的主題
[00:03:33.000 --> 00:03:37.000]  我們看到非常清楚
[00:03:37.000 --> 00:03:40.000]  阿不蘭是急革的
[00:03:40.000 --> 00:03:44.000]  是完成了這個呼召
[00:03:44.000 --> 00:03:47.000]  所以第一個試煉本身
[00:03:47.000 --> 00:03:50.000]  神要他離開本地本族和父家
[00:03:50.000 --> 00:03:55.000]  神指示他要去的地方
[00:03:55.000 --> 00:03:57.000]  然後神對他的應許就是
[00:03:57.000 --> 00:03:59.000]  我必我必我必我必
