
[00:00:00.000 --> 00:00:08.000]  最近我參加了一個很短的課程
[00:00:08.000 --> 00:00:15.200]  這個課程叫做如何跳出個人的偏見
[00:00:15.200 --> 00:00:20.400]  這個課程介紹了很多不同類型的偏見
[00:00:20.400 --> 00:00:24.200]  或者偏見的由來
[00:00:24.200 --> 00:00:30.400]  包括書包的有些叫做implicit biases
[00:00:30.400 --> 00:00:34.600]  有一種叫做affinity biases
[00:00:34.600 --> 00:00:36.000]  有很多種的
[00:00:36.000 --> 00:00:39.000]  其實在這個課程裏面
[00:00:39.000 --> 00:00:42.600]  很多我都不在研究什麼叫偏見
[00:00:42.600 --> 00:00:44.600]  所以不一一列舉了
[00:00:44.600 --> 00:00:48.800]  但其中有一樣很有趣的問題就是
[00:00:48.800 --> 00:00:54.000]  他教我們如何排除偏見
[00:00:54.000 --> 00:00:58.400]  其中一個很重要的方法
[00:00:58.400 --> 00:01:03.000]  就是不斷向自己發問題
[00:01:03.000 --> 00:01:08.600]  簡單的用廣東話說就是反省
[00:01:08.600 --> 00:01:13.600]  其實用英文說reflection
[00:01:13.600 --> 00:01:16.600]  你問一些問題去問一下自己
[00:01:16.600 --> 00:01:20.400]  究竟為什麼我會有這種偏見呢
[00:01:20.400 --> 00:01:23.400]  這種偏見的源由在哪裡呢
[00:01:23.400 --> 00:01:33.000]  他說會發現大部分的偏見都是由個人的慣性來造成的
[00:01:33.000 --> 00:01:34.200]  什麼叫慣性呢
[00:01:34.200 --> 00:01:38.600]  就是可能你從小到大都是這樣接觸一件事
[00:01:38.600 --> 00:01:39.800]  這樣去看一件事
[00:01:39.800 --> 00:01:43.800]  因為你的文化背景是這樣的構造
[00:01:43.800 --> 00:01:48.600]  於是乎你就成為一種常規
[00:01:48.600 --> 00:01:52.600]  來量度每一種其他的現象
[00:01:52.600 --> 00:01:55.400]  最簡單的例子就是
[00:01:55.400 --> 00:02:00.200]  用你的民族文化
[00:02:00.200 --> 00:02:03.200]  譬如我們中國人
[00:02:03.200 --> 00:02:05.200]  我們叫做中國人
[00:02:05.200 --> 00:02:09.400]  準確一點我們叫做華人或者漢人
[00:02:09.400 --> 00:02:13.000]  什麼人都好不要緊都是一個名堂
[00:02:13.000 --> 00:02:19.200]  我們很多時候都會用一種華人的觀念去看
[00:02:19.200 --> 00:02:21.600]  文化傳統是怎樣的
[00:02:21.600 --> 00:02:27.000]  譬如吃的東西是怎樣處理的
[00:02:27.000 --> 00:02:30.600]  但就因為這種背景
[00:02:30.600 --> 00:02:34.000]  就造成了他們對一些不同的民族
[00:02:34.000 --> 00:02:36.000]  不同的習慣
[00:02:36.000 --> 00:02:41.600]  有一種很大的批評甚至可能是否定
[00:02:41.600 --> 00:02:44.600]  華人通常都怎樣吃東西的
[00:02:44.600 --> 00:02:48.600]  通常就是用筷子
[00:02:48.600 --> 00:02:51.600]  你會說牧師我不用筷子的
[00:02:51.600 --> 00:02:53.600]  那是另一回事
[00:02:53.600 --> 00:02:58.600]  但當你看到印度人
[00:02:58.600 --> 00:03:02.600]  吃東西的時候很喜歡用手去吃
[00:03:02.600 --> 00:03:04.600]  那你就會覺得
[00:03:04.600 --> 00:03:06.600]  第一樣就是有一個批評
[00:03:06.600 --> 00:03:08.600]  譬如不衛生
[00:03:08.600 --> 00:03:13.600]  如果用現在的量度就更加重要
[00:03:13.600 --> 00:03:17.600]  現在我們對健康很緊張
[00:03:17.600 --> 00:03:19.600]  傳染病毒
[00:03:19.600 --> 00:03:22.600]  這種就是偏見
[00:03:22.600 --> 00:03:25.600]  因為我們按照我們個人的一種順性
[00:03:25.600 --> 00:03:30.600]  去量度其他人
[00:03:30.600 --> 00:03:34.600]  為了避免這種情況
[00:03:34.600 --> 00:03:38.600]  繼續衍生甚至變成傷害的層次
[00:03:38.600 --> 00:03:40.600]  於是在這個課程就說
[00:03:40.600 --> 00:03:43.600]  你去問一下我為什麼要這樣批評他
