
[00:00:00.000 --> 00:00:07.560]  今天我們來到看馬太福音第23章
[00:00:07.560 --> 00:00:11.760]  我們會看到第16至第26節
[00:00:11.760 --> 00:00:15.360]  我們會看看第二個環節
[00:00:15.360 --> 00:00:21.520]  關於這個末世教會的教徒的模樣第二講
[00:00:21.520 --> 00:00:24.520]  我相信在這段聖經裡
[00:00:24.520 --> 00:00:36.840]  耶穌基督最扎心的是看到很多本應要對父神最有心的人
[00:00:36.840 --> 00:00:45.240]  但他們卻失去了對天父的尊重和惦掛
[00:00:45.240 --> 00:00:47.240]  在這樣的情況下
[00:00:47.240 --> 00:00:54.680]  天父與耶穌基督的扎心是怎樣呢?
[00:00:54.680 --> 00:00:57.480]  今天我們一起來看這段聖經
[00:00:57.480 --> 00:00:59.480]  一起與心低頭禱告
[00:00:59.480 --> 00:01:03.880]  天父多謝你讓我們在這段聖經裡學習
[00:01:03.880 --> 00:01:10.760]  讓我們在多方面對主你的教導有更深入的認識
[00:01:10.760 --> 00:01:14.760]  更重要的是讓我們明白體貼你的心腸
[00:01:14.760 --> 00:01:17.800]  求你的幫助和帶領
[00:01:17.800 --> 00:01:21.800]  讓今天無論在上線或下線
[00:01:21.800 --> 00:01:27.160]  無論在不同年紀的層面
[00:01:27.160 --> 00:01:35.880]  都讓我們重拾那份對父神關懷彼此的心的回應
[00:01:35.880 --> 00:01:37.880]  正確的回應
[00:01:37.880 --> 00:01:39.880]  求你的幫助
[00:01:39.880 --> 00:01:45.720]  讓我們不枉成為你的屬靈兒女
[00:01:45.720 --> 00:01:49.480]  禱告奉靠主耶穌基督德性的名字而求
[00:01:49.480 --> 00:01:51.480]  Come on
[00:01:51.480 --> 00:01:53.480]  正如我剛才所說
[00:01:53.480 --> 00:01:55.480]  很多時候天父最扎心的就是
[00:01:55.480 --> 00:02:02.280]  那些本應該是對父神最有心思明白的人
[00:02:02.280 --> 00:02:05.320]  但他們的心卻是遠離父神
[00:02:05.320 --> 00:02:07.320]  為什麼會有這樣的情況呢?
[00:02:07.320 --> 00:02:12.120]  我相信其中一個最大的原因就是
[00:02:12.120 --> 00:02:14.120]  人很喜歡威風
[00:02:14.120 --> 00:02:16.120]  這個在前文我們已經說過了
[00:02:16.120 --> 00:02:18.120]  在馬太福音裡
[00:02:18.120 --> 00:02:22.120]  為什麼那些文士、祭司、法尼賽人
[00:02:22.120 --> 00:02:26.120]  他們這麼容易在一個這麼好的位份裡
[00:02:26.120 --> 00:02:30.120]  我們稱為一個很有福氣的位份裡
[00:02:30.120 --> 00:02:32.120]  在聖殿當中去敬拜
[00:02:32.120 --> 00:02:36.120]  在神的話裡有機會去傳講
[00:02:36.120 --> 00:02:38.120]  但他們的心卻是遠離父神
[00:02:38.120 --> 00:02:42.120]  因為他們很想威風
[00:02:42.120 --> 00:02:44.120]  威風會害很多人
[00:02:44.120 --> 00:02:48.120]  所以在聖經23章的第一節裡
[00:02:48.120 --> 00:02:52.120]  我們看到這群人為了要威風文士、法尼賽人
[00:02:52.120 --> 00:02:58.120]  甚至要在聖殿裡坐在摩西的圍牆
[00:02:58.120 --> 00:03:02.120]  這種情況不是來到新約才有
[00:03:02.120 --> 00:03:04.120]  其實早在舊約的時候
[00:03:04.120 --> 00:03:10.120]  同樣發生在這個時詩記裡
[00:03:10.120 --> 00:03:12.120]  我們記載到有些時詩
[00:03:12.120 --> 00:03:16.120]  特別第一代的時詩
[00:03:16.120 --> 00:03:18.120]  他們面對的米加
[00:03:18.120 --> 00:03:20.120]  這類型的祭司
[00:03:20.120 --> 00:03:26.120]  他們同樣很希望自己去威風
[00:03:26.120 --> 00:03:32.120]  所以在敬拜裡安插一個寶座
[00:03:32.120 --> 00:03:38.120]  坐在上面顯得自己高高在上
[00:03:38.120 --> 00:03:40.120]  或者靈性比其他人超越
[00:03:40.120 --> 00:03:44.120]  這種情況在今天延續下去
[00:03:44.120 --> 00:03:46.120]  這種延續其實不是一件好事
[00:03:46.120 --> 00:03:48.120]  簡單的例子
[00:03:48.120 --> 00:03:52.120]  有時候我去同工會
[00:03:52.120 --> 00:03:54.120]  其實我是同工會的早年
[00:03:54.120 --> 00:04:00.120]  多倫多同工團契的會員
[00:04:00.120 --> 00:04:06.120]  不過近十年來
[00:04:06.120 --> 00:04:08.120]  因為自己要讀書
[00:04:08.120 --> 00:04:10.120]  比較忙
[00:04:10.120 --> 00:04:14.120]  所以少去不代表不去
[00:04:14.120 --> 00:04:16.120]  通常我都會去
[00:04:16.120 --> 00:04:18.120]  但去到的時候
[00:04:18.120 --> 00:04:20.120]  發現到現在的情況很特別
[00:04:20.120 --> 00:04:22.120]  原來在同工團契裡
