
[00:00:00.000 --> 00:00:05.000]  各位觀眾好,我是黃牧師
[00:00:05.000 --> 00:00:08.680]  今天是復活節的主日
[00:00:08.680 --> 00:00:13.840]  我們會再一次透過神的話去思想
[00:00:13.840 --> 00:00:17.280]  耶穌基督為我們所建造的拯救
[00:00:17.280 --> 00:00:19.040]  成就這個救恩之後
[00:00:19.040 --> 00:00:21.280]  我們應該怎樣去回應
[00:00:21.280 --> 00:00:25.000]  今天我們會看的經文是詩篇第20篇
[00:00:25.000 --> 00:00:28.600]  今天講到的題目叫做「德勝的君王」
[00:00:28.600 --> 00:00:32.080]  讓我們先聽神的道義,先同心的禱告
[00:00:32.080 --> 00:00:33.200]  是給你天父多謝你
[00:00:33.200 --> 00:00:36.160]  讓我們能夠在復活節的主日裡
[00:00:36.160 --> 00:00:39.000]  繼續去仰望你
[00:00:39.000 --> 00:00:40.560]  讓我們有生命有氣息
[00:00:40.560 --> 00:00:44.360]  能夠將主你的道理更仔細地去明白
[00:00:44.360 --> 00:00:47.400]  並且讓我們的生命能夠更加貼近你
[00:00:47.400 --> 00:00:49.160]  父神求你的幫助
[00:00:49.160 --> 00:00:51.960]  讓我們今年所過的復活節
[00:00:51.960 --> 00:00:53.280]  不是一個徒然
[00:00:53.280 --> 00:00:57.240]  而是真是著實地將復活的盼望
[00:00:57.240 --> 00:00:59.360]  藉著你的愛子耶穌成就
[00:00:59.360 --> 00:01:01.480]  落實在我們的生命當中
[00:01:01.480 --> 00:01:03.800]  也從而讓我們看見你的拯救
[00:01:03.800 --> 00:01:06.760]  不單只是人,而是整個創造
[00:01:06.760 --> 00:01:08.000]  求你與我們同在
[00:01:08.000 --> 00:01:12.200]  讓聖靈與我們一起去聆聽主你的說話
[00:01:12.200 --> 00:01:15.120]  去更加明白上帝你的心思意念
[00:01:15.120 --> 00:01:15.800]  多謝你
[00:01:15.800 --> 00:01:19.080]  我們同心禱告感恩奉靠主耶穌基督
[00:01:19.080 --> 00:01:21.080]  德勝的名字求,阿們
[00:01:21.080 --> 00:01:25.080]  今天我會和大家一起看的經文是
