
[00:00:00.000 --> 00:00:05.200]  各位睇音姐妹 各位朋友 你們好
[00:00:05.200 --> 00:00:08.200]  歡迎大家參加我們三藩市播道會
[00:00:08.200 --> 00:00:10.200]  網上五行崇拜
[00:00:10.200 --> 00:00:15.200]  今日我們繼續思想論盡人心這個系列
[00:00:15.200 --> 00:00:20.200]  題目叫「家家有本難唸的記」
[00:00:20.200 --> 00:00:27.200]  經元記載在創世紀第十六章一至十三節
[00:00:27.200 --> 00:00:32.200]  未開始思想這段聖經前請你同心一同祈禱
[00:00:32.200 --> 00:00:36.200]  慈悲人天父我們滿心感謝你
[00:00:36.200 --> 00:00:39.200]  你不單創造了阿當
[00:00:39.200 --> 00:00:42.200]  你更創造了阿娃
[00:00:42.200 --> 00:00:44.200]  叫你組織家庭
[00:00:44.200 --> 00:00:47.200]  叫你生育眾多片滿全地
[00:00:47.200 --> 00:00:51.200]  我們看看今天的世界
[00:00:51.200 --> 00:00:54.200]  很多家庭破碎
[00:00:54.200 --> 00:00:58.200]  婚姻發生很大的問題
[00:00:58.200 --> 00:01:01.200]  家家有本難唸的經
[00:01:01.200 --> 00:01:04.200]  是因為人犯罪的緣故
[00:01:04.200 --> 00:01:07.200]  而致家庭撕裂
[00:01:07.200 --> 00:01:10.200]  求你真的祝福
[00:01:10.200 --> 00:01:13.200]  幫助我們看到我們自己的罪
[00:01:13.200 --> 00:01:16.200]  以致能夠回到主耶穌基督面前
[00:01:16.200 --> 00:01:18.200]  悔改認罪
[00:01:18.200 --> 00:01:21.200]  要求你保守我們的家庭
[00:01:21.200 --> 00:01:23.200]  成為神祝福的家庭
[00:01:23.200 --> 00:01:26.200]  因為你是我們一家之主
[00:01:26.200 --> 00:01:28.200]  求你藉著你的話語
[00:01:28.200 --> 00:01:33.200]  去提醒、怨勉、教導、安慰、督責我們
[00:01:33.200 --> 00:01:34.200]  我們這樣禱告
[00:01:34.200 --> 00:01:36.200]  那是奉耶穌基督名求
[00:01:36.200 --> 00:01:38.200]  阿們
[00:01:38.200 --> 00:01:40.200]  中國儒家的思想
[00:01:40.200 --> 00:01:45.200]  修身齊家治國平天下
[00:01:45.200 --> 00:01:49.200]  身不修家不齊
[00:01:49.200 --> 00:01:52.200]  家不齊國不治
[00:01:52.200 --> 00:01:55.200]  天下永遠不會有太平
[00:01:55.200 --> 00:01:57.200]  俗語說
[00:01:57.200 --> 00:02:00.200]  家和萬事興家衰好不停
[00:02:00.200 --> 00:02:02.200]  整個社會的安定
[00:02:02.200 --> 00:02:05.200]  國是亂是治
