
[00:00:00.000 --> 00:00:07.000]  我還沒拍過照是慶幸自己肯爭
[00:00:07.000 --> 00:00:12.200]  今天很開心這個題目 這個題目挺好談的
[00:00:12.200 --> 00:00:18.140]  資料搜集要很多 很開心你們提出很多好的問題
[00:00:18.140 --> 00:00:22.760]  我特別帶了老花眼鏡來 準備在這裏展示上次
[00:00:22.760 --> 00:00:24.760]  我沒有戴眼鏡 很多時候看不到
[00:00:24.760 --> 00:00:28.920]  這次我會一邊回答一邊談
[00:00:28.920 --> 00:00:35.600]  第一個問題 你要想 如果團契改選
[00:00:35.600 --> 00:00:41.720]  如果總選一個男的組長 部長
[00:00:41.720 --> 00:00:47.160]  很不自覺的 每個人都說選個女的 插他
[00:00:47.160 --> 00:00:52.800]  下面很容易看到 一個男組長 於是就說找個女的
[00:00:52.800 --> 00:00:58.600]  我們有一個假設 就是說一男一女帶組就天衣無縫
[00:00:58.600 --> 00:01:01.600]  兼顧到各種各樣的人
[00:01:01.600 --> 00:01:04.320]  實際上我們沒有研究到
[00:01:04.320 --> 00:01:07.880]  是不是真是一件很成功的結果 我們沒有什麼理會的
[00:01:07.880 --> 00:01:13.200]  我們很少在檢討的時候檢討他們兩個拍成怎樣的
[00:01:13.200 --> 00:01:17.080]  甚至帶了很多年 我記得我17歲
[00:01:17.080 --> 00:01:22.760]  在青年團體在合一堂的時候做總長
[00:01:22.760 --> 00:01:28.400]  人家說 找個女組長 我從來都不知所謂
[00:01:28.400 --> 00:01:33.160]  我整天都很不自覺 一個老小子在那裡
[00:01:33.160 --> 00:01:35.440]  我不知道什麼時候要停止讓他講
[00:01:35.440 --> 00:01:37.640]  他又不懂得什麼時候停止讓我說
[00:01:37.640 --> 00:01:41.080]  那些人就跟我說 到時一個人帶就好了
[00:01:41.080 --> 00:01:43.080]  我真的到時一個人就好了
[00:01:43.080 --> 00:01:47.400]  過了很多年之後 都仍然覺得很不自覺的感覺
[00:01:47.400 --> 00:01:50.120]  那些人覺得我不自覺 我覺得人家不自覺
[00:01:50.120 --> 00:01:53.040]  所以我們沒辦法突破這件事
[00:01:53.040 --> 00:01:57.440]  那究竟一男一女怎樣合得很成功呢?
[00:01:57.440 --> 00:01:59.960]  你說這些是不是聖經有教的?
[00:01:59.960 --> 00:02:02.960]  還是教會以外學問?
[00:02:02.960 --> 00:02:06.000]  我記得有一年 夏令會我們查經
[00:02:06.000 --> 00:02:12.120]  就是《哥羅西書》 《哥羅西書》二章第三節
[00:02:12.120 --> 00:02:18.920]  他經常說 他說那積蓄的一切智慧知識
[00:02:18.920 --> 00:02:25.480]  都在他 就是經篤那裡藏著 在他裡面
[00:02:25.480 --> 00:02:29.120]  有一位大哥哥跟我說 他說是啊
[00:02:29.120 --> 00:02:34.680]  我們學了多少東西 無論是生物、科學、文學
[00:02:34.680 --> 00:02:40.880]  哲學、音樂 全部那些你可以說是知識、智慧
[00:02:40.880 --> 00:02:45.600]  其實講到最後都是發現耶穌、費神
[00:02:45.600 --> 00:02:49.200]  原來是提供者來的 就是祂給你有的
[00:02:49.200 --> 00:02:50.920]  今晚這個提問最明顯了
[00:02:50.920 --> 00:02:54.760]  如果你查一本書是1980年代
[00:02:54.760 --> 00:02:58.320]  我肯定答不了你們這些題目 真的答不了
[00:02:58.320 --> 00:03:02.680]  地球有了人這麼多年 還沒有答到這些題目
[00:03:02.680 --> 00:03:05.400]  九龍年代就開始很多人
[00:03:05.400 --> 00:03:08.680]  真的做一些很有組織的調查
[00:03:08.680 --> 00:03:12.040]  去想男和女怎樣合得來呢?
[00:03:12.040 --> 00:03:14.440]  或者為什麼有些東西合得這麼辛苦呢?
[00:03:14.440 --> 00:03:16.960]  開始很多答案湧出來
[00:03:16.960 --> 00:03:19.880]  但是不是全部答完了呢?不是 不是
[00:03:19.880 --> 00:03:22.320]  你發現還是每一篇
[00:03:22.320 --> 00:03:25.200]  還有很多新的答案是在出現的
[00:03:25.200 --> 00:03:27.760]  還在出現的 所以我希望今晚
[00:03:27.760 --> 00:03:29.200]  你不要當我給你答案
[00:03:29.200 --> 00:03:32.880]  我只是給你暫時所知的
[00:03:32.880 --> 00:03:37.000]  還有多少會知道呢?我想如果有機會的話
[00:03:37.000 --> 00:03:39.920]  我相信還有很多研究會不斷去證明
[00:03:39.920 --> 00:03:44.520]  這個世界有男性、有女性 為什麼要這樣?
[00:03:44.520 --> 00:03:46.880]  我想大家想起進化論
[00:03:46.880 --> 00:03:50.440]  它會說人是動物、猴子變出來的
[00:03:50.440 --> 00:03:53.280]  但是你聽完今天的內容 沒可能的
[00:03:53.280 --> 00:03:57.520]  因為左腦、右腦的研究根本上
[00:03:57.520 --> 00:04:00.440]  可以推翻動物沒可能是這樣
[00:04:00.440 --> 00:04:02.360]  第二就是感情
[00:04:02.360 --> 00:04:05.800]  動物的感情能力沒有人那麼高
[00:04:05.800 --> 00:04:09.120]  第三就是動物不會計劃東西
[00:04:09.120 --> 00:04:12.600]  動物不會的 你的貓不會計劃這個世界怎麼過
