
[00:00:00.000 --> 00:00:06.000]  各位靈性的同學,讓我們開始崇拜以先
[00:00:06.000 --> 00:00:12.000]  首先歡迎我的朋友Ben和Allison來參加我們今天的崇拜
[00:00:12.000 --> 00:00:16.000]  讓我們一起在聆聽主的說話以先
[00:00:16.000 --> 00:00:19.000]  讓我們一起和心低頭禱告,讓我們轉愛主愛主神
[00:00:19.000 --> 00:00:23.000]  主神多謝你讓我們能夠再次回來在你寶貴說話的面前
[00:00:23.000 --> 00:00:28.000]  一起思想並且在夢當中你的啟示去教導
[00:00:28.000 --> 00:00:31.000]  務眾我們成為一個合著你心意的人
[00:00:31.000 --> 00:00:37.000]  活在今天你所安設我們所處的環境、時間和人事
[00:00:37.000 --> 00:00:42.000]  讓我們在其中去活出一個真正有屬神生命的人
[00:00:42.000 --> 00:00:48.000]  並且將救恩明明地顯明在人的面前
[00:00:48.000 --> 00:00:54.000]  讓上帝每一個屬於你的人能夠得以呼召回到上帝你的當中
[00:00:54.000 --> 00:00:58.000]  為此我們在此時再次將這段時間的功勞交上
[00:00:58.000 --> 00:01:04.000]  求你的帶領讓我們每一個都能夠在當中生根建造
[00:01:04.000 --> 00:01:10.000]  成長在上帝你栽種的這一塊屬靈的田中
[00:01:10.000 --> 00:01:16.000]  求你的帶領我們同心禱告奉靠主耶穌基督得勝的名詞而求
[00:01:16.000 --> 00:01:22.000]  本身勸導這件事其實是一件困難的事
[00:01:22.000 --> 00:01:30.000]  我的意思是說給一些意見或者規勸給一些人
[00:01:30.000 --> 00:01:33.000]  其實是一件難的事情
[00:01:33.000 --> 00:01:37.000]  因為你怎樣去做一個好的規勸其實已經不容易
[00:01:37.000 --> 00:01:40.000]  但更加困難的一件事就是
[00:01:40.000 --> 00:01:46.000]  如果你要規勸的人或者對象是你的上司
[00:01:46.000 --> 00:01:51.000]  對你可以把握生死之權的話
[00:01:51.000 --> 00:01:55.000]  可能你更加困難去面對
[00:01:55.000 --> 00:02:04.000]  因為你知道如果你所規勸的對象聽了之後不高興的話
[00:02:04.000 --> 00:02:08.000]  高興當然好或者他會參詳
[00:02:08.000 --> 00:02:12.000]  會多謝你給一些好的提議給他
[00:02:12.000 --> 00:02:14.000]  他可以多想一重
[00:02:14.000 --> 00:02:19.000]  但如果他是不聽從這個規勸的話
[00:02:19.000 --> 00:02:24.000]  可能你的下場死得更加快更加嚴重
