
[00:00:00.000 --> 00:00:06.000]  我們在節目裡讓他聽陳啟仁先生的訪問
[00:00:06.000 --> 00:00:07.200]  我們先同心協力討論
[00:00:07.200 --> 00:00:11.000]  聽到之前我們先同心打告
[00:00:11.000 --> 00:00:18.300]  親愛的天父 多謝您給我們能夠再次有這麼美好的天氣
[00:00:18.300 --> 00:00:22.600]  又活在加拿大這麼美麗的國度裡面
[00:00:22.600 --> 00:00:28.000]  讓我們能夠真是並且有機會去聆聽主義的說話
[00:00:28.000 --> 00:00:32.200]  預備我們身心靈去怎樣迎見您
[00:00:32.200 --> 00:00:34.200]  我們再次獻上感恩
[00:00:34.200 --> 00:00:38.000]  我們明白到天色沒有常藍
[00:00:38.000 --> 00:00:43.200]  但我們也明白到即或是下雨陰天的時間
[00:00:43.200 --> 00:00:45.400]  風暴來臨之時
[00:00:45.400 --> 00:00:50.000]  或者好像今天這麼美麗的陽光燦爛的日子
[00:00:50.000 --> 00:00:54.000]  每一段都是在上帝您的允許當中
[00:00:54.000 --> 00:00:59.400]  使得我們生命更明白怎樣緊靠於您
[00:00:59.400 --> 00:01:03.200]  活在您所創造的世界當中
[00:01:03.200 --> 00:01:04.900]  靠您與我們同在
[00:01:04.900 --> 00:01:09.900]  讓我們珍惜每一天 每一分 每一秒的時間
[00:01:09.900 --> 00:01:16.400]  親愛的父神 感謝您讓我們再次能夠在今天這麼美好的天氣
[00:01:16.400 --> 00:01:23.200]  讓我們一起找到上帝您在聖道裡面的教訓
[00:01:23.200 --> 00:01:27.200]  使我們好好的預備來到迎見您
[00:01:27.200 --> 00:01:30.200]  我們知道天色並不常藍
[00:01:30.200 --> 00:01:33.200]  但是我們知道我們的生命
[00:01:33.200 --> 00:01:39.600]  無論是在陰天還是暴風的時間
[00:01:39.600 --> 00:01:43.200]  我們都同樣知道您有您的美意
[00:01:43.200 --> 00:01:49.000]  讓我們曉得任何時間都來到需要依靠您
[00:01:49.000 --> 00:01:51.600]  一起走面前的道路
[00:01:51.600 --> 00:01:54.600]  在您的創造這個世界當中
[00:01:54.600 --> 00:01:58.600]  我們活出有真正屬於神的生命
[00:01:58.600 --> 00:02:03.600]  來到經歷每時每刻與您同在的美意
[00:02:03.600 --> 00:02:06.000]  我們再次把這段時間恭敬交上
[00:02:06.000 --> 00:02:07.400]  求您的幫助
[00:02:07.400 --> 00:02:10.600]  我們禱告奉主耶穌的名臣
[00:02:10.600 --> 00:02:12.600]  (教會) 阿們
[00:02:12.600 --> 00:02:17.600]  今天會跟大家一起討論一個新的題目
[00:02:17.600 --> 00:02:20.800]  叫做「活在有基礎的信念裡面」
[00:02:20.800 --> 00:02:23.000]  今天要和大家討論一個題目
[00:02:23.000 --> 00:02:25.600]  題目叫做「活在有基礎的信念裡面」
[00:02:25.600 --> 00:02:27.800]  經文的概括會比較長
[00:02:27.800 --> 00:02:31.100]  所以我會分開兩個主日跟大家講
[00:02:31.100 --> 00:02:32.600]  今天內容比較長
[00:02:32.600 --> 00:02:35.000]  我會分兩個主日和大家講
[00:02:35.000 --> 00:02:37.100]  在大家的程序表裡面
[00:02:37.100 --> 00:02:41.600]  今天我會先和大家從第23章第12節
[00:02:41.600 --> 00:02:47.400]  講到第23章稍後一點的經文
[00:02:47.400 --> 00:02:50.800]  大約是第22節左右的經文
[00:02:50.800 --> 00:02:53.600]  今天我大概要和大家講到
[00:02:53.600 --> 00:02:58.000]  第23章第12到22節的經文
[00:02:58.000 --> 00:03:02.400]  讓我們知道我們活在這個世界裡面
[00:03:02.400 --> 00:03:04.600]  讓我們知道活在這個世界裡面
[00:03:04.600 --> 00:03:08.800]  怎樣學習以信行在上帝的當中
[00:03:08.800 --> 00:03:11.600]  以信如何行在上帝當中
[00:03:11.600 --> 00:03:15.600]  這個只不過是一個英語叫做prelude
[00:03:16.600 --> 00:03:21.200]  只是我們在英語當中叫做prelude
[00:03:21.200 --> 00:03:24.400]  只是預備的前奏曲
[00:03:24.400 --> 00:03:26.600]  就是說預備的前奏曲
[00:03:26.600 --> 00:03:29.200]  我們基督徒活在這個世界的上面
[00:03:29.200 --> 00:03:31.200]  不只是為了這幾十年的時間
[00:03:31.200 --> 00:03:32.800]  我們基督徒活在這個世界
[00:03:32.800 --> 00:03:34.600]  不是為了這幾十年的時間
[00:03:34.600 --> 00:03:36.000]  但這幾十年的時間
[00:03:36.000 --> 00:03:39.600]  卻是起了很重要的關鍵作用
[00:03:39.600 --> 00:03:40.600]  但這幾十年的時間
[00:03:40.600 --> 00:03:42.600]  起了很重要的關鍵作用
[00:03:42.600 --> 00:03:46.400]  預備怎樣去和神同活在永恆當中
[00:03:46.400 --> 00:03:50.200]  預備神怎樣在永恆當中
[00:03:50.200 --> 00:03:52.400]  重點就是我們的信
[00:03:52.400 --> 00:03:54.400]  怎樣有一個好的奠基
[00:03:54.400 --> 00:03:57.200]  我們信怎樣有一個好的奠基
[00:03:57.200 --> 00:03:59.400]  我為什麼要特別講信
[00:03:59.400 --> 00:04:01.000]  不是信心呢
[00:04:01.000 --> 00:04:04.600]  我為什麼要講信而不是信心呢
[00:04:04.600 --> 00:04:06.200]  因為我們今天所講的
[00:04:06.200 --> 00:04:09.000]  是講關乎於faith這件事
[00:04:09.000 --> 00:04:09.600]  信
[00:04:09.600 --> 00:04:11.800]  我們今天講的是faith
[00:04:11.800 --> 00:04:12.800]  這個信
[00:04:12.800 --> 00:04:14.800]  不是講confidence
[00:04:14.800 --> 00:04:17.600]  不是講信心信任這個問題
[00:04:17.600 --> 00:04:20.800]  而不是講confidence信心信仰的問題
[00:04:20.800 --> 00:04:24.000]  信這個題目是更包含比信心
[00:04:24.000 --> 00:04:27.200]  或者信靠更加的廣闊
[00:04:27.200 --> 00:04:29.000]  因為信這個題目
[00:04:29.000 --> 00:04:32.000]  比信靠信心更加廣闊
[00:04:32.000 --> 00:04:34.400]  信基本上是一個獨立的
[00:04:34.400 --> 00:04:35.600]  另一樣的東西
[00:04:35.600 --> 00:04:38.400]  是很多人我們未必能夠這麼掌握的事
[00:04:38.400 --> 00:04:40.000]  信是另外一個
