
[00:00:00.000 --> 00:00:07.000]  多謝陳牧師的介紹,聽到我的聲音都有點沙沙的,
[00:00:07.000 --> 00:00:14.000]  很開心回來奧泰華,有個很特別的感覺,
[00:00:14.000 --> 00:00:18.000]  因為畢竟在這個城市裏面有十幾年的時間,
[00:00:18.000 --> 00:00:24.000]  屋孫也是我們的母堂,當時在奧泰華的時候都有很多機會相聚,
[00:00:24.000 --> 00:00:29.000]  這次回來的時候也很開心,見到很多老朋友,
[00:00:29.000 --> 00:00:36.000]  我想特別強調老的字,這麼多年沒見,你老了,我又老了,
[00:00:36.000 --> 00:00:42.000]  所不同的是我老了之後還肥了,你們也保持一樣,
[00:00:42.000 --> 00:00:48.000]  但很開心的是一種感覺,我們是朱利平的弟兄姊妹,
[00:00:48.000 --> 00:00:55.000]  無論在什麼不同的階段裏面,我們都是同一個目標走,同路人,
[00:00:55.000 --> 00:01:02.000]  其實在朱恩堂的時候我們一直都是以母堂為我們的馬首是瞻,
[00:01:02.000 --> 00:01:07.000]  其實屋孫給我們很多的鼓勵,很多的榜樣,
[00:01:07.000 --> 00:01:16.000]  你們在猜拳,在直堂,在生命的追求,在各方面其實給我們很多的榜樣,
[00:01:16.000 --> 00:01:20.000]  所以盼望因上加恩,力上加力,
[00:01:20.000 --> 00:01:25.000]  我知道你們現在面對一個很大的挑戰,是新的建堂,
[00:01:25.000 --> 00:01:29.000]  願神真的大大的祝福你們,繼續使用你們,
[00:01:29.000 --> 00:01:32.000]  能夠不單止在屋泰華成為我們的榜樣,
[00:01:32.000 --> 00:01:36.000]  在加拿大,也在不同的地方成為我們的榜樣,
[00:01:36.000 --> 00:01:42.000]  今天和大家分享的題目是何去何從,我的路,神的路,
[00:01:42.000 --> 00:01:46.000]  我有沒有這個遙控器,你扔給我可以嗎?
[00:01:46.000 --> 00:01:54.000]  這個題目其實很普遍,很簡單就是如何明白神的旨意,
[00:01:54.000 --> 00:01:59.000]  我們多不多問這個問題,如何明白神的旨意,
[00:01:59.000 --> 00:02:01.000]  我想信主這麼多年都問了這麼多年,
[00:02:01.000 --> 00:02:07.000]  因為其實很多時候我們走什麼路,我們明知神的路是最好,
[00:02:07.000 --> 00:02:11.000]  但很多時候神的路未必是我們想走的路,
