
[00:00:00.000 --> 00:00:10.000]  (下班時間)
[00:00:10.000 --> 00:00:12.000]  晚安
[00:00:12.000 --> 00:00:16.000]  大家精神嗎?
[00:00:16.000 --> 00:00:18.000]  剛剛下班
[00:00:18.000 --> 00:00:20.000]  都可以嗎?
[00:00:20.000 --> 00:00:22.000]  OK
[00:00:22.000 --> 00:00:26.000]  平時我教書呢
[00:00:26.000 --> 00:00:30.000]  同學有三樣東西可以做
[00:00:30.000 --> 00:00:32.000]  可以吃東西
[00:00:32.000 --> 00:00:34.000]  可以喝水
[00:00:34.000 --> 00:00:36.000]  可以站起來
[00:00:36.000 --> 00:00:38.000]  如果睏的話
[00:00:38.000 --> 00:00:40.000]  有一樣東西不能做
[00:00:40.000 --> 00:00:42.000]  就是睡覺
[00:00:42.000 --> 00:00:44.000]  今晚都一樣
[00:00:44.000 --> 00:00:46.000]  因為我明白大家上班很長時間
[00:00:46.000 --> 00:00:48.000]  很累
[00:00:48.000 --> 00:00:50.000]  所以有時累都控制不了
[00:00:50.000 --> 00:00:52.000]  所以不要緊
[00:00:52.000 --> 00:00:54.000]  起床走走
[00:00:54.000 --> 00:00:56.000]  今晚講的題目
[00:00:56.000 --> 00:00:58.000]  路德與嘉爾文的
[00:00:58.000 --> 00:01:00.000]  政教關係
[00:01:00.000 --> 00:01:02.000]  多了一個人就是嘉爾文
[00:01:02.000 --> 00:01:04.000]  嘉爾文大家認識嗎?
[00:01:04.000 --> 00:01:06.000]  如果講宗教改革
[00:01:06.000 --> 00:01:08.000]  路德和嘉爾文
[00:01:08.000 --> 00:01:10.000]  基本上是代表
[00:01:10.000 --> 00:01:12.000]  最主流最大的宗教改革
[00:01:12.000 --> 00:01:14.000]  路德改革就是
[00:01:14.000 --> 00:01:16.000]  信義會 信義宗
[00:01:16.000 --> 00:01:18.000]  信義宗教會
[00:01:18.000 --> 00:01:20.000]  以德國
[00:01:20.000 --> 00:01:22.000]  丹麥
[00:01:22.000 --> 00:01:24.000]  挪威
[00:01:24.000 --> 00:01:26.000]  瑞典 芬蘭 北歐
[00:01:26.000 --> 00:01:28.000]  這些國家
[00:01:28.000 --> 00:01:30.000]  嘉爾文呢
[00:01:30.000 --> 00:01:32.000]  在瑞士改革
[00:01:32.000 --> 00:01:34.000]  是遲一些的
[00:01:34.000 --> 00:01:36.000]  嘉爾文年輕一些的
[00:01:36.000 --> 00:01:38.000]  嘉爾文最初的改革就是
[00:01:38.000 --> 00:01:40.000]  跟瑞士的
[00:01:40.000 --> 00:01:42.000]  一個叫慈雲里
[00:01:42.000 --> 00:01:44.000]  後來嘉爾文
[00:01:44.000 --> 00:01:46.000]  他讀到路德的著作
[00:01:46.000 --> 00:01:48.000]  更加確定
[00:01:48.000 --> 00:01:50.000]  他改革的路線
[00:01:50.000 --> 00:01:52.000]  在瑞士的影響
[00:01:52.000 --> 00:01:54.000]  就是荷蘭
[00:01:54.000 --> 00:01:56.000]  蘇格蘭
[00:01:56.000 --> 00:01:58.000]  然後就影響很多地方
[00:01:58.000 --> 00:02:00.000]  美國
[00:02:00.000 --> 00:02:02.000]  英國
[00:02:02.000 --> 00:02:04.000]  我們經常聽清教徒
[00:02:04.000 --> 00:02:06.000]  有沒有聽過
[00:02:06.000 --> 00:02:08.000]  清教徒就是在
[00:02:08.000 --> 00:02:10.000]  聖公會裏面英國國家教會裏面
[00:02:10.000 --> 00:02:12.000]  的嘉爾文派
[00:02:12.000 --> 00:02:14.000]  這些的
[00:02:14.000 --> 00:02:16.000]  清教徒就是將
[00:02:16.000 --> 00:02:18.000]  聖公會裏面
[00:02:18.000 --> 00:02:20.000]  所有天主教的傳統
[00:02:20.000 --> 00:02:22.000]  要清除
[00:02:22.000 --> 00:02:24.000]  使教會更加純潔
[00:02:24.000 --> 00:02:26.000]  今晚我就沒有時間
[00:02:26.000 --> 00:02:28.000]  去講嘉爾文
[00:02:28.000 --> 00:02:30.000]  將來有機會去講嘉爾文
[00:02:30.000 --> 00:02:32.000]  我現在都在寫書
[00:02:32.000 --> 00:02:34.000]  希望將來都和大家去講
[00:02:34.000 --> 00:02:36.000]  嘉爾文 嘉爾文很偉大
[00:02:36.000 --> 00:02:38.000]  他和路德兩個很偉大
[00:02:38.000 --> 00:02:40.000]  為什麼今晚
[00:02:40.000 --> 00:02:42.000]  要講這兩個人呢
[00:02:42.000 --> 00:02:44.000]  因為講到政教關係
[00:02:44.000 --> 00:02:46.000]  他們兩個人是很相似的
[00:02:46.000 --> 00:02:48.000]  他們在講現代的政治
[00:02:48.000 --> 00:02:50.000]  整個歐美
[00:02:50.000 --> 00:02:52.000]  如果我們講
[00:02:52.000 --> 00:02:54.000]  影響什麼呢
[00:02:54.000 --> 00:02:56.000]  就是英美 英國 美國
[00:02:56.000 --> 00:02:58.000]  那個的政治制度
[00:02:58.000 --> 00:03:00.000]  法國就不是
[00:03:00.000 --> 00:03:02.000]  特別是美國
[00:03:02.000 --> 00:03:04.000]  加拿大
[00:03:04.000 --> 00:03:06.000]  那個政治制度
[00:03:06.000 --> 00:03:08.000]  就在嘉爾文的理想裏面
[00:03:08.000 --> 00:03:10.000]  路德就
[00:03:10.000 --> 00:03:12.000]  當然路德就影響德國
[00:03:12.000 --> 00:03:14.000]  和北歐
