
[00:00:00.000 --> 00:00:06.620]  這次神再給我機會在你們當中宣講神的話
[00:00:06.620 --> 00:00:08.620]  都好像有一段時間沒有來了
[00:00:08.620 --> 00:00:12.220]  但我總是記住你們 因為我記得有一年
[00:00:12.220 --> 00:00:17.800]  當我們呼籲弟兄姊妹奉獻支持平板電腦
[00:00:17.800 --> 00:00:20.540]  送給遊行傳道者的時候
[00:00:20.540 --> 00:00:23.480]  你們教會是給我最大的驚喜的
[00:00:23.480 --> 00:00:26.080]  因為在眾多教會當中
[00:00:26.080 --> 00:00:30.340]  我想不到在長沙灣、深水埗、石劍尾附近的教會
[00:00:30.340 --> 00:00:32.340]  竟然是奉獻得最多的
[00:00:32.340 --> 00:00:37.360]  我想神在這麼多年來不停地給你們不同的恩典
[00:00:37.360 --> 00:00:42.920]  讓你們有感恩的心更加樂意奉獻
[00:00:42.920 --> 00:00:46.700]  今天這段經文是需要看聖經的
[00:00:46.700 --> 00:00:50.940]  雖然請主席讀了15至23節
[00:00:50.940 --> 00:00:55.320]  但是我都想看完前面第一節開始
[00:00:55.320 --> 00:00:56.600]  甚至看遠一點的
[00:00:56.600 --> 00:00:58.600]  如果你有手機也好
[00:00:58.600 --> 00:01:00.600]  有文本電腦也好
[00:01:00.600 --> 00:01:01.600]  文本聖經也好
[00:01:01.600 --> 00:01:03.600]  你都可以打開看的
[00:01:03.600 --> 00:01:11.000]  現在先揭開看20章30節
[00:01:11.000 --> 00:01:13.000]  我讀出來給大家聽聽
[00:01:13.000 --> 00:01:14.260]  30和31節
[00:01:14.260 --> 00:01:17.720]  耶穌在門徒面前另外行了許多神蹟
[00:01:17.720 --> 00:01:19.720]  沒有記載在書上
[00:01:19.720 --> 00:01:25.160]  但記者是要叫你們信耶穌是基督是神的兒子
[00:01:25.160 --> 00:01:27.160]  並且叫你們信了祂
[00:01:27.160 --> 00:01:29.160]  就可以因祂的名得生命
[00:01:29.160 --> 00:01:33.160]  你們有沒有讀完這裡讀到這裡的時候
[00:01:33.160 --> 00:01:35.160]  年輕的我不問他
[00:01:35.160 --> 00:01:37.160]  問他也回答不了
[00:01:37.160 --> 00:01:39.160]  跟我差不多的年紀
[00:01:39.160 --> 00:01:41.160]  或者比我更加成熟
[00:01:41.160 --> 00:01:43.160]  你覺不覺得讀到這裡的時候
[00:01:43.160 --> 00:01:46.160]  有些像近來的粵語長片
[00:01:46.160 --> 00:01:48.160]  最後的一幕
[00:01:48.160 --> 00:01:50.160]  有一首歌唱的
[00:01:50.160 --> 00:01:52.160]  你記得怎麼唱嗎
[00:01:52.160 --> 00:01:54.160]  從今後民安國泰
[00:01:54.160 --> 00:01:56.160]  記不記得
[00:01:56.160 --> 00:01:58.160]  這樣就落幕了
[00:01:58.160 --> 00:02:00.160]  我覺得這裡很完美
[00:02:00.160 --> 00:02:02.160]  很多東西我都可以寫
[00:02:02.160 --> 00:02:04.160]  不過我已經寫了20章聖經
[00:02:04.160 --> 00:02:06.160]  很多了
[00:02:06.160 --> 00:02:08.160]  重要的都寫下來了
[00:02:08.160 --> 00:02:10.160]  你看完之後信了它就有生命了
[00:02:10.160 --> 00:02:12.160]  那還不是完了福音書
[00:02:12.160 --> 00:02:14.160]  為什麼還要加21章
[00:02:14.160 --> 00:02:18.160]  你想清楚是不是
[00:02:18.160 --> 00:02:20.160]  已經落了幕了
[00:02:20.160 --> 00:02:22.160]  不過我想和大家一起
[00:02:22.160 --> 00:02:24.160]  今天我們看21章
[00:02:24.160 --> 00:02:26.160]  事實上想告訴我們
