
[00:00:00.000 --> 00:00:13.000]  我首先多謝William幫我們選了這麼多有關背起自己十字架來跟從耶穌基督的詩歌
[00:00:13.000 --> 00:00:18.000]  今天我們要講的是做門徒的代價
[00:00:18.000 --> 00:00:23.000]  你說這麼奇怪?講到第四講你才講做門徒的代價
[00:00:23.000 --> 00:00:26.000]  是不是應該第一講就開始講?
[00:00:26.000 --> 00:00:31.000]  但我相信如果我們是第四講才講門徒的代價的時候
[00:00:31.000 --> 00:00:36.000]  我們對於怎樣背起自己的十字架來跟從耶穌基督
[00:00:36.000 --> 00:00:38.000]  是有一個更深的認識
[00:00:38.000 --> 00:00:42.000]  以致我們能夠更明白有什麼代價
[00:00:42.000 --> 00:00:49.000]  其實門徒這個字在新約出現了262次
[00:00:49.000 --> 00:00:54.000]  這個字原本的希臘文是Martis這個字
[00:00:54.000 --> 00:00:56.000]  是一個學習者
[00:00:56.000 --> 00:01:01.000]  這個字和我們所熟悉的英文字Disciple
[00:01:01.000 --> 00:01:05.000]  Disciple是由拉丁文演變而來
[00:01:05.000 --> 00:01:08.000]  拉丁文的Discipio這個字
[00:01:08.000 --> 00:01:11.000]  都是解釋一個學習者的意思
[00:01:11.000 --> 00:01:13.000]  如果你查字典的話
[00:01:13.000 --> 00:01:17.000]  字典可能告訴你一個人是透過學習
[00:01:17.000 --> 00:01:21.000]  是跟另外一個人有很親切很親密的關係
[00:01:21.000 --> 00:01:24.000]  這個是門徒
[00:01:24.000 --> 00:01:27.000]  但是在聖經裡告訴我們
[00:01:27.000 --> 00:01:32.000]  門徒的意義是遠遠超過了一個學習者
[00:01:32.000 --> 00:01:35.000]  是遠遠超過了一個與神
[00:01:35.000 --> 00:01:38.000]  與主人有一個親密關係的一個人
[00:01:38.000 --> 00:01:41.000]  聖經裡告訴我們
[00:01:41.000 --> 00:01:46.000]  一個門徒的意思就是一個跟隨者
[00:01:46.000 --> 00:01:49.000]  在路加福音9:23
[00:01:49.000 --> 00:01:52.000]  耶穌說:若有人要跟從我
[00:01:52.000 --> 00:01:57.000]  就當捨己天天背起他的十字架來跟從我
[00:01:57.000 --> 00:01:59.000]  所以第一點是一個跟從者
[00:01:59.000 --> 00:02:04.000]  第二點他必須遵守他主人的指示
[00:02:04.000 --> 00:02:09.000]  指引他主人的律例殿像
[00:02:09.000 --> 00:02:13.000]  這是約翰福音8:31-32
[00:02:13.000 --> 00:02:16.000]  耶穌基督說:常常遵守我的道
[00:02:16.000 --> 00:02:19.000]  就真是我的門徒了
[00:02:19.000 --> 00:02:22.000]  所以不單止一個門徒是跟隨他主人
[00:02:22.000 --> 00:02:25.000]  他還要遵守他主人的旨意
[00:02:25.000 --> 00:02:29.000]  第三點是他會毫無保留地
[00:02:29.000 --> 00:02:33.000]  將自己與他的主人連繫在一起
[00:02:33.000 --> 00:02:37.000]  耶穌基督在約翰福音15:4
[00:02:37.000 --> 00:02:40.000]  說:我是葡萄樹 你們是枝子
[00:02:40.000 --> 00:02:42.000]  你們要常常在我的裡面
[00:02:42.000 --> 00:02:45.000]  我也常常在你們的裡面
[00:02:45.000 --> 00:02:47.000]  若不常在我的裡面
[00:02:47.000 --> 00:02:49.000]  就不能結出果子
[00:02:49.000 --> 00:02:52.000]  耶穌基督也說:離開了我
[00:02:52.000 --> 00:02:55.000]  你們不能做什麼
[00:02:55.000 --> 00:02:59.000]  一個門徒就是跟隨他的主人
[00:02:59.000 --> 00:03:02.000]  服從他主人的旨意
[00:03:02.000 --> 00:03:05.000]  和與他主人連繫在一起
[00:03:05.000 --> 00:03:08.000]  甚至為主人寫命
[00:03:08.000 --> 00:03:12.000]  在約翰福音13:36-15:13
[00:03:12.000 --> 00:03:14.000]  都是這麼說的
[00:03:14.000 --> 00:03:20.000]  我們看到其實做門徒還有更高的要求
[00:03:20.000 --> 00:03:21.000]  就是什麼呢?
[00:03:21.000 --> 00:03:26.000]  在馬太福音10:32-39
[00:03:26.000 --> 00:03:28.000]  我們也說過這些經文
[00:03:28.000 --> 00:03:32.000]  一個門徒要在人的面前認他的主人
[00:03:32.000 --> 00:03:35.000]  耶穌基督說:凡在人面前認我的
[00:03:35.000 --> 00:03:38.000]  我在我天上的父面前也認他
[00:03:38.000 --> 00:03:40.000]  凡在人面前不認我的
[00:03:40.000 --> 00:03:43.000]  我在我天上的父面前也必不認他
[00:03:43.000 --> 00:03:46.000]  在我們來說
[00:03:46.000 --> 00:03:49.000]  要認耶穌基督是很簡單的事
[00:03:49.000 --> 00:03:54.000]  美國是一個很自由信仰的國家
[00:03:54.000 --> 00:03:57.000]  但是如果你在回教的國家
[00:03:57.000 --> 00:04:01.000]  或者你在信仰不太自由的國家
[00:04:01.000 --> 00:04:04.000]  當你承認耶穌基督的時候
[00:04:04.000 --> 00:04:07.000]  有可能你就真的有生命的危險
[00:04:07.000 --> 00:04:12.000]  所以耶穌基督說:我來不是叫地上有太平
[00:04:12.000 --> 00:04:15.000]  我是叫地上有冬刀冰
