
[00:00:00.000 --> 00:00:03.160]  (主持人: 主持人)
[00:00:03.160 --> 00:00:03.920]  主持人: 各位節目的早晨
[00:00:03.920 --> 00:00:09.240]  很高興能夠在主日的時候跟大家一起來讀上帝
[00:00:09.240 --> 00:00:15.120]  起今日就是上帝藉著保羅給我們的一番說話
[00:00:15.120 --> 00:00:19.360]  也是保羅他自己的自述來的
[00:00:19.360 --> 00:00:21.720]  幾有生物性的這段說話
[00:00:21.720 --> 00:00:27.560]  有聖經的請跟我一起打開哥倫多後書第十一章
[00:00:27.560 --> 00:00:32.360]  我們由第十一章的十六節看到第十二章的十節
[00:00:32.360 --> 00:00:34.680]  這段經文比較長了一點
[00:00:34.680 --> 00:00:36.760]  我就很快讀一讀
[00:00:36.760 --> 00:00:40.480]  起碼後面的我們都會比較熟悉
[00:00:40.480 --> 00:00:44.520]  前面的可能對一些頂著會比較生導
[00:00:44.520 --> 00:00:46.800]  哥倫多後書十一章十六節
[00:00:46.800 --> 00:00:48.440]  保羅在這裡
[00:00:48.440 --> 00:00:51.880]  這個context是保羅在為自己辯護
[00:00:51.880 --> 00:00:53.200]  他被人氣壞了
[00:00:53.200 --> 00:00:56.040]  其實被哥倫多教會的信徒
[00:00:56.040 --> 00:00:57.640]  說你們都是我帶大的
[00:00:57.640 --> 00:01:00.800]  為什麼你倒過來批評我
[00:01:00.800 --> 00:01:02.800]  做別人的粉絲
[00:01:02.800 --> 00:01:04.640]  他不一定要別人做他的粉絲
[00:01:04.640 --> 00:01:06.760]  但起碼要尊重他
[00:01:06.760 --> 00:01:10.000]  他在這裡為自己作出一番辯護
[00:01:10.000 --> 00:01:13.040]  和陳述他自己做事
[00:01:13.040 --> 00:01:16.200]  他的生命方針是怎麼樣
[00:01:16.200 --> 00:01:17.800]  哥倫多後書十一章第十六節
[00:01:17.800 --> 00:01:18.680]  我再說
[00:01:18.680 --> 00:01:20.920]  人不可把我看作愚忙的
[00:01:20.920 --> 00:01:25.600]  縱然如此我也要把我當作愚忙人接納
[00:01:25.600 --> 00:01:27.600]  叫我可以略略自誇
[00:01:27.600 --> 00:01:30.800]  我說的話不是奉主命說的
[00:01:30.800 --> 00:01:33.840]  乃是像愚忙人放膽自誇
[00:01:33.840 --> 00:01:36.320]  既有好些人憑著血氣自誇
[00:01:36.320 --> 00:01:38.320]  我也要自誇了
[00:01:38.320 --> 00:01:39.920]  你們既是精明人
[00:01:39.920 --> 00:01:42.880]  就能甘心忍耐愚忙人
[00:01:42.880 --> 00:01:45.400]  假若有人強你們作奴僕
[00:01:45.400 --> 00:01:47.880]  或侵吞你們
[00:01:47.880 --> 00:01:49.080]  或擄掠你們
[00:01:49.080 --> 00:01:51.160]  或誣蔑你們
[00:01:51.160 --> 00:01:52.640]  或有打你們的臉
[00:01:52.640 --> 00:01:54.320]  你們都能忍耐他
[00:01:54.320 --> 00:01:56.480]  我說這話是羞辱自己
[00:01:56.480 --> 00:01:59.280]  保障我們從前是軟弱的
[00:01:59.280 --> 00:02:01.760]  然而人在何事上勇敢
[00:02:01.760 --> 00:02:03.160]  我說句愚忙話
[00:02:03.160 --> 00:02:04.480]  我也勇敢
[00:02:04.480 --> 00:02:06.040]  他們是希伯來人嗎
[00:02:06.040 --> 00:02:07.080]  我也是
[00:02:07.080 --> 00:02:08.560]  他們是以色列人嗎
[00:02:08.560 --> 00:02:09.280]  我也是
[00:02:09.280 --> 00:02:10.920]  他們是阿布拉罕的後裔嗎
[00:02:10.920 --> 00:02:11.680]  我也是
[00:02:11.680 --> 00:02:13.240]  他們是基督的僕人嗎
[00:02:13.240 --> 00:02:14.560]  我說句狂話
[00:02:14.560 --> 00:02:15.800]  我更是
[00:02:15.800 --> 00:02:18.960]  我比他們多受勞苦多下監牢
[00:02:18.960 --> 00:02:20.800]  受鞭打是過重的
[00:02:20.800 --> 00:02:22.200]  誣死是屢次有的
[00:02:22.200 --> 00:02:23.360]  被猶太人鞭打
[00:02:23.360 --> 00:02:25.800]  五次每次四十減去一下
[00:02:25.800 --> 00:02:27.080]  被棍打了三次
[00:02:27.080 --> 00:02:28.240]  被石頭打了一次
[00:02:28.240 --> 00:02:30.080]  遇著船壞三次
[00:02:30.080 --> 00:02:31.880]  一晝一夜在深海裡
[00:02:31.880 --> 00:02:33.360]  又屢次行遠路
[00:02:33.360 --> 00:02:34.800]  遭江河危險
[00:02:34.800 --> 00:02:36.080]  盜賊的危險
[00:02:36.080 --> 00:02:37.040]  同族的危險
[00:02:37.040 --> 00:02:38.520]  外邦人的危險
[00:02:38.520 --> 00:02:39.800]  城裡的危險
[00:02:39.800 --> 00:02:40.920]  曠野的危險
[00:02:40.920 --> 00:02:41.880]  海中的危險
[00:02:41.880 --> 00:02:43.480]  假弟兄的危險
[00:02:43.480 --> 00:02:45.480]  受勞碌受困苦
[00:02:45.480 --> 00:02:47.040]  多次不得睡
[00:02:47.040 --> 00:02:48.320]  又饑又渴
[00:02:48.320 --> 00:02:49.560]  多次不得食
[00:02:49.560 --> 00:02:52.040]  受寒冷赤身怒體
[00:02:52.040 --> 00:02:53.720]  除了這外面的是還有
[00:02:53.720 --> 00:02:55.320]  為宗教會掛心的是
