
[00:00:00.000 --> 00:00:04.000]  各位聽眾你好,我是蘇永睿牧師
[00:00:04.000 --> 00:00:09.000]  歡迎大家收聽百年神咒風雲人物這個節目
[00:00:09.000 --> 00:00:15.000]  我們接下來這個節目會討論中國近代史的風雲人物
[00:00:15.000 --> 00:00:20.000]  或者大家會問,中國近代史是始於何時呢?
[00:00:20.000 --> 00:00:23.000]  歷來歷史學家都有不同的看法
[00:00:23.000 --> 00:00:29.000]  譬如梁啟超認為乾隆末年至今為之近代史
[00:00:29.000 --> 00:00:34.000]  萬世傑認為始於清朝的渡江時期
[00:00:34.000 --> 00:00:42.000]  蕭一山認為明清之際,西教士來到中國對中國有極大的影響
[00:00:42.000 --> 00:00:45.000]  也是啟開了中國近代史之始
[00:00:45.000 --> 00:00:53.000]  洪飛力認為1864年發生太平天國之亂,為之中國近代史的開端
[00:00:53.000 --> 00:00:56.000]  我本人贊成洪飛力的說法
[00:00:56.000 --> 00:01:00.000]  為何呢?綜合各個歷史家的看法
[00:01:00.000 --> 00:01:05.000]  中國近代史一定是受以下因素影響
[00:01:05.000 --> 00:01:08.000]  第一,受西方影響
[00:01:08.000 --> 00:01:11.000]  自從明清時期,西方傳教士東來
[00:01:11.000 --> 00:01:16.000]  尤其是馬利信代表的基督教新教來到中國時
[00:01:16.000 --> 00:01:19.000]  的確是揭起了一個極大的浪潮
[00:01:19.000 --> 00:01:23.000]  套用哈佛大學歷史教授John King Fairbank的說話
[00:01:23.000 --> 00:01:26.000]  這是中國從未經歷過的大蛻變
[00:01:26.000 --> 00:01:28.000]  The Great Transformation
[00:01:28.000 --> 00:01:33.000]  而太平天國與西教士來華有極密切的關係
[00:01:33.000 --> 00:01:39.000]  洪秀田起義是因為看了《梁法勸世良言》
[00:01:39.000 --> 00:01:44.000]  而引起了他的觀念要建立太平天國
[00:01:44.000 --> 00:01:52.000]  而太平天國亦與西方文化來到中國有密切的關係
[00:01:52.000 --> 00:01:58.000]  而太平天國是清朝渡江咸豐年間的農民革命
[00:01:58.000 --> 00:02:02.000]  亦是明清戰爭以來規模最大的戰爭
[00:02:02.000 --> 00:02:05.000]  對中國歷史有深遠的影響
[00:02:05.000 --> 00:02:10.000]  歷時14年,影響18個省份,600多個城市
[00:02:10.000 --> 00:02:14.000]  死亡人數達到2000萬之多
[00:02:14.000 --> 00:02:16.000]  不過最大的影響
[00:02:16.000 --> 00:02:21.000]  太平天國是將舊有的中國制度完全打碎了
[00:02:21.000 --> 00:02:24.000]  雖然太平天國終於失敗
[00:02:24.000 --> 00:02:28.000]  正如大英百科全書所說
[00:02:28.000 --> 00:02:34.000]  太平天國對日後中國的歷史發展具有深厚的意義
[00:02:34.000 --> 00:02:37.000]  在文化方面,它簡化了中文的文言文
[00:02:37.000 --> 00:02:43.000]  亦可說是步入了白話文時期的其中一個橋樑
[00:02:43.000 --> 00:02:48.000]  第二,它主張男女平等亦帶來中國一個很大的衝擊
[00:02:48.000 --> 00:02:54.000]  有些更加說到共產制度土地平均分配是始於太平天國
[00:02:54.000 --> 00:02:59.000]  太平天國建立了一個新的政治體系和教育體系
[00:02:59.000 --> 00:03:04.000]  雖然它不能徹底實行,經過14年失敗
[00:03:04.000 --> 00:03:09.000]  但對日後中國的政治體系和教育體系
[00:03:09.000 --> 00:03:13.000]  都有極大的變化和影響
[00:03:13.000 --> 00:03:17.000]  以至無論是日後的國民黨或共產黨
[00:03:17.000 --> 00:03:20.000]  都以太平天國為他們革命之源
[00:03:20.000 --> 00:03:26.000]  就如羅以剛在他的《太平天國史》對太平天國有以下的評價
[00:03:26.000 --> 00:03:30.000]  第一,它是農民革命,一個愛國的運動
[00:03:30.000 --> 00:03:34.000]  第二,它是中國近代史推動了歷史前進的火車頭
[00:03:34.000 --> 00:03:38.000]  第三,它是孫中山辛亥革命鋪了一條路
[00:03:38.000 --> 00:03:46.000]  第四,清政府沒落,分權、財權不再在清中央政府之下
[00:03:46.000 --> 00:03:52.000]  曾國藩的商軍、李鴻章的淮軍都具有極大的勢力
[00:03:52.000 --> 00:03:56.000]  中央的勢力也漸漸失去了
[00:03:56.000 --> 00:03:59.000]  當然也有學者不同的意見
[00:03:59.000 --> 00:04:05.000]  比如錢穆為例,他以為太平天國是破壞了中國固有的文化
[00:04:05.000 --> 00:04:09.000]  和義和團之類的農民運動沒有多大分別
[00:04:09.000 --> 00:04:14.000]  但無論是否認或扁,無論你否認或承認
[00:04:14.000 --> 00:04:20.000]  太平天國的確啟開了中國近代史的一個重要分水嶺
[00:04:20.000 --> 00:04:24.000]  所以我們說到近代神州百年
[00:04:24.000 --> 00:04:27.000]  我們也是從太平天國開始說起的
[00:04:27.000 --> 00:04:32.000]  太平天國的發起人就叫做洪秀全
[00:04:32.000 --> 00:04:35.000]  洪秀全是何許人也呢?
[00:04:35.000 --> 00:04:41.000]  洪秀全出身於慕農的家庭,是廣東花園人士
[00:04:41.000 --> 00:04:46.000]  七歲的時候在鄉村裡讀波波齋,所謂的師熟
[00:04:46.000 --> 00:04:48.000]  熟讀四書五經
[00:04:48.000 --> 00:04:51.000]  十三歲的時候考取了童生
[00:04:51.000 --> 00:04:56.000]  十六歲就去廣州應試,不幸就名落孫山
[00:04:56.000 --> 00:05:00.000]  一百三十年他再去考,亦告不抵
[00:05:00.000 --> 00:05:06.000]  先後在一百三十七年和一百四十三年都去廣州再去考試
[00:05:06.000 --> 00:05:09.000]  但是還是失敗
[00:05:09.000 --> 00:05:12.000]  一百三十年他在廣州考完試之後
[00:05:12.000 --> 00:05:15.000]  他失意了,不合格了
[00:05:15.000 --> 00:05:18.000]  就獲得當時這個傳教士贈送
[00:05:18.000 --> 00:05:21.000]  有《梁法社》的勸世狼言
[00:05:21.000 --> 00:05:24.000]  激發了洪秀全潛心研讀
[00:05:24.000 --> 00:05:28.000]  就和他的表兄開始對基督教有興趣
[00:05:28.000 --> 00:05:31.000]  但是由於他的信仰和基督教有很大的分別
[00:05:31.000 --> 00:05:34.000]  所以當時的牧師拒絕和他受洗
[00:05:34.000 --> 00:05:38.000]  他只有自己自行洗禮
[00:05:38.000 --> 00:05:41.000]  他曾經寫了一首悔詩的說法
[00:05:41.000 --> 00:05:44.000]  誤齊罪惡實滔天
[00:05:44.000 --> 00:05:46.000]  恨濫耶穌待贖全
[00:05:46.000 --> 00:05:49.000]  勿信邪魔遵聖道
[00:05:49.000 --> 00:05:51.000]  畏崇上帝歷心田
[00:05:51.000 --> 00:05:54.000]  天堂榮顯人義務
[00:05:54.000 --> 00:05:56.000]  地獄憂沉我亦憐
[00:05:56.000 --> 00:05:59.000]  及早回頭歸正業
[00:05:59.000 --> 00:06:02.000]  免將方寸俗情牽
[00:06:02.000 --> 00:06:06.000]  他歸信了所謂基督教的信仰之後
[00:06:06.000 --> 00:06:09.000]  創立了上帝會
[00:06:09.000 --> 00:06:14.000]  但是他對基督教的認識是一知半解的
[00:06:14.000 --> 00:06:19.000]  他完全是來自勸世良言這本書
[00:06:19.000 --> 00:06:22.000]  我也有機會看過勸世良言這本書
[00:06:22.000 --> 00:06:25.000]  勸世良言這本書也可以說
[00:06:25.000 --> 00:06:29.000]  其實是對基督教一知半解的
[00:06:29.000 --> 00:06:33.000]  很多時候看起來很容易會有誤導
[00:06:33.000 --> 00:06:36.000]  因為一些基督教核心的思想
[00:06:36.000 --> 00:06:39.000]  都不是成為勸世良言最主要的
[00:06:39.000 --> 00:06:42.000]  他最終說這些人拜錯上帝了
[00:06:42.000 --> 00:06:45.000]  真正的上帝不是這些菩薩
[00:06:45.000 --> 00:06:47.000]  沒有提到基督教很重要的信仰
[00:06:47.000 --> 00:06:51.000]  罪的問題、救贖的問題、耶穌的問題
[00:06:51.000 --> 00:06:54.000]  在1850年的時候
[00:06:54.000 --> 00:06:56.000]  廣西發生了饑荒
[00:06:56.000 --> 00:06:58.000]  社會動盪不安
[00:06:58.000 --> 00:07:02.000]  我們知道如果我們研讀中國歷史的時候
[00:07:02.000 --> 00:07:06.000]  就會知道這些正是文變的溫床
[00:07:06.000 --> 00:07:09.000]  洪秀全發佈了這個團營
[00:07:09.000 --> 00:07:13.000]  他命令各地上帝會的信徒
[00:07:13.000 --> 00:07:16.000]  在桂坪縣的金田村集結
[00:07:16.000 --> 00:07:20.000]  地方官派兵去鎮壓
[00:07:20.000 --> 00:07:22.000]  因而發生衝突
[00:07:22.000 --> 00:07:24.000]  在1851年1月11日
[00:07:24.000 --> 00:07:28.000]  正是洪秀全38歲的生日
[00:07:28.000 --> 00:07:33.000]  正式宣告起事建立太平天國
[00:07:33.000 --> 00:07:36.000]  事實上我們發覺到
[00:07:36.000 --> 00:07:39.000]  大多數中國的文變都是這樣的
[00:07:39.000 --> 00:07:42.000]  饑荒、沒得吃
[00:07:42.000 --> 00:07:46.000]  再加上地主的剝削
[00:07:46.000 --> 00:07:48.000]  是也死不是也死
[00:07:48.000 --> 00:07:49.000]  不如剝一下
[00:07:49.000 --> 00:07:56.000]  因而激發了一些農民在起義
[00:07:56.000 --> 00:07:58.000]  在1851年1月11日
[00:07:58.000 --> 00:08:00.000]  洪秀全正式宣佈起義
[00:08:00.000 --> 00:08:02.000]  建立太平天國
[00:08:02.000 --> 00:08:04.000]  建立了太平天國之後
[00:08:04.000 --> 00:08:07.000]  洪秀全自稱為天王
[00:08:07.000 --> 00:08:09.000]  他下面有東王楊受清
[00:08:09.000 --> 00:08:11.000]  西王蕭朝貴
[00:08:11.000 --> 00:08:13.000]  南王馮桓山
[00:08:13.000 --> 00:08:15.000]  北王禮昌輝
[00:08:15.000 --> 00:08:17.000]  翼王石達開
[00:08:17.000 --> 00:08:19.000]  其中最有勢力的
[00:08:19.000 --> 00:08:23.000]  可以說是首推東王楊受清
[00:08:23.000 --> 00:08:26.000]  受清本來是紫荊山燒炭的工人
[00:08:26.000 --> 00:08:28.000]  後來成為了上帝會的信徒
[00:08:28.000 --> 00:08:31.000]  也是燒炭工人的領袖
[00:08:31.000 --> 00:08:33.000]  太平軍起義的時候
[00:08:33.000 --> 00:08:37.000]  席捲湖南、湖北、江西、安徽、宋省
[00:08:37.000 --> 00:08:39.000]  逼近長江
[00:08:39.000 --> 00:08:43.000]  但是馮桓山和蕭朝貴先後戰死
[00:08:43.000 --> 00:08:45.000]  而太平軍攻陷了武漢
[00:08:45.000 --> 00:08:48.000]  已經有50萬餘眾
[00:08:48.000 --> 00:08:52.000]  1853年迅速攻陷南京
