
[00:00:00.000 --> 00:00:06.760]  我們今天分享的題目是
[00:00:06.760 --> 00:00:11.720]  「活在聖靈中的人際關係」
[00:00:11.720 --> 00:00:14.840]  我們一直在討論《耳窟所說》
[00:00:14.840 --> 00:00:17.340]  今天來到第六章
[00:00:17.340 --> 00:00:18.840]  我們在第六章裏面
[00:00:18.840 --> 00:00:20.240]  在頭幾節裏面
[00:00:20.240 --> 00:00:24.200]  究竟保羅在說甚麼人際關係呢?
[00:00:24.200 --> 00:00:25.640]  在說兩種
[00:00:25.640 --> 00:00:29.120]  第一種是父母和子女
[00:00:29.120 --> 00:00:33.440]  第二種是僕人和主人
[00:00:33.440 --> 00:00:34.960]  你一會兒聽的時候
[00:00:34.960 --> 00:00:36.560]  你就會知道當日
[00:00:36.560 --> 00:00:40.120]  其實我說保羅寫信給不同的教會
[00:00:40.120 --> 00:00:44.120]  其實他們是甚麼場合來看這封信呢?
[00:00:44.120 --> 00:00:46.400]  不是看 是聽
[00:00:46.400 --> 00:00:48.960]  當日不會有個複製印給大家
[00:00:48.960 --> 00:00:49.640]  一人一封
[00:00:49.640 --> 00:00:50.840]  「保羅寄了信來」
[00:00:50.840 --> 00:00:52.360]  現在就給大家一人一份
[00:00:52.360 --> 00:00:53.080]  沒有的
[00:00:53.080 --> 00:00:55.480]  當日其實是靠口傳的
[00:00:55.480 --> 00:00:57.360]  當有書信來的時候
[00:00:57.360 --> 00:01:00.240]  就邀請弟兄姊妹聚在一起
[00:01:00.240 --> 00:01:04.640]  來聽究竟保羅跟他們說甚麼說話
[00:01:04.640 --> 00:01:06.720]  而今天說這兩種的關係
[00:01:06.720 --> 00:01:10.240]  我可以說跟在座每一個弟兄姊妹
[00:01:10.240 --> 00:01:12.680]  都是有關的
[00:01:12.680 --> 00:01:15.800]  在《約翰福音》13章34節
[00:01:15.800 --> 00:01:17.520]  他說耶穌說
[00:01:17.520 --> 00:01:20.160]  「我賜給你們一條新命令
[00:01:20.160 --> 00:01:23.760]  乃是叫你們彼此相愛
[00:01:23.760 --> 00:01:25.360]  我怎樣愛你們
[00:01:25.360 --> 00:01:28.760]  你們也要怎樣相愛」
[00:01:28.760 --> 00:01:31.160]  這條新的命令
[00:01:31.160 --> 00:01:32.520]  我很想你們記住
[00:01:32.520 --> 00:01:33.800]  新的命令
[00:01:33.800 --> 00:01:35.200]  因為跟一會兒所說的
[00:01:35.200 --> 00:01:37.520]  「以分所恕」裏面保羅所說
[00:01:37.520 --> 00:01:40.200]  很有關係
[00:01:40.200 --> 00:01:43.440]  究竟耶穌說的新的命令
[00:01:43.440 --> 00:01:45.000]  是要怎樣的呢?
[00:01:45.000 --> 00:01:46.840]  如果未信的弟兄姊妹
[00:01:46.840 --> 00:01:48.320]  即是未信的朋友
[00:01:48.320 --> 00:01:51.600]  如果當日第一身聽到耶穌這樣說
[00:01:51.600 --> 00:01:53.320]  可能他會睜大眼睛
[00:01:53.320 --> 00:01:54.800]  他說「啊?不是吧?」
[00:01:54.800 --> 00:01:55.920]  「要這樣的嗎?」
[00:01:55.920 --> 00:01:58.200]  「這樣叫做愛人嗎?」
[00:01:58.200 --> 00:01:59.400]  我們現在看看
[00:01:59.400 --> 00:02:01.400]  耶穌想說的這句話
[00:02:01.400 --> 00:02:03.640]  是跟我們全部人說的
[00:02:03.640 --> 00:02:04.640]  你看看帕拉夫恩
[00:02:04.640 --> 00:02:08.240]  第1、6章27節已經說
[00:02:08.240 --> 00:02:09.000]  耶穌說
[00:02:09.000 --> 00:02:12.400]  「只是我告訴你們者聽道的人
[00:02:12.400 --> 00:02:13.520]  包括你和我
[00:02:13.520 --> 00:02:16.000]  所有聽道的人
[00:02:16.000 --> 00:02:18.880]  你們的仇敵」
[00:02:18.880 --> 00:02:21.080]  要怎樣的呢?
[00:02:21.080 --> 00:02:23.080]  要打他?
[00:02:23.080 --> 00:02:25.400]  要殺他?
[00:02:25.400 --> 00:02:27.000]  第一句
[00:02:27.000 --> 00:02:28.600]  你幻想當日如果去到
[00:02:28.600 --> 00:02:31.520]  很多人在聽耶穌說的話
[00:02:31.520 --> 00:02:32.400]  耶穌來到
[00:02:32.400 --> 00:02:35.000]  「甚麼叫彼此相愛呢?」
[00:02:35.000 --> 00:02:36.920]  「你們全部人要聽了」
[00:02:36.920 --> 00:02:38.240]  第一句就說
[00:02:38.240 --> 00:02:41.080]  「你們的仇敵要愛他」
[00:02:41.080 --> 00:02:42.720]  我想那些人馬上就醒了
[00:02:42.720 --> 00:02:44.080]  「不是吧?」
[00:02:44.080 --> 00:02:47.240]  「我打算叫耶穌教我怎樣整他」
[00:02:47.240 --> 00:02:50.440]  「你們有沒有做過這件事?」
[00:02:50.440 --> 00:02:53.760]  多謝你們有些人坦白、領頭
[00:02:53.760 --> 00:02:55.760]  不要說愛他
[00:02:55.760 --> 00:02:57.760]  我不整他已經好了
[00:02:57.760 --> 00:02:59.120]  現在耶穌說甚麼呢?
