
[00:00:00.000 --> 00:00:06.400]  相逢在萬里丈樹下
[00:00:06.400 --> 00:00:10.600]  不像一般的講道題目
[00:00:10.600 --> 00:00:18.000]  像什麼?戲名?歌名?還是小說呢?
[00:00:18.000 --> 00:00:21.400]  如果你想像力想到
[00:00:21.400 --> 00:00:23.400]  如果是一本小說或電影
[00:00:23.400 --> 00:00:25.400]  題材講什麼?
[00:00:25.400 --> 00:00:28.600]  沒錯,這是一個愛情故事
[00:00:28.600 --> 00:00:31.600]  很浪漫、很溫馨
[00:00:31.600 --> 00:00:34.600]  聖經有很多浪漫、溫馨的圖畫
[00:00:34.600 --> 00:00:38.200]  但我們在宦教時很注重教導
[00:00:38.200 --> 00:00:41.800]  於是我們很有神性
[00:00:41.800 --> 00:00:44.800]  但少了人性
[00:00:44.800 --> 00:00:49.200]  沒錯,這是一個愛情故事
[00:00:49.200 --> 00:00:52.400]  非一般的愛情故事
[00:00:52.400 --> 00:00:59.000]  是講到神與人之間的互愛互動的故事
[00:00:59.000 --> 00:01:06.800]  故事的兩個主角是神與阿巴拉海
[00:01:06.800 --> 00:01:09.800]  這個組合很特別
[00:01:09.800 --> 00:01:12.800]  如果看回前一章
[00:01:12.800 --> 00:01:14.800]  你可以打開聖經
[00:01:14.800 --> 00:01:17.800]  《賽西記》第17章第一節
[00:01:17.800 --> 00:01:23.200]  形容到神說我是全能的神
[00:01:23.200 --> 00:01:26.200]  你要做什麼?
[00:01:26.200 --> 00:01:28.200]  你要做一個完全的人
[00:01:28.200 --> 00:01:31.200]  這個配搭很完美
[00:01:31.200 --> 00:01:36.200]  全能的神遇上一個完全的人
[00:01:36.200 --> 00:01:42.200]  阿巴拉海我們很熟悉彈弦弦指的故事
[00:01:42.200 --> 00:01:46.200]  我們稱它為信心之符
[00:01:46.200 --> 00:01:50.200]  但可能我們只是將它生命中一個很突出的高潮
[00:01:50.200 --> 00:01:52.200]  蓋過了它一生
[00:01:52.200 --> 00:01:56.200]  阿巴拉海其實一生有很多轉折
[00:01:56.200 --> 00:02:00.200]  而這代相逢於萬曆像樹下
[00:02:00.200 --> 00:02:02.200]  其中一個很特別
[00:02:02.200 --> 00:02:06.200]  是與神有一個很緊密的接觸
[00:02:06.200 --> 00:02:08.200]  很緊密的互動
[00:02:08.200 --> 00:02:13.200]  非一般神與人之間的互動
[00:02:13.200 --> 00:02:17.200]  萬曆是地方名
[00:02:17.200 --> 00:02:19.200]  你看看《賽西記》第13章
[00:02:19.200 --> 00:02:21.200]  可以找到這個出處
[00:02:21.200 --> 00:02:23.200]  萬曆
[00:02:23.200 --> 00:02:25.200]  那裡有什麼特別地方?
[00:02:25.200 --> 00:02:27.200]  那裡是一個沙漠的綠洲
