
[00:00:00.000 --> 00:00:06.640]  好 首先我們低頭祈禱
[00:00:06.640 --> 00:00:09.920]  主啊 多謝禰給我們這個時間來敬拜禰
[00:00:09.920 --> 00:00:11.520]  思想禰的華語
[00:00:11.520 --> 00:00:14.760]  求禰安置我們的心
[00:00:14.760 --> 00:00:16.200]  對我們每一個人的說話
[00:00:16.200 --> 00:00:19.560]  我們一起祈禱共主耶穌基督命逅
[00:00:19.560 --> 00:00:21.680]  大家知道今天是六四
[00:00:21.680 --> 00:00:24.040]  六四是一個紀念
[00:00:24.040 --> 00:00:26.680]  每年六四在維園
[00:00:26.680 --> 00:00:27.880]  現在應該也在
[00:00:27.880 --> 00:00:31.080]  都有一個紀念的儀式
[00:00:31.080 --> 00:00:32.680]  紀念的行動
[00:00:32.680 --> 00:00:34.200]  今天我們讀這個經文
[00:00:34.200 --> 00:00:37.320]  詩篇81篇都是一個紀念
[00:00:37.320 --> 00:00:41.400]  在紀念一個節日
[00:00:41.400 --> 00:00:42.800]  如果你有聖經
[00:00:42.800 --> 00:00:45.200]  我希望你拿出來
[00:00:45.200 --> 00:00:46.280]  如果你有聖經
[00:00:46.280 --> 00:00:46.880]  我希望你拿出來
[00:00:46.880 --> 00:00:49.840]  我們會讀一些經文
[00:00:49.840 --> 00:00:52.400]  你們讀 我解
[00:00:52.400 --> 00:00:57.240]  這很公平
[00:00:57.240 --> 00:01:00.040]  這個經文在猶太人的傳統里
[00:01:00.040 --> 00:01:03.800]  是紀念或者慶祝駐彭節的
[00:01:03.800 --> 00:01:05.240]  大家就說
[00:01:05.240 --> 00:01:07.240]  為什麼呢?
[00:01:07.240 --> 00:01:09.240]  還有駐彭節是什麼意思呢?
[00:01:09.240 --> 00:01:10.720]  我要先解釋一下
[00:01:10.720 --> 00:01:12.080]  然後再解釋一下
[00:01:12.080 --> 00:01:14.760]  對我們今天的意思是什麼
[00:01:14.760 --> 00:01:19.480]  我們首先讀第一到第三節
[00:01:19.480 --> 00:01:24.440]  81篇第一到第三節
[00:01:24.440 --> 00:01:26.760]  81篇第一到第三節
[00:01:26.760 --> 00:01:28.480]  1 2 3
[00:01:28.480 --> 00:01:30.080]  你們當向神
[00:01:30.080 --> 00:01:32.760]  我們的力量大聲歡呼
[00:01:32.760 --> 00:01:35.600]  向雅各的神發聲歡樂
[00:01:35.600 --> 00:01:37.040]  唱起詩歌
[00:01:37.040 --> 00:01:38.320]  打手鼓
[00:01:38.320 --> 00:01:40.240]  彈尾琴與室
[00:01:40.240 --> 00:01:42.400]  當在越索並越忙
[00:01:42.400 --> 00:01:45.240]  我們過節的日期催國
[00:01:45.240 --> 00:01:45.800]  是 行了
[00:01:45.800 --> 00:01:47.040]  一到三
[00:01:47.040 --> 00:01:49.280]  不用買一送一那麼快
[00:01:49.280 --> 00:01:53.640]  這裡說的是催皓國
[00:01:53.640 --> 00:01:58.120]  我們說猶太人當時是什麼時候催皓國呢?
[00:01:58.120 --> 00:01:59.120]  按照我們所知
[00:01:59.120 --> 00:02:02.200]  只有一個時期他們會催皓國
[00:02:02.200 --> 00:02:04.200]  就是7月1日
[00:02:04.200 --> 00:02:06.680]  這是在摩西律法裡面說的
[00:02:06.680 --> 00:02:09.960]  還有第二節說他們彈琴
[00:02:09.960 --> 00:02:11.720]  又擊鼓
[00:02:11.720 --> 00:02:13.880]  很明顯是一個慶典
