
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 新年蒙恩
[00:00:05.000 --> 00:00:09.000]  我們感謝神可以在年初二的時候
[00:00:09.000 --> 00:00:12.000]  我們弟兄姊妹一起聚集在神的家中
[00:00:12.000 --> 00:00:15.000]  一起去敬拜 一起去感謝祂
[00:00:15.000 --> 00:00:20.000]  我們常常提及上帝賜下豐富的恩典
[00:00:20.000 --> 00:00:23.000]  在新年的時候我們常常都會祝福大家
[00:00:23.000 --> 00:00:26.000]  恩福滿滿 恩典常在
[00:00:26.000 --> 00:00:30.000]  例如今天在周刊上有一句說話在封面
[00:00:30.000 --> 00:00:35.000]  叫做主恩常在
[00:00:35.000 --> 00:00:39.000]  最好的福氣是有主的恩惠
[00:00:39.000 --> 00:00:42.000]  主恩典常在我們生命中
[00:00:42.000 --> 00:00:45.000]  所以我都會想大家在開始的時候
[00:00:45.000 --> 00:00:47.000]  用這句說話去給予祝福
[00:00:47.000 --> 00:00:50.000]  或者你覺得主恩常在太普遍
[00:00:50.000 --> 00:00:52.000]  你可以改改它
[00:00:52.000 --> 00:01:00.000]  主恩滿在 主恩常伴隨 主恩同在
[00:01:00.000 --> 00:01:02.000]  大家彼此有祝福
[00:01:02.000 --> 00:01:15.000]  在詩篇23篇 我們大家常常讀的詩篇
[00:01:15.000 --> 00:01:16.000]  大家都會記得
[00:01:16.000 --> 00:01:17.000]  開始的時候就提到
[00:01:17.000 --> 00:01:22.000]  耶和華是我的目者 我必不至於缺乏
[00:01:22.000 --> 00:01:24.000]  去到第六節的時候就提到
[00:01:24.000 --> 00:01:30.000]  我一生一世必有恩惠慈愛隨著我
[00:01:30.000 --> 00:01:36.000]  我且要住在耶和華的殿中直到永遠
[00:01:36.000 --> 00:01:39.000]  今天我們思想在神的殿中
[00:01:39.000 --> 00:01:42.000]  怎樣來與神同在
[00:01:42.000 --> 00:01:48.000]  剛剛前幾天有弟兄送給我一份對聯
[00:01:48.000 --> 00:01:50.000]  給大家看看
[00:01:50.000 --> 00:01:59.000]  一生一世主殿中 恩惠慈愛永相隨
[00:01:59.000 --> 00:02:02.000]  正正在說23篇裡面所提及的
[00:02:02.000 --> 00:02:10.000]  人能夠在神的裡面領受神永遠不改變的恩惠慈愛
[00:02:10.000 --> 00:02:12.000]  大家讀一次
[00:02:12.000 --> 00:02:18.000]  一生一世主殿中 恩惠慈愛永相隨
[00:02:18.000 --> 00:02:20.000]  願主賜福大家
[00:02:20.000 --> 00:02:22.000]  我們今天特別感恩
[00:02:22.000 --> 00:02:26.000]  有弟兄姊妹的家庭一起來參加崇拜
[00:02:26.000 --> 00:02:28.000]  所以我們有大朋友小朋友
[00:02:28.000 --> 00:02:31.000]  有成年有青年有兒童有長者
[00:02:31.000 --> 00:02:34.000]  我們大家仔仔一堂一起來敬拜上帝
[00:02:34.000 --> 00:02:36.000]  因此今天我們很願意
[00:02:36.000 --> 00:02:38.000]  上帝閱讀我們的敬拜
[00:02:38.000 --> 00:02:41.000]  我們都歡歡喜喜地一齊敬拜上帝
[00:02:41.000 --> 00:02:43.000]  大家一齊我們再祈禱
[00:02:43.000 --> 00:02:45.000]  我們仰望主帶領這段時間
[00:02:45.000 --> 00:02:48.000]  施恩的主
[00:02:48.000 --> 00:02:50.000]  我們感謝你
[00:02:50.000 --> 00:02:53.000]  因為你賜下各樣的恩惠
[00:02:53.000 --> 00:02:58.000]  主在我們回想人生所經歷的事情
[00:02:58.000 --> 00:03:01.000]  主在我們想不到的時候
[00:03:01.000 --> 00:03:03.000]  你賜下恩惠
[00:03:03.000 --> 00:03:06.000]  就算在困難患難當中
[00:03:06.000 --> 00:03:09.000]  你給我們經歷你所賜的力量
[00:03:09.000 --> 00:03:11.000]  來面對一切
[00:03:11.000 --> 00:03:13.000]  這些一切的困難
[00:03:13.000 --> 00:03:16.000]  反而成為了我們生命的祝福
[00:03:16.000 --> 00:03:21.000]  主我們在中國人的農曆年開始的時候
[00:03:21.000 --> 00:03:23.000]  主我們更加願意在你面前
[00:03:23.000 --> 00:03:25.000]  同心獻上我們的感謝
[00:03:25.000 --> 00:03:28.000]  也向你求新的恩
[00:03:28.000 --> 00:03:32.000]  因為主我們知道我們需要你的恩惠
[00:03:32.000 --> 00:03:39.000]  主在人生的路上遇到很多不同的試探挑戰
[00:03:39.000 --> 00:03:43.000]  主求你以你的恩典來托住我們
[00:03:43.000 --> 00:03:47.000]  以你的憐憫來引導我們
[00:03:47.000 --> 00:03:51.000]  又將你自己的恩賢向上賜下
[00:03:51.000 --> 00:03:53.000]  讓我們因為你的道
[00:03:53.000 --> 00:03:55.000]  我們的生命得到真正的飽足
[00:03:55.000 --> 00:03:58.000]  因為主你的說話是天上的瑪雅
[00:03:58.000 --> 00:04:01.000]  讓人得到真正的福氣
[00:04:01.000 --> 00:04:03.000]  如今我們等候在你的面前
[00:04:03.000 --> 00:04:06.000]  求主賜下你的恩賢
[00:04:06.000 --> 00:04:08.000]  施恩引導我們
[00:04:08.000 --> 00:04:11.000]  我們仰望祈禱奉耶穌名字求
[00:04:11.000 --> 00:04:15.000]  我們剛才提過詩篇23篇
[00:04:15.000 --> 00:04:19.000]  相信是最多人讀的一篇詩篇
[00:04:19.000 --> 00:04:21.000]  同樣詩篇的84篇
[00:04:21.000 --> 00:04:25.000]  很多人稱為詩篇裏面最甜美的詩
[00:04:25.000 --> 00:04:30.000]  甜美是因為描述人和神之間的關係
[00:04:30.000 --> 00:04:32.000]  人與人親近
[00:04:32.000 --> 00:04:35.000]  人在神的裏面得著滿足
[00:04:35.000 --> 00:04:37.000]  是一篇甜美的詩篇
[00:04:37.000 --> 00:04:39.000]  因此我們今天讀的時候
[00:04:39.000 --> 00:04:42.000]  你留意到聖經裏面說這位作者
[00:04:42.000 --> 00:04:47.000]  講述他如何渴慕神而住在神的裏面
[00:04:47.000 --> 00:04:49.000]  所以84篇你開始的時候
[00:04:49.000 --> 00:04:51.000]  見到這位作者
[00:04:51.000 --> 00:04:55.000]  聖經說他是可拉的子孫或後代
[00:04:55.000 --> 00:04:58.000]  可拉是當時在聖殿當中
[00:04:58.000 --> 00:05:01.000]  他們是負責歌唱的一群人
[00:05:01.000 --> 00:05:03.000]  他們常常在神的殿當中
[00:05:03.000 --> 00:05:06.000]  頌唱上帝敬拜上帝
[00:05:06.000 --> 00:05:11.000]  而他們將心中那份渴慕表達出來
[00:05:11.000 --> 00:05:13.000]  同時你留意到聖經裏面
[00:05:13.000 --> 00:05:16.000]  講述的都是當時有一群人
