
[00:00:00.000 --> 00:00:08.000]  我們說這個天堂的系列已經說了幾個信息
[00:00:08.000 --> 00:00:11.500]  我們說了天堂究竟在哪裏
[00:00:11.500 --> 00:00:16.500]  我們也說了這個新天新地天堂的樣貌會是怎樣
[00:00:16.500 --> 00:00:19.500]  今天要和大家說的是一個城
[00:00:19.500 --> 00:00:23.500]  是天堂之城,是新耶路撒冷城
[00:00:23.500 --> 00:00:29.500]  這個城和我們現在世上的城市都會很相似
[00:00:29.500 --> 00:00:34.500]  我們知道我們世上最大的城市是東京市
[00:00:34.500 --> 00:00:38.000]  有3700萬人口
[00:00:38.000 --> 00:00:40.500]  這個已經是幾年前的數字
[00:00:40.500 --> 00:00:44.500]  所以現在可能已經去到3800萬、3900萬
[00:00:44.500 --> 00:00:50.000]  而第二大的城市是印度的德里,有3000萬人
[00:00:50.000 --> 00:00:56.000]  中國的上海才是排第三,2600萬人口
[00:00:56.000 --> 00:00:59.500]  如果我們看整個面積的話
[00:00:59.500 --> 00:01:04.500]  最大的可能都是大東京地區
[00:01:04.500 --> 00:01:09.500]  一共有5200平方里很大
[00:01:09.500 --> 00:01:12.500]  也有人說美國的紐約市很大
[00:01:12.500 --> 00:01:17.500]  如果說紐約市就要說大紐約市的地區
[00:01:17.500 --> 00:01:21.500]  包括紐約市、連串加哥
[00:01:21.500 --> 00:01:25.500]  才去到4669平方里
[00:01:25.500 --> 00:01:29.000]  將來我們會看到新耶路撒冷城
[00:01:29.000 --> 00:01:35.500]  無論在人口、面積都會大過所有這些城市
[00:01:35.500 --> 00:01:41.500]  例如數幾篇在約翰福音的14章,一至三節
[00:01:41.500 --> 00:01:47.500]  他說你們心裡不要憂愁,你們信神也當信我
[00:01:47.500 --> 00:01:50.500]  在我父的家裡有許多住處
[00:01:50.500 --> 00:01:54.500]  若是沒有,我就早已告訴你們了
[00:01:54.500 --> 00:01:58.500]  我去完事為你們預備地方去
[00:01:58.500 --> 00:02:04.500]  我若去為你們預備了地方,就必再來接你們到我那裡去
[00:02:04.500 --> 00:02:07.500]  我在那裡叫你們也在那裡
[00:02:07.500 --> 00:02:12.500]  很明顯門徒是不明白耶穌基督所說的話
[00:02:12.500 --> 00:02:18.500]  當耶穌基督告訴門徒聽,他自己會受難受苦
[00:02:18.500 --> 00:02:25.500]  會釘十字架,被埋葬復活後會回到父那裡
[00:02:25.500 --> 00:02:31.500]  相信門徒是很傷心,但耶穌基督安慰他們說
[00:02:31.500 --> 00:02:36.500]  我是去為你們預備地方,我還會來迎接你們
[00:02:36.500 --> 00:02:41.500]  門徒不明白,在約翰福音第十四章的第五節
[00:02:41.500 --> 00:02:44.500]  多瑪和耶穌基督說,他說主呀
[00:02:44.500 --> 00:02:50.500]  我們不知道你往那裡去,怎知道那條路呢
[00:02:50.500 --> 00:02:56.500]  他們以為耶穌基督說,我現在離開了,你們將來要來找我
[00:02:56.500 --> 00:02:59.500]  多瑪說,我都不懂這條路怎麼來找你
[00:02:59.500 --> 00:03:04.500]  原來耶穌基督說,他在天堂預備了地方
[00:03:04.500 --> 00:03:07.500]  他會回來迎接我們
[00:03:07.500 --> 00:03:12.500]  這番話是耶穌基督和門徒說的,但也是和我們說的
[00:03:12.500 --> 00:03:17.500]  這個天堂其中一個地方就是新耶路撒冷城
[00:03:17.500 --> 00:03:21.500]  是一個實實在在的地方
[00:03:21.500 --> 00:03:25.500]  其實聖經裡面有說到三個耶路撒冷城
[00:03:25.500 --> 00:03:29.500]  我們最熟悉的就是大衛之城
[00:03:29.500 --> 00:03:33.500]  我們知道大衛趕出了耶布斯人
[00:03:33.500 --> 00:03:38.500]  他是征服了耶路撒冷城,叫他做大衛之城
[00:03:38.500 --> 00:03:44.500]  這個大衛之城在新約、舊約都有提及到,是我們最熟悉的
[00:03:44.500 --> 00:03:48.500]  第二個耶路撒冷城,是在千禧年的國度
[00:03:48.500 --> 00:03:51.500]  將會有一個耶路撒冷城
[00:03:51.500 --> 00:03:59.500]  這個在以西傑書的40章和48章都有提到這個城
[00:03:59.500 --> 00:04:05.500]  而我們今天所要說的就是在啟示錄21章和22章
[00:04:05.500 --> 00:04:09.500]  所說的天堂之城,新耶路撒冷
[00:04:09.500 --> 00:04:15.500]  在啟示錄的21、22章,11次提到城這個字
[00:04:15.500 --> 00:04:21.500]  我們將來是會有榮耀的身體,會永遠和神住在天堂
[00:04:21.500 --> 00:04:25.500]  其中一個城就是新耶路撒冷城
[00:04:25.500 --> 00:04:32.500]  早在阿伯拉罕的時候,他就在等待著一座有根基的城
[00:04:32.500 --> 00:04:36.500]  等一會我們就會看到這座城真的有根有基
[00:04:36.500 --> 00:04:40.500]  這座城是神所經營、是神所創造的
[00:04:40.500 --> 00:04:44.500]  希伯萊書11章第十節告訴我們
[00:04:44.500 --> 00:04:52.500]  希伯萊書的作者,也在希伯萊書的12章、22節比較兩座山
[00:04:52.500 --> 00:04:56.500]  哪兩座山?第一座是西奈山
[00:04:56.500 --> 00:05:00.500]  昔日神就在西奈山頒律法給摩西
[00:05:00.500 --> 00:05:05.500]  頒律法的時候有雷軍閃電,令人膽戰心驚
[00:05:05.500 --> 00:05:09.500]  所頒的律法也是沒有人能夠守得住
[00:05:09.500 --> 00:05:14.500]  但是將來在石安山的上高,將會有新耶路撒冷城
[00:05:14.500 --> 00:05:17.500]  充滿了神的恩典
[00:05:17.500 --> 00:05:23.500]  每一個接受耶穌基督的人都能夠永遠地在這座城裡
[00:05:23.500 --> 00:05:26.500]  永遠與神同在
[00:05:26.500 --> 00:05:34.500]  希伯萊書在《加拉太》的4章26節說:那在上的耶路撒冷
[00:05:34.500 --> 00:05:39.500]  在上的耶路撒冷就不是我們在說的大圍之城
[00:05:39.500 --> 00:05:43.500]  就是我們將來在天堂的耶路撒冷城
[00:05:43.500 --> 00:05:47.500]  在我們今天的經文我們都看到
[00:05:47.500 --> 00:05:53.500]  在啟示錄的3章12節、21章2節和21章10節
[00:05:53.500 --> 00:05:58.500]  經文3次提到天使給約翰看到
[00:05:58.500 --> 00:06:05.500]  有一個耶路撒冷城是從天而降,是從神那裡降落下來
[00:06:05.500 --> 00:06:08.500]  為什麼會從神那裡降落?
[00:06:08.500 --> 00:06:13.500]  原因很簡單,因為這個城是屬於神的
[00:06:13.500 --> 00:06:17.500]  因為這個城也是神所設計,是神所創造
[00:06:17.500 --> 00:06:21.500]  城裡面也是充滿了神的榮耀
[00:06:21.500 --> 00:06:25.500]  在創世紀的21章9至10節
[00:06:25.500 --> 00:06:34.500]  有一位天使對約翰說:你來,我要將身輔就是羔羊的妻子給離汗
[00:06:34.500 --> 00:06:40.500]  於是約翰被聖靈感動,天使帶他去到一座高山
[00:06:40.500 --> 00:06:44.500]  他就看到聖城耶路撒冷從天而降
[00:06:44.500 --> 00:06:52.500]  經文說天使要將新娘給約翰來看
[00:06:52.500 --> 00:06:58.500]  我們先看看羔羊的身輔是什麼
[00:06:58.500 --> 00:07:03.500]  我們看到聖經教我們教會是耶穌基督的身輔
[00:07:03.500 --> 00:07:07.500]  耶穌基督有一天會回來迎接我們
[00:07:07.500 --> 00:07:11.500]  我們和耶穌基督的關係,教會和耶穌基督的關係
[00:07:11.500 --> 00:07:16.500]  和猶太人婚禮的習俗很相似
[00:07:16.500 --> 00:07:21.500]  根據猶太人的習俗,他們的婚禮有五個部分
[00:07:21.500 --> 00:07:24.500]  第一個步驟就是下聘定婚
