
[00:00:00.000 --> 00:00:06.000]  我們在今個季度思想一個題目
[00:00:06.000 --> 00:00:11.000]  就是守望相愛,警醒後主
[00:00:11.000 --> 00:00:15.000]  大家知道貼索羅尼加前書所提及的訊息
[00:00:15.000 --> 00:00:21.000]  不斷勉勵我們在弟兄姊妹的關係上學習彼此守望相愛
[00:00:21.000 --> 00:00:25.000]  特別清楚當主耶穌再回來的時候
[00:00:25.000 --> 00:00:28.000]  日子不會很久
[00:00:28.000 --> 00:00:34.000]  聖經激勵我們提醒我們更加要留意學習彼此的守望相愛
[00:00:34.000 --> 00:00:36.000]  現在我們來到聖經第二章
[00:00:36.000 --> 00:00:39.000]  在我們看聖經之前大家再一起同心祈禱
[00:00:39.000 --> 00:00:41.000]  我們交托神
[00:00:41.000 --> 00:00:43.000]  主我們感謝祢
[00:00:43.000 --> 00:00:47.000]  祢再次讓我們來到敬拜祢
[00:00:47.000 --> 00:00:52.000]  主祢是天上那位掌管天地的上帝
[00:00:52.000 --> 00:00:55.000]  祢的慈愛常達諸天
[00:00:55.000 --> 00:00:58.000]  祢的信實直到窮滄
[00:00:58.000 --> 00:01:01.000]  有些時候我們感覺我們不配得祢的愛
[00:01:01.000 --> 00:01:04.000]  但祢的愛仍然不改變
[00:01:04.000 --> 00:01:07.000]  仍然淋到我們的身上
[00:01:07.000 --> 00:01:09.000]  主啊,求祢激勵我們的心
[00:01:09.000 --> 00:01:12.000]  真正知道上上去侍奉祢
[00:01:12.000 --> 00:01:14.000]  去跟隨祢
[00:01:14.000 --> 00:01:16.000]  免得我們的心偏移
[00:01:16.000 --> 00:01:18.000]  我們轉向其他
[00:01:18.000 --> 00:01:22.000]  讓我們知道唯有祢是似生命之道的上帝
[00:01:22.000 --> 00:01:25.000]  唯有祢配得我們對祢的尊崇
[00:01:25.000 --> 00:01:27.000]  所以今天當我們打開聖經
[00:01:27.000 --> 00:01:29.000]  思想祢的說話的時候
[00:01:29.000 --> 00:01:32.000]  求主席的聖靈開啟我們的心思
[00:01:32.000 --> 00:01:34.000]  更認識祢
[00:01:34.000 --> 00:01:36.000]  也更知道去敬畏祢
[00:01:36.000 --> 00:01:38.000]  聽從祢
[00:01:38.000 --> 00:01:40.000]  求祢這樣帶領我們
[00:01:40.000 --> 00:01:41.000]  我們同心祈禱
[00:01:41.000 --> 00:01:43.000]  奉耶穌基督成名求
[00:01:43.000 --> 00:01:45.000]  阿們
[00:01:45.000 --> 00:01:48.000]  大家看回聖經的《帖索萊迪加前書》
[00:01:48.000 --> 00:01:51.000]  在上星期我們會提及到
[00:01:51.000 --> 00:01:53.000]  在第一章裏面
[00:01:53.000 --> 00:01:56.000]  聖經提及到當時接受萊迪加的人
[00:01:56.000 --> 00:01:58.000]  他們離棄偶像
[00:01:58.000 --> 00:01:59.000]  歸向神
[00:01:59.000 --> 00:02:03.000]  要服侍那位又真又活的上帝
[00:02:03.000 --> 00:02:05.000]  生命已經轉了方向
[00:02:05.000 --> 00:02:08.000]  不再服侍那些假神
[00:02:08.000 --> 00:02:10.000]  不再侍奉自己
[00:02:10.000 --> 00:02:14.000]  而是很清楚服侍那位又真又活的上帝
[00:02:14.000 --> 00:02:16.000]  來到第二章的時候
[00:02:16.000 --> 00:02:18.000]  保羅也清楚說出
[00:02:18.000 --> 00:02:20.000]  要去傳揚福音
[00:02:20.000 --> 00:02:22.000]  要去侍奉上帝
[00:02:22.000 --> 00:02:25.000]  當中有三個很重要的方向
[00:02:25.000 --> 00:02:28.000]  或者說侍奉的一個重點
[00:02:28.000 --> 00:02:30.000]  免得我們在跟隨神的路上
[00:02:30.000 --> 00:02:32.000]  按照這三個方向
[00:02:32.000 --> 00:02:34.000]  一起來努力
[00:02:34.000 --> 00:02:36.000]  因此我們今天思想經文的時候
[00:02:36.000 --> 00:02:39.000]  也都試下從這三方面來思想
[00:02:39.000 --> 00:02:43.000]  大家先看聖經第二章第二節
[00:02:43.000 --> 00:02:45.000]  第二章第二節
[00:02:45.000 --> 00:02:49.000]  「從前在菲律賓雖然受了苦又被凌辱
[00:02:49.000 --> 00:02:52.000]  可是靠著我們的神在強烈的反對之下
[00:02:52.000 --> 00:02:56.000]  仍然放膽向你們述說神的福音
[00:02:56.000 --> 00:02:59.000]  這是你們知道的」
[00:02:59.000 --> 00:03:03.000]  保羅提及傳揚福音和侍奉神的時候
[00:03:03.000 --> 00:03:07.000]  一個重要的方向就是放膽侍奉
[00:03:07.000 --> 00:03:11.000]  放開膽量來作主的見證
[00:03:11.000 --> 00:03:15.000]  或者你會留意到剛才所提及的經文
[00:03:15.000 --> 00:03:18.000]  保羅在菲律賓受了很多的苦害
[00:03:18.000 --> 00:03:21.000]  聖經哲行傳第十六章就講述
[00:03:21.000 --> 00:03:24.000]  當他們去到菲律賓的時候
[00:03:24.000 --> 00:03:26.000]  當時他們見到一位侍女
[00:03:26.000 --> 00:03:29.000]  一個主人她的瀑皮
[00:03:29.000 --> 00:03:31.000]  但這個瀑皮被鬼所附
[00:03:31.000 --> 00:03:34.000]  保羅在她身上趕出鬼來
[00:03:34.000 --> 00:03:38.000]  但因此這個主人就非常不高興
[00:03:38.000 --> 00:03:41.000]  因為她靠這個瀑皮所作的法術
[00:03:41.000 --> 00:03:44.000]  來得到很多財富
[00:03:44.000 --> 00:03:46.000]  當鬼被趕出來之後
[00:03:46.000 --> 00:03:49.000]  她就斷了這條財路
[00:03:49.000 --> 00:03:51.000]  因此她很不開心
