
[00:00:00.000 --> 00:00:05.000]  英哲普早晨
[00:00:05.000 --> 00:00:08.000]  由介紹港元到現在不用介紹港元
[00:00:08.000 --> 00:00:12.000]  好像是大家的一份子
[00:00:12.000 --> 00:00:13.000]  我獻上感恩
[00:00:13.000 --> 00:00:16.000]  多謝過去陳律師給我的機會
[00:00:16.000 --> 00:00:18.000]  當我在溫哥華的時間
[00:00:18.000 --> 00:00:20.000]  給我每個月都有機會和大家分享
[00:00:20.000 --> 00:00:24.000]  今次應該是短期內最後一次
[00:00:24.000 --> 00:00:27.000]  因為我月底就會回香港
[00:00:27.000 --> 00:00:31.000]  要到明年計劃四月才回來
[00:00:31.000 --> 00:00:34.000]  所以這段時間我再次多謝教會
[00:00:34.000 --> 00:00:36.000]  多謝陳律師給我的機會和大家分享
[00:00:36.000 --> 00:00:41.000]  我想除了在我自己牧羊的教會之外
[00:00:41.000 --> 00:00:45.000]  應該很多機會講到的地方
[00:00:45.000 --> 00:00:47.000]  第一就是溫哥華報道會
[00:00:47.000 --> 00:00:49.000]  多謝大家的接納
[00:00:49.000 --> 00:00:52.000]  我和大家看登山部份
[00:00:52.000 --> 00:00:56.000]  登山部份今次暫時的段落
[00:00:56.000 --> 00:00:58.000]  也很適合這個時間
[00:00:58.000 --> 00:01:01.000]  因為剛剛是第五章的最後一段
[00:01:01.000 --> 00:01:03.000]  登山部份很明顯
[00:01:03.000 --> 00:01:06.000]  第五章和第六章是兩個分水嶺
[00:01:06.000 --> 00:01:09.000]  第五章用的表達方式
[00:01:09.000 --> 00:01:11.000]  和第六章的表達方式
[00:01:11.000 --> 00:01:13.000]  是兩個不同的方式
[00:01:13.000 --> 00:01:19.000]  所以這段可以說是短期內的結束經文
[00:01:19.000 --> 00:01:23.000]  這段經文是論內仇敵
[00:01:23.000 --> 00:01:27.000]  請問大家有沒有仇敵?
[00:01:27.000 --> 00:01:35.000]  我猜應該大部份的弟兄姊妹
[00:01:35.000 --> 00:01:37.000]  約略是沒有的
[00:01:37.000 --> 00:01:39.000]  不過有沒有一些人
[00:01:39.000 --> 00:01:42.000]  你是很難溝通很難接納
[00:01:42.000 --> 00:01:46.000]  或者甚至是你覺得他傷害過你
[00:01:46.000 --> 00:01:49.000]  所以你不和他交往
[00:01:49.000 --> 00:01:53.000]  裏面有一種情緒未曾處理
[00:01:53.000 --> 00:01:55.000]  有沒有呢?
[00:01:55.000 --> 00:01:57.000]  不用舉手
[00:01:57.000 --> 00:02:01.000]  我只是問你有沒有呢?
[00:02:01.000 --> 00:02:04.000]  希望這段經文能夠對我們有幫助
[00:02:04.000 --> 00:02:06.000]  多謝施班秉烈
[00:02:06.000 --> 00:02:08.000]  一個很傳統的師哥提醒我們
[00:02:08.000 --> 00:02:11.000]  我們願意真心的作主門徒
[00:02:11.000 --> 00:02:14.000]  其實這都是我們來崇拜
[00:02:14.000 --> 00:02:17.000]  我們打開聖經的基本態度
[00:02:17.000 --> 00:02:19.000]  打開聖經是上帝的說話
[00:02:19.000 --> 00:02:20.000]  光照我們
[00:02:20.000 --> 00:02:24.000]  然後我們和上帝說我們願意進行的說話
[00:02:24.000 --> 00:02:26.000]  我希望今天我們都是這樣的態度
[00:02:26.000 --> 00:02:29.000]  回應這段經文主耶穌給我們的教導
[00:02:29.000 --> 00:02:32.000]  這段經文剛才主耶穌和我們大靈兒讀出了
[00:02:32.000 --> 00:02:36.000]  就是馬達第五章三十八到四十八節
[00:02:36.000 --> 00:02:40.000]  這段聖經也是馬達第五章最後一段的經文
[00:02:40.000 --> 00:02:43.000]  正如上文我們提過幾次
[00:02:43.000 --> 00:02:47.000]  到不同的主耶穌的教導的時間
[00:02:47.000 --> 00:02:50.000]  我說第五章用的方式
[00:02:50.000 --> 00:02:51.000]  我相信大家打不陌生
[00:02:51.000 --> 00:02:52.000]  我重複過很多次
[00:02:52.000 --> 00:02:55.000]  就是用一個這樣的方式表達
[00:02:55.000 --> 00:02:58.000]  你們聽見有人這樣說
[00:02:58.000 --> 00:03:00.000]  有古人這樣說
[00:03:00.000 --> 00:03:03.000]  然後耶穌說指示我告訴你們
[00:03:03.000 --> 00:03:09.000]  是一個帶出真正上帝真理的核心
[00:03:09.000 --> 00:03:10.000]  那個精義在哪裡
[00:03:10.000 --> 00:03:14.000]  很權威地帶出一個新的界明
[00:03:14.000 --> 00:03:20.000]  然後在第二十七節和五章的三十一、三十二節
[00:03:20.000 --> 00:03:23.000]  又在第二個段落出現的
[00:03:23.000 --> 00:03:26.000]  就是論間淫的時候
[00:03:26.000 --> 00:03:29.000]  這個段落裡面有兩次出現
[00:03:29.000 --> 00:03:31.000]  上次我們看論起誓的時候
[00:03:31.000 --> 00:03:36.000]  同樣說古人的話說不論起誓等等
[00:03:36.000 --> 00:03:38.000]  但主耶穌說指示我告訴你們
[00:03:38.000 --> 00:03:40.000]  甚麼誓都不留氣等等
[00:03:40.000 --> 00:03:42.000]  這裡出現了四次
[00:03:42.000 --> 00:03:45.000]  連同這次我們看到
[00:03:45.000 --> 00:03:48.000]  第五章今天看的經文
[00:03:48.000 --> 00:03:50.000]  三十八節有一次
[00:03:50.000 --> 00:03:55.000]  然後四十三、四十四又另外第二次
[00:03:55.000 --> 00:03:56.000]  很明顯就是說
[00:03:56.000 --> 00:03:59.000]  這段經文裡面就自然分成兩個段落
[00:03:59.000 --> 00:04:00.000]  第一個段落
[00:04:00.000 --> 00:04:02.000]  你們聽見有人說
[00:04:02.000 --> 00:04:04.000]  以眼還眼 以牙還牙
[00:04:04.000 --> 00:04:07.000]  主耶穌說指示我告訴你們
[00:04:07.000 --> 00:04:10.000]  一個新的吩咐
[00:04:10.000 --> 00:04:16.000]  這樣的時候我們將它分成兩個細段來思想
[00:04:16.000 --> 00:04:21.000]  第一個段落就是三十八到四十二節
[00:04:21.000 --> 00:04:22.000]  剛才我提過了
[00:04:22.000 --> 00:04:28.000]  三十八節說以眼還眼 以牙還牙
[00:04:28.000 --> 00:04:30.000]  三十九節主耶穌說指示我告訴你們
[00:04:30.000 --> 00:04:33.000]  不要與惡人作對
[00:04:33.000 --> 00:04:37.000]  我想問問大家
[00:04:37.000 --> 00:04:40.000]  以眼還眼 以牙還牙
