
[00:00:00.000 --> 00:00:07.000]  今天想和大家分享一個真人真事
[00:00:07.000 --> 00:00:11.000]  一個本來在香港做不同的企業
[00:00:11.000 --> 00:00:14.000]  或者慈善團體
[00:00:14.000 --> 00:00:16.000]  或者公營機構
[00:00:16.000 --> 00:00:18.000]  都是做得很好的 很出色
[00:00:18.000 --> 00:00:21.000]  所以傳媒朋友給了他一個美譽
[00:00:21.000 --> 00:00:24.000]  叫做商界竅王
[00:00:24.000 --> 00:00:26.000]  在五月的時候
[00:00:26.000 --> 00:00:29.000]  他都有一個北美的傳媒報道會
[00:00:29.000 --> 00:00:31.000]  在高華站的時候
[00:00:31.000 --> 00:00:33.000]  我都會聽他的見證
[00:00:33.000 --> 00:00:36.000]  得到很大的激勵和提醒
[00:00:36.000 --> 00:00:38.000]  所以有另一晚我就再約他
[00:00:38.000 --> 00:00:40.000]  然後去請教他
[00:00:40.000 --> 00:00:44.000]  關於上帝怎樣改變他人生的經歷
[00:00:44.000 --> 00:00:46.000]  今天是福音主日
[00:00:46.000 --> 00:00:48.000]  很想和大家分享
[00:00:48.000 --> 00:00:51.000]  上帝改變人的生命的故事
[00:00:51.000 --> 00:00:54.000]  他其中負責了一個廣告
[00:00:54.000 --> 00:00:58.000]  是創造了香港廣告界的一個先河可以位
[00:00:58.000 --> 00:01:01.000]  這個廣告是1997年推出的
[00:01:01.000 --> 00:01:03.000]  大家可能未必看過
[00:01:03.000 --> 00:01:06.000]  但裏面有幾句歌詞很有意思
[00:01:06.000 --> 00:01:10.000]  我給小李聽聽那首廣告歌是怎樣
[00:01:10.000 --> 00:01:14.000]  今天有幾位香港來過境的朋友應該聽過
[00:01:14.000 --> 00:01:17.000]  是郭富城做的
[00:01:18.000 --> 00:01:21.000]  喂 車到車到
[00:01:21.000 --> 00:01:23.000]  那我們怎樣
[00:01:23.000 --> 00:01:25.000]  我們稍後再說
[00:01:25.000 --> 00:01:35.000]  有沒有聽過這個廣告歌
[00:01:35.000 --> 00:01:37.000]  有 有些人有 有些人沒有
[00:01:37.000 --> 00:01:40.000]  這個廣告有什麼特別呢
