
[00:00:00.000 --> 00:00:04.000]  各位電視姐妹早晨
[00:00:04.000 --> 00:00:08.000]  多謝主給我機會再次在大家當中分享神的說話
[00:00:08.000 --> 00:00:12.000]  過去這個星期因為香港的家人
[00:00:12.000 --> 00:00:16.000]  有些特別的事所以我們都趕了回香港
[00:00:16.000 --> 00:00:20.000]  星期四晚才回來 感謝主
[00:00:20.000 --> 00:00:24.000]  陳牧師都很客氣 他說會不會趕不及
[00:00:24.000 --> 00:00:28.000]  需要多點時間留在香港 但是都感謝主給我們回來和大家分享
[00:00:28.000 --> 00:00:36.000]  我繼續和大家講登山寶訓裏面的一段論起誓
[00:00:36.000 --> 00:00:40.000]  我相信這段經文大家都不會太陌生
[00:00:40.000 --> 00:00:42.000]  我們正在看登山寶訓裏面的說話
[00:00:42.000 --> 00:00:48.000]  登山寶訓裏面的說話好像是在平衡舊約的十誡
[00:00:48.000 --> 00:00:53.000]  我們上次看過關於不可姦淫
[00:00:53.000 --> 00:00:58.000]  這次我們看的是論起誓
[00:00:58.000 --> 00:01:02.000]  論起誓大概等於十誡裏面不可殺人不可姦淫
[00:01:02.000 --> 00:01:07.000]  不可偷渡不可作假見證
[00:01:07.000 --> 00:01:12.000]  大概的平衡
[00:01:12.000 --> 00:01:17.000]  不可偷渡是一個欺騙的行動
[00:01:17.000 --> 00:01:22.000]  不可作假見證是一個欺騙不誠實的言語
[00:01:22.000 --> 00:01:25.000]  一個是言語一個是行動
[00:01:25.000 --> 00:01:29.000]  都是和我們今天講到論起誓
[00:01:29.000 --> 00:01:33.000]  可以說是一個平衡的和舊約十誡的平衡的說法
[00:01:33.000 --> 00:01:39.000]  無論如何論起誓基本的精神是要做一個誠信的人
[00:01:39.000 --> 00:01:42.000]  當我讀這段經文的時候
[00:01:42.000 --> 00:01:46.000]  我想起很多年前當我剛剛讀完中學
[00:01:46.000 --> 00:01:51.000]  即是DSE 以前的會考現在的DSE
[00:01:51.000 --> 00:01:54.000]  在一段短的時間出來工作
[00:01:54.000 --> 00:02:02.000]  那段時間有人介紹我到一間很大的公司裏面
[00:02:02.000 --> 00:02:05.000]  是一間上市公司裏面做office boy
[00:02:05.000 --> 00:02:10.000]  當時是整間公司最年輕的那個都未夠二十歲
[00:02:10.000 --> 00:02:14.000]  這間公司很大所以有三個office boy
[00:02:14.000 --> 00:02:21.000]  正確來說另外兩個office man甚至office old man都差不多退休
[00:02:21.000 --> 00:02:30.000]  這個office old man就是在我工作那段時間裏面留下最深印象
[00:02:30.000 --> 00:02:34.000]  因為我發覺他的辯論的技巧
[00:02:34.000 --> 00:02:38.000]  好像四川辯論的人一樣很厲害
[00:02:38.000 --> 00:02:44.000]  一次我親自在行看到在辦公室裏面早上回到公司
[00:02:44.000 --> 00:02:50.000]  他跟一個女職員說我去買早餐幫你買了
[00:02:50.000 --> 00:02:53.000]  我看著女職員說不用了不用了
[00:02:53.000 --> 00:02:55.000]  她說不要緊買了幫你
[00:02:55.000 --> 00:02:59.000]  很熱心的幫他買了早餐
[00:02:59.000 --> 00:03:01.000]  沒多久之後他買了早餐上來
[00:03:01.000 --> 00:03:08.000]  我轉了回到門口在接待處的地方跟另一個職員聊天
[00:03:08.000 --> 00:03:12.000]  接著這個office old man買完早餐上來之後
[00:03:12.000 --> 00:03:15.000]  就對著接待處的同事說
[00:03:15.000 --> 00:03:18.000]  你知道那個女職員多離譜嗎
[00:03:18.000 --> 00:03:20.000]  用我買早餐嗎
[00:03:20.000 --> 00:03:23.000]  嘩 我就大開眼界
[00:03:23.000 --> 00:03:25.000]  為什麼可以這麼快
[00:03:25.000 --> 00:03:29.000]  他裏面的樣子和外面的完全看不出有任何的
[00:03:29.000 --> 00:03:31.000]  你覺得他好像很誠實
[00:03:31.000 --> 00:03:33.000]  但其實實在不是
[00:03:33.000 --> 00:03:38.000]  我講的這些例子可能對我們在座當中
[00:03:38.000 --> 00:03:40.000]  在社會打滾很多年的人
[00:03:40.000 --> 00:03:45.000]  三十歲了更奸詐的事情都沒見過
[00:03:45.000 --> 00:03:50.000]  那就是說你在奸詐的環境浸了很久
[00:03:50.000 --> 00:03:53.000]  那你有沒有受到污染
[00:03:53.000 --> 00:04:00.000]  會不會誠信任何情況之下
[00:04:00.000 --> 00:04:04.000]  對你來說甚至做了基督徒很多年
[00:04:04.000 --> 00:04:08.000]  你都覺得是很難做得到的
[00:04:08.000 --> 00:04:13.000]  我希望這段經文帶到我們去上帝面前想一下
[00:04:13.000 --> 00:04:18.000]  我們能不能夠做一個在上帝面前誠信
[00:04:18.000 --> 00:04:20.000]  能夠做一個誠實的人
[00:04:20.000 --> 00:04:23.000]  我們看看這段經文
[00:04:23.000 --> 00:04:27.000]  剛才朱棣大人讀出的馬達方第五章33到37節
[00:04:27.000 --> 00:04:32.000]  這段經文很明顯也是分成三個細段
[00:04:32.000 --> 00:04:34.000]  為什麼這麼說呢
[00:04:34.000 --> 00:04:36.000]  如果我們將它拆開來看
[00:04:36.000 --> 00:04:40.000]  第一段 第一個細段就是
[00:04:40.000 --> 00:04:44.000]  朱棣嫂說你聽見有吩咐古人的話
[00:04:44.000 --> 00:04:46.000]  這個就和我們一直看登山補訓
[00:04:46.000 --> 00:04:48.000]  這個是第四次出現的
[00:04:48.000 --> 00:04:50.000]  你聽見有這樣說
[00:04:50.000 --> 00:04:53.000]  然後朱棣嫂很權威地跟我們說
[00:04:53.000 --> 00:04:57.000]  只是我告訴你們 什麼誓都不可以
[00:04:57.000 --> 00:05:01.000]  這是第一段 好像一個開宗明義的教導
[00:05:01.000 --> 00:05:08.000]  接下來你看到一個四句平衡的句子
[00:05:08.000 --> 00:05:10.000]  不要指著那裡起誓
[00:05:10.000 --> 00:05:12.000]  因為 原因是怎樣
[00:05:12.000 --> 00:05:14.000]  四句都是這樣
[00:05:14.000 --> 00:05:17.000]  不可 然後因為 四句都是這樣的說話
[00:05:17.000 --> 00:05:20.000]  已經自成了另外一個細段落
[00:05:20.000 --> 00:05:22.000]  最後結論成為第三段
[00:05:22.000 --> 00:05:26.000]  你們的話是就是是 不是就是不是
[00:05:26.000 --> 00:05:28.000]  很明顯分成這三個段落
[00:05:28.000 --> 00:05:31.000]  我們看看經文的內容
[00:05:31.000 --> 00:05:34.000]  第一個段落 朱棣嫂說
[00:05:34.000 --> 00:05:36.000]  你聽見有人說
[00:05:36.000 --> 00:05:39.000]  聽見有人說可以包括舊約聖經
[00:05:39.000 --> 00:05:44.000]  也可以包括他們解讀舊約聖經的拉比說話
