
[00:00:00.000 --> 00:00:02.000]  是華語作為我們生命的指引
[00:00:02.000 --> 00:00:04.000]  求祢藉著祢的話語去提醒
[00:00:04.000 --> 00:00:06.000]  全面教導我們
[00:00:06.000 --> 00:00:08.000]  叫我們知道聖經是神的話語
[00:00:08.000 --> 00:00:10.000]  於教訓督責使人跪靜
[00:00:10.000 --> 00:00:12.000]  教導人學而都是有益的
[00:00:12.000 --> 00:00:15.000]  叫屬神的人得以完全預備行各樣的善事
[00:00:15.000 --> 00:00:18.000]  祢的話是我們腳前的燈路上的光
[00:00:18.000 --> 00:00:21.000]  求祢祝福我們體寵讀祢的話語
[00:00:21.000 --> 00:00:24.000]  體寵去學習神的話語
[00:00:24.000 --> 00:00:26.000]  奉耶穌名求
[00:00:28.000 --> 00:00:30.000]  有一個很有名的作家叫劉振華
[00:00:30.000 --> 00:00:32.000]  他寫過一個很有趣的故事
[00:00:32.000 --> 00:00:35.000]  故事名叫《角圈圈傳》
[00:00:35.000 --> 00:00:39.000]  角圈圈自然就是一個主角
[00:00:39.000 --> 00:00:41.000]  圈字是怎麼寫呢
[00:00:41.000 --> 00:00:43.000]  是兩個零字
[00:00:43.000 --> 00:00:45.000]  但是你不要讀角零零
[00:00:45.000 --> 00:00:47.000]  是應該讀角圈圈
[00:00:47.000 --> 00:00:51.000]  你用普通話讀可能就更加要捲一些音
[00:00:51.000 --> 00:00:53.000]  不知道怎麼讀
[00:00:53.000 --> 00:00:56.000]  可能會像一點
[00:00:56.000 --> 00:01:01.000]  角圈圈是生長在中國一個窮困的跌帳家庭
[00:01:01.000 --> 00:01:03.000]  目不星丁
[00:01:03.000 --> 00:01:05.000]  名字對他來說沒有什麼大好處
[00:01:05.000 --> 00:01:08.000]  因為他又不懂事又沒有學問
[00:01:08.000 --> 00:01:11.000]  自小那個人的爸爸就叫做狗愛
[00:01:11.000 --> 00:01:14.000]  狗仔啊狗愛啊就叫他狗愛
[00:01:14.000 --> 00:01:18.000]  長大之後那些人就叫他做郭大哥
[00:01:18.000 --> 00:01:20.000]  到了1955年
[00:01:20.000 --> 00:01:23.000]  中國政府要辦一個鐵葉合作社
[00:01:23.000 --> 00:01:25.000]  他是工人嘛工人就要登記了
[00:01:25.000 --> 00:01:27.000]  登記就要用名字
[00:01:27.000 --> 00:01:29.000]  他爸爸是文盲
[00:01:29.000 --> 00:01:33.000]  深想我們國家三代都是窮鐵匠
[00:01:33.000 --> 00:01:36.000]  今回兒子入了社做工人
[00:01:36.000 --> 00:01:38.000]  合家光彩
[00:01:38.000 --> 00:01:40.000]  於是就改了名字
[00:01:40.000 --> 00:01:42.000]  改兒子的名字叫做郭中彩
[00:01:42.000 --> 00:01:44.000]  中是中國的中彩
[00:01:44.000 --> 00:01:45.000]  彩是好彩
[00:01:45.000 --> 00:01:47.000]  今回是我兒子做工人
[00:01:47.000 --> 00:01:49.000]  名譽的工人
[00:01:49.000 --> 00:01:52.000]  對合家來說是很光彩的事
[00:01:52.000 --> 00:01:54.000]  所以就叫做郭中彩
[00:01:55.000 --> 00:01:58.000]  但是郭中彩說話又不是那麼清楚
[00:01:58.000 --> 00:02:00.000]  他說的普通話跟我差不多
[00:02:00.000 --> 00:02:01.000]  就是歪歪的
[00:02:01.000 --> 00:02:03.000]  到了登記的時候就跟書記說
[00:02:03.000 --> 00:02:04.000]  你叫什麼名字
[00:02:04.000 --> 00:02:06.000]  就叫郭中彩
[00:02:06.000 --> 00:02:09.000]  所以書記就不是寫郭中彩
[00:02:09.000 --> 00:02:12.000]  就改了名字叫做郭中彩
[00:02:12.000 --> 00:02:13.000]  中是誰呢
[00:02:13.000 --> 00:02:14.000]  中心的中
[00:02:14.000 --> 00:02:16.000]  彩是財產的財
[00:02:16.000 --> 00:02:18.000]  所以叫做郭中彩
[00:02:18.000 --> 00:02:20.000]  對郭圈圈來說
[00:02:20.000 --> 00:02:22.000]  郭中彩也好郭中彩也好
[00:02:22.000 --> 00:02:24.000]  都是名字一個堆
[00:02:24.000 --> 00:02:26.000]  沒什麼意義他又不懂得看
[00:02:26.000 --> 00:02:29.000]  所以就改了名字叫做郭中彩
[00:02:29.000 --> 00:02:31.000]  嚇死了
[00:02:31.000 --> 00:02:33.000]  他這個名字就搞不定了
[00:02:33.000 --> 00:02:35.000]  文化大革命來了
[00:02:35.000 --> 00:02:38.000]  文化大革命來的時候
[00:02:38.000 --> 00:02:41.000]  他的名字就真的很麻煩了
[00:02:41.000 --> 00:02:43.000]  中是中心
[00:02:43.000 --> 00:02:45.000]  彩是財產
[00:02:45.000 --> 00:02:47.000]  中心與財產
[00:02:47.000 --> 00:02:49.000]  財產是什麼
[00:02:49.000 --> 00:02:50.000]  就是資產
[00:02:50.000 --> 00:02:53.000]  中心財產就是中心與資產
[00:02:53.000 --> 00:02:55.000]  什麼意思
[00:02:55.000 --> 00:02:57.000]  中心與資產派
[00:02:57.000 --> 00:02:59.000]  還不是反動派
[00:02:59.000 --> 00:03:02.000]  當時的紅衛兵就跑上家裡
[00:03:02.000 --> 00:03:05.000]  抄家說是走資派
[00:03:05.000 --> 00:03:07.000]  你看你還不是走資派
[00:03:07.000 --> 00:03:09.000]  你成個名字叫做郭中彩
[00:03:09.000 --> 00:03:11.000]  中於財產中於資產
[00:03:11.000 --> 00:03:13.000]  他就糊塗
[00:03:13.000 --> 00:03:15.000]  他說我資產就資產
[00:03:15.000 --> 00:03:18.000]  說你是資本主義就資本主義
[00:03:18.000 --> 00:03:22.000]  他就說他是反對毛澤東階級
[00:03:22.000 --> 00:03:24.000]  實際是一個反動派
[00:03:24.000 --> 00:03:27.000]  這是我們中國人特有的邏輯
[00:03:27.000 --> 00:03:30.000]  所以當時紅衛兵就去抄家
[00:03:30.000 --> 00:03:31.000]  他就先沒有名字
[00:03:31.000 --> 00:03:32.000]  我改名字我改名字
[00:03:32.000 --> 00:03:33.000]  馬上就改名字了
[00:03:33.000 --> 00:03:37.000]  當時文化大革命正是紅紅烈艷
[00:03:37.000 --> 00:03:39.000]  為了要代表他的中心
[00:03:39.000 --> 00:03:40.000]  他就去改名字了
[00:03:40.000 --> 00:03:42.000]  有人就勸他
[00:03:42.000 --> 00:03:43.000]  你改個什麼名字
[00:03:43.000 --> 00:03:44.000]  不如這樣吧
[00:03:44.000 --> 00:03:45.000]  於是他就去書記
[00:03:45.000 --> 00:03:46.000]  你叫什麼名字
[00:03:46.000 --> 00:03:47.000]  我想改名字
[00:03:47.000 --> 00:03:48.000]  改什麼名字
[00:03:48.000 --> 00:03:50.000]  郭東彪
[00:03:50.000 --> 00:03:52.000]  東是毛澤東的東
[00:03:52.000 --> 00:03:54.000]  彪是林彪的彪
[00:03:54.000 --> 00:03:56.000]  我又有國家的主席
[00:03:56.000 --> 00:03:57.000]  又有副元帥
