
[00:00:00.000 --> 00:00:04.000]  鄧小平 早安
[00:00:04.000 --> 00:00:10.000]  路加福音是這兩個月教會的主題
[00:00:10.000 --> 00:00:16.000]  今天是最後一次
[00:00:16.000 --> 00:00:20.000]  耶穌進入耶路撒冷之前要講
[00:00:20.000 --> 00:00:24.000]  這段經文我們剛才讀過
[00:00:24.000 --> 00:00:28.000]  我不再重讀了
[00:00:28.000 --> 00:00:34.000]  開始的時候就提到有很多人追隨耶穌
[00:00:34.000 --> 00:00:38.000]  耶穌出來傳道大概三十歲
[00:00:38.000 --> 00:00:41.000]  現在已經過了一年多的時間
[00:00:41.000 --> 00:00:44.000]  因為祂講道很動聽
[00:00:44.000 --> 00:00:47.000]  祂醫病趕鬼很有能力
[00:00:47.000 --> 00:00:52.000]  祂信息很有深度
[00:00:52.000 --> 00:00:58.000]  有一次記載祂講完道之後有五千人吃飽
[00:00:58.000 --> 00:01:04.000]  並且在祂所做的令到很多人都信服
[00:01:04.000 --> 00:01:08.000]  對於一個三十歲出頭的年青人
[00:01:08.000 --> 00:01:14.000]  有這麼多人追隨 有這麼大的成就
[00:01:14.000 --> 00:01:17.000]  我相信都很滿意
[00:01:17.000 --> 00:01:24.000]  三十歲出頭 幾千人聽祂講話
[00:01:24.000 --> 00:01:27.000]  心裡很滿足
[00:01:27.000 --> 00:01:32.000]  但我們發現耶穌雖然見到很多人追隨祂
[00:01:32.000 --> 00:01:35.000]  但耶穌不是這樣看
[00:01:35.000 --> 00:01:39.000]  耶穌對他們說
[00:01:39.000 --> 00:01:46.000]  如果要跟隨我 做我的門徒
[00:01:46.000 --> 00:01:51.000]  你們就要有三個條件
[00:01:51.000 --> 00:01:54.000]  原來耶穌發現一群人追隨祂
[00:01:54.000 --> 00:02:00.000]  耶穌不滿足 並且耶穌不是需要群眾追隨
[00:02:00.000 --> 00:02:02.000]  耶穌需要什麼呢?
[00:02:02.000 --> 00:02:05.000]  需要門徒
[00:02:05.000 --> 00:02:09.000]  一群人我們叫做群眾
[00:02:09.000 --> 00:02:13.000]  群眾是不需要付代價的
[00:02:13.000 --> 00:02:19.000]  群眾不需要任何考慮
[00:02:19.000 --> 00:02:22.000]  群眾可以來可以走
[00:02:22.000 --> 00:02:26.000]  喜歡就來 不喜歡就走
[00:02:26.000 --> 00:02:30.000]  所以群眾是沒有面孔的
[00:02:30.000 --> 00:02:32.000]  也不需要感情
[00:02:32.000 --> 00:02:35.000]  耶穌知道有很多人追隨祂
[00:02:35.000 --> 00:02:40.000]  本來按照一些政治家可以使用群眾
[00:02:40.000 --> 00:02:43.000]  讓他們可以上位
[00:02:43.000 --> 00:02:45.000]  但耶穌不是政治家
[00:02:45.000 --> 00:02:48.000]  耶穌也不想利用群眾
[00:02:48.000 --> 00:02:50.000]  利用群眾的力量
[00:02:50.000 --> 00:02:52.000]  群眾是很可怕的
[00:02:52.000 --> 00:02:56.000]  被人利用後可以完全丟棄
[00:02:56.000 --> 00:03:00.000]  法國大革命就是一個很明顯的例子
[00:03:00.000 --> 00:03:05.000]  完了之後那群人就被遺棄
[00:03:05.000 --> 00:03:09.000]  耶穌需要的是門徒
[00:03:09.000 --> 00:03:13.000]  所以耶穌回頭對他們說
[00:03:13.000 --> 00:03:15.000]  如果要追隨我
[00:03:15.000 --> 00:03:19.000]  你就要愛我 成為我的親人
[00:03:19.000 --> 00:03:24.000]  第二就是揹起十字架
[00:03:24.000 --> 00:03:29.000]  第三就是撇下一切所有
[00:03:29.000 --> 00:03:32.000]  這三個條件成為門徒
[00:03:32.000 --> 00:03:36.000]  所以門徒是需要付代價
[00:03:36.000 --> 00:03:39.000]  門徒是需要計算過
[00:03:39.000 --> 00:03:41.000]  門徒和群眾不同
[00:03:41.000 --> 00:03:43.000]  門徒知道耶穌說什麼
[00:03:43.000 --> 00:03:45.000]  群眾是不需要的
[00:03:45.000 --> 00:03:49.000]  群眾是喜歡聽他喜歡聽的東西
[00:03:49.000 --> 00:03:51.000]  但門徒不是
[00:03:51.000 --> 00:03:55.000]  門徒很清楚耶穌所教導
[00:03:55.000 --> 00:03:57.000]  知道耶穌去哪裡
[00:03:57.000 --> 00:03:59.000]  跟隨到哪裡
[00:03:59.000 --> 00:04:01.000]  群眾就知道耶穌去哪裡
[00:04:01.000 --> 00:04:03.000]  有好處是會去的
[00:04:03.000 --> 00:04:05.000]  不好的他會走的
[00:04:05.000 --> 00:04:09.000]  所以耶穌說我要的是門徒
[00:04:09.000 --> 00:04:11.000]  我不是要群眾
[00:04:11.000 --> 00:04:15.000]  很清楚耶穌說我要的是門徒
[00:04:15.000 --> 00:04:17.000]  如果要成為門徒
[00:04:17.000 --> 00:04:19.000]  還有三樣東西
[00:04:19.000 --> 00:04:27.000]  第一 愛主 愛他 聖哥 愛親人 愛父母弟兄姊妹
[00:04:27.000 --> 00:04:30.000]  耶穌很清楚自己的價值
[00:04:30.000 --> 00:04:36.000]  夠膽跟我們說要我愛他多過愛父母弟兄姊妹
[00:04:36.000 --> 00:04:38.000]  耶穌一定不簡單
[00:04:38.000 --> 00:04:42.000]  如果你有個兒子娶媳婦
[00:04:42.000 --> 00:04:45.000]  媳婦入門的時候
[00:04:45.000 --> 00:04:47.000]  跟她老公說
[00:04:47.000 --> 00:04:49.000]  你要愛我多過愛媽媽
[00:04:49.000 --> 00:04:51.000]  愛弟兄姊妹
[00:04:51.000 --> 00:04:53.000]  你會怎麼想
[00:04:53.000 --> 00:04:55.000]  這當然是狐狸精
[00:04:55.000 --> 00:04:59.000]  憑什麼要我兒子愛你多過愛我
[00:04:59.000 --> 00:05:03.000]  但耶穌這樣說
[00:05:03.000 --> 00:05:06.000]  是完全有理由
[00:05:06.000 --> 00:05:13.000]  當耶穌提到愛主多過愛父母弟兄姊妹
[00:05:13.000 --> 00:05:18.000]  耶穌並沒有說你不要愛父母弟兄姊妹
[00:05:18.000 --> 00:05:22.000]  所以這段經文不要讀錯了
[00:05:22.000 --> 00:05:25.000]  不要說我回教會愛主
[00:05:25.000 --> 00:05:27.000]  於是就不用愛父母弟兄姊妹
[00:05:27.000 --> 00:05:31.000]  耶穌說愛我多過愛父母弟兄姊妹
[00:05:31.000 --> 00:05:35.000]  而不是說不要愛弟兄姊妹
