
[00:00:00.000 --> 00:00:04.300]  今天的時間就是我講一半時間
[00:00:04.300 --> 00:00:07.800]  有興趣的話 我歡迎你問問題
[00:00:07.800 --> 00:00:11.840]  因為這些聚會 講到心情
[00:00:11.840 --> 00:00:14.540]  很多事情要問 真是很多
[00:00:14.540 --> 00:00:19.780]  我明天有個朋友 他是一個男友
[00:00:19.780 --> 00:00:21.940]  他打了第二針之後
[00:00:21.940 --> 00:00:24.800]  他一直都 終於都受不了
[00:00:24.800 --> 00:00:27.680]  約我明天談一個下午
[00:00:27.680 --> 00:00:29.680]  我猜他一定很多事情要問
[00:00:29.680 --> 00:00:36.840]  他在去年年初一之前發現自己有癌症
[00:00:36.840 --> 00:00:39.520]  隔了到現在都兩個多月
[00:00:39.520 --> 00:00:41.320]  我想很多波動
[00:00:41.320 --> 00:00:43.980]  所以今天我們講的焦慮
[00:00:43.980 --> 00:00:46.240]  其實我設計這個題目的時候
[00:00:46.240 --> 00:00:47.840]  其實焦慮是什麼呢?
[00:00:47.840 --> 00:00:49.840]  焦慮就是一種害怕
[00:00:49.840 --> 00:00:53.640]  但是不知道害怕什麼
[00:00:53.640 --> 00:00:54.920]  就叫做焦慮
[00:00:54.920 --> 00:00:56.920]  就是你怕老婆那種焦慮
[00:00:56.920 --> 00:01:00.000]  就是 如果這麼可怕
[00:01:00.000 --> 00:01:03.720]  她又矮過你 又瘦過你
[00:01:03.720 --> 00:01:05.480]  沒理由她的聲音不夠大
[00:01:05.480 --> 00:01:07.080]  為什麼這麼害怕她呢?
[00:01:07.080 --> 00:01:09.840]  不明白害怕什麼 但是很害怕
[00:01:09.840 --> 00:01:11.600]  這個就叫做焦慮
[00:01:11.600 --> 00:01:14.100]  如果你知道害怕什麼
[00:01:14.100 --> 00:01:16.840]  那個不是叫做焦慮 那個叫做fear
[00:01:16.840 --> 00:01:19.280]  就是譬如我知道
[00:01:19.280 --> 00:01:24.240]  我對某一個科目會很低分
[00:01:24.240 --> 00:01:27.280]  我怕我不合格
[00:01:27.280 --> 00:01:28.480]  雖然我很勤力
[00:01:28.480 --> 00:01:32.040]  但是歷史證明很多次讀很多好東西
[00:01:32.040 --> 00:01:33.520]  都是很低分的
[00:01:33.520 --> 00:01:35.120]  我知道我很怕讀這科目
[00:01:35.120 --> 00:01:37.560]  你全部的理由是明白
[00:01:37.560 --> 00:01:39.280]  有根據
[00:01:39.280 --> 00:01:41.200]  而且都不止一次
[00:01:41.200 --> 00:01:43.400]  那些就不是叫做焦慮
[00:01:43.400 --> 00:01:45.440]  所以今天我們講這個題目就是
[00:01:45.440 --> 00:01:48.440]  你怎麼在一個病
