
[00:00:00.000 --> 00:00:08.400]  今天跟大家分享的經文是出自於《迦拉泰書》第六章
[00:00:08.400 --> 00:00:12.400]  從第六節至第八節
[00:00:12.400 --> 00:00:17.400]  其實這部份的聖經可以一直看第六至十節
[00:00:17.400 --> 00:00:19.400]  不過因為篇幅時間所限
[00:00:19.400 --> 00:00:22.400]  我會分為兩堂跟大家一起分享
[00:00:22.400 --> 00:00:26.400]  今天的講題是「護衛成長的教會」
[00:00:26.400 --> 00:00:31.400]  好,讓我們回到這段聖經裏面,先了解一下這段經文
[00:00:31.400 --> 00:00:33.400]  先說些什麼
[00:00:33.400 --> 00:00:42.400]  在道理上受教的,當罷一切衰用的,供給施教的人,不要自欺
[00:00:42.400 --> 00:00:50.400]  上帝是興萬不得的,人眾的是什麼,修的也是什麼
[00:00:50.400 --> 00:00:55.400]  信著情欲殺種的,必從情欲修敗壞
[00:00:55.400 --> 00:01:01.400]  信著聖靈殺種的,必從聖靈修榮生
[00:01:01.400 --> 00:01:08.400]  在2014年的世界盃足球比賽裏面,世界盃
[00:01:08.400 --> 00:01:13.400]  去到差不多尾聲的時候,有兩場準決賽
[00:01:13.400 --> 00:01:18.400]  其中一場,大家都有很高的期望
[00:01:18.400 --> 00:01:25.400]  就是由主辦國巴西對壘德國隊
[00:01:25.400 --> 00:01:32.400]  這兩隊隊伍可以說是在整個世界盃裏面的長勝將軍
[00:01:32.400 --> 00:01:39.400]  所以大家對於這兩隊,曾經拿過很多次世界盃冠軍的隊伍
[00:01:39.400 --> 00:01:41.400]  有很高的期望
[00:01:41.400 --> 00:01:46.400]  當時我都現身在電視直播面前
[00:01:46.400 --> 00:01:52.400]  親力去看,欣賞這場應該是非常精彩的比賽
[00:01:52.400 --> 00:01:57.400]  但誰不知這場比賽上演了不夠五分鐘
[00:01:57.400 --> 00:02:03.400]  令全世界的足球迷都感到非常詫異
[00:02:03.400 --> 00:02:07.400]  因為德國隊在短短的五分鐘裏面
[00:02:07.400 --> 00:02:13.400]  已經連入了五球的入球
[00:02:13.400 --> 00:02:17.400]  而完上半場是五比零
[00:02:17.400 --> 00:02:24.400]  大家覺得非常詫異,以為巴西隊是否有什麼特別的策略呢?
[00:02:24.400 --> 00:02:28.400]  大家很多分析員都在說這場比賽不應該是這樣
[00:02:28.400 --> 00:02:34.400]  可能巴西隊是流力在下半場上了一場更加精彩的比賽
[00:02:34.400 --> 00:02:37.400]  但誰不知,去到整個的下半場
[00:02:37.400 --> 00:02:41.400]  巴西隊不但毫無反撲的能力
[00:02:41.400 --> 00:02:47.400]  而且更加被德國隊拉闊到戰果是七比零
[00:02:47.400 --> 00:02:50.400]  直至到在完場的最後一刻
[00:02:50.400 --> 00:02:57.400]  才由巴西隊其中一個球員射入了球,破彈的足球
[00:02:57.400 --> 00:03:03.400]  我相信這場比賽令很多球迷非常失望
[00:03:03.400 --> 00:03:05.400]  而且在現場直播裏面
[00:03:05.400 --> 00:03:13.400]  我們看到電視拍攝著很多巴西支持的觀眾
[00:03:13.400 --> 00:03:19.400]  都不斷的聲聲鶴唳,表現得非常失望
[00:03:19.400 --> 00:03:23.400]  為什麼自己的國家隊甚至是一個主辦國
[00:03:23.400 --> 00:03:26.400]  他的表現是這麼差勁呢?
[00:03:26.400 --> 00:03:30.400]  是有史以來從來未見過的情況
[00:03:30.400 --> 00:03:36.400]  一場好看的比賽一定是兩隊勢均力敵
[00:03:36.400 --> 00:03:39.400]  而且他們是有攻,也有守
[00:03:39.400 --> 00:03:43.400]  這樣的比賽才是一場精彩的比賽
[00:03:43.400 --> 00:03:47.400]  如果是一面倒地去勝過的
[00:03:47.400 --> 00:03:50.400]  或者一面倒地去輸掉這場比賽的話
[00:03:50.400 --> 00:03:54.400]  這場比賽是毫無意義,毫無欣賞的價值
[00:03:54.400 --> 00:03:56.400]  甚至可以這樣說
[00:03:56.400 --> 00:04:02.400]  對於所有無論是球隊,觀眾,甚至支持他們的人士
[00:04:02.400 --> 00:04:06.400]  都會非常失望
[00:04:06.400 --> 00:04:11.400]  如果把這種情況轉入到屬靈的世界裏面
[00:04:11.400 --> 00:04:15.400]  其實我們從聖經裏面也看到
[00:04:15.400 --> 00:04:17.400]  原來有類似的介紹
[00:04:17.400 --> 00:04:22.400]  在保羅寫給提摩泰的書信裏面
[00:04:22.400 --> 00:04:27.400]  包括提摩泰前書和提摩泰後書
[00:04:27.400 --> 00:04:29.400]  First and Second Timothy
[00:04:29.400 --> 00:04:35.400]  我們會看到在這兩卷的書信裏面
[00:04:35.400 --> 00:04:41.400]  保羅曾經三次提及過要打一場美好的獎
[00:04:41.400 --> 00:04:46.400]  我們可以參考提摩泰前書的一章十八節
[00:04:46.400 --> 00:04:53.400]  六章十二節和提摩泰後書第四章第七節
[00:04:53.400 --> 00:04:58.400]  特別在提摩泰後書四章七節裏面
[00:04:58.400 --> 00:05:00.400]  保羅更加清楚地說道
[00:05:00.400 --> 00:05:04.400]  美好的獎我已經打過了
[00:05:04.400 --> 00:05:08.400]  當跑的路我已經跑盡了
[00:05:08.400 --> 00:05:12.400]  所信的道我已經守住了
[00:05:12.400 --> 00:05:18.400]  保羅從他的寫給提摩泰的書信裏面提到
[00:05:18.400 --> 00:05:22.400]  基督徒是要打一場屬靈的征戰
[00:05:22.400 --> 00:05:27.400]  而且這場征戰是要打得非常精彩的
[00:05:27.400 --> 00:05:29.400]  我們雖然作為基督徒
[00:05:29.400 --> 00:05:34.400]  我們知道這場屬靈的征戰的結果
[00:05:34.400 --> 00:05:38.400]  已經在二主耶穌基督死在十字架上的時候
[00:05:38.400 --> 00:05:41.400]  已經奠定了聖局
[00:05:41.400 --> 00:05:45.400]  但是不代表我們可以說
[00:05:45.400 --> 00:05:48.400]  我們隨手進入到天國裏面
[00:05:48.400 --> 00:05:52.400]  上帝原來是需要每一個神的子民
[00:05:52.400 --> 00:05:58.400]  親身上場並且打一場美好的仗
[00:05:58.400 --> 00:06:01.400]  去給整個世界
[00:06:01.400 --> 00:06:05.400]  包括屬世的和屬靈的角度
[00:06:05.400 --> 00:06:10.400]  去欣賞到神的子民他們的生命
[00:06:10.400 --> 00:06:14.400]  如何能夠在整個的征戰裏面
[00:06:14.400 --> 00:06:17.400]  能夠充分地表現出來
[00:06:17.400 --> 00:06:19.400]  同時也都其實反映出
[00:06:19.400 --> 00:06:22.400]  上帝在他的創造裏面
[00:06:22.400 --> 00:06:27.400]  他美麗的作為到底是一回什麼的事
[00:06:27.400 --> 00:06:30.400]  所以我們很多時候說到全福音
[00:06:30.400 --> 00:06:33.400]  全福音帶領人進到神的國
[00:06:33.400 --> 00:06:36.400]  要得著神國的國度
[00:06:36.400 --> 00:06:40.400]  進到永恆的國度與上帝同處
[00:06:40.400 --> 00:06:43.400]  問題就是我們作為神的子民
[00:06:43.400 --> 00:06:47.400]  包括今天所指的教會
[00:06:47.400 --> 00:06:50.400]  我們如何才可以同心協力
