
[00:00:00.000 --> 00:00:02.560]  這個題目很有創意
[00:00:02.560 --> 00:00:05.680]  我想香港的教會
[00:00:05.680 --> 00:00:08.080]  如果多點去想這些題目是好的
[00:00:08.080 --> 00:00:10.720]  因為未來還有些什麼事
[00:00:10.720 --> 00:00:13.600]  是現在越來越多出現呢
[00:00:13.600 --> 00:00:16.560]  我相信未來的十年
[00:00:16.560 --> 00:00:18.720]  同性戀婚姻
[00:00:18.720 --> 00:00:23.880]  和很多流感疫症是找不到藥的
[00:00:23.880 --> 00:00:26.320]  這些日子會出現
[00:00:26.320 --> 00:00:30.480]  就是很多人的家庭
[00:00:30.480 --> 00:00:32.560]  無論是心的病
[00:00:32.560 --> 00:00:34.400]  身體的病
[00:00:34.400 --> 00:00:37.280]  到處找人幫忙
[00:00:37.280 --> 00:00:40.320]  但有人都說我都不知道怎樣幫你
[00:00:40.320 --> 00:00:42.480]  這些日子會出現
[00:00:42.480 --> 00:00:45.600]  所以今晚我們看《約書亞記》
[00:00:45.600 --> 00:00:47.680]  其實今晚不是主要學
[00:00:47.680 --> 00:00:51.040]  不過有一個不錯的背景去想
[00:00:51.040 --> 00:00:53.760]  其實當陸牧師說
[00:00:53.760 --> 00:00:56.320]  引用經文的時候
[00:00:56.320 --> 00:00:57.200]  我覺得很精彩
[00:00:57.200 --> 00:00:58.880]  因為它像什麼呢
[00:00:58.880 --> 00:00:59.840]  像什麼呢
[00:00:59.840 --> 00:01:02.240]  如果你留意《約書亞記》
[00:01:02.240 --> 00:01:04.880]  它打幾場仗
[00:01:04.880 --> 00:01:06.640]  當然中間有輸過
[00:01:06.640 --> 00:01:08.080]  艾成是
[00:01:08.080 --> 00:01:09.760]  但初初是耶利哥
[00:01:09.760 --> 00:01:13.680]  後來就是南面北面的戰役
[00:01:13.680 --> 00:01:15.600]  它怎樣贏呢
[00:01:15.600 --> 00:01:17.600]  有時候想起人生都像
[00:01:17.600 --> 00:01:19.040]  如果人家問你
[00:01:19.040 --> 00:01:21.280]  用我最好玩的遊戲
[00:01:21.280 --> 00:01:22.240]  我想問你
[00:01:22.240 --> 00:01:27.360]  你這輩子贏多還是輸多
[00:01:27.360 --> 00:01:30.080]  我沒有定義什麼叫輸什麼
[00:01:30.080 --> 00:01:32.240]  或者贏什麼
[00:01:32.240 --> 00:01:34.400]  你說輸了老婆
[00:01:34.400 --> 00:01:36.960]  或者被人追那個
[00:01:36.960 --> 00:01:39.120]  又自己追不到
[00:01:39.120 --> 00:01:42.640]  可能你叫輸女朋友
[00:01:42.640 --> 00:01:44.640]  或者你覺得考不到聖保朗
[00:01:44.640 --> 00:01:46.960]  又輸了
[00:01:46.960 --> 00:01:48.560]  你贏的
[00:01:48.560 --> 00:01:50.480]  我又不知道叫贏什麼
