
[00:00:00.000 --> 00:00:06.400]  今天要講羅馬書第十七講
[00:00:06.400 --> 00:00:10.240]  就是羅馬書七章七至十三節
[00:00:10.240 --> 00:00:13.760]  我們講七節經文不要講太多
[00:00:13.760 --> 00:00:16.560]  貪多可能不能消化
[00:00:16.560 --> 00:00:22.160]  羅馬書第七章是講信徒和律法的關係
[00:00:22.160 --> 00:00:27.600]  今天我要講的就是律法既彰顯我們的罪性
[00:00:27.600 --> 00:00:29.760]  又引我們犯罪
[00:00:29.760 --> 00:00:30.960]  很奇怪
[00:00:30.960 --> 00:00:34.160]  律法不但不能救贖我們
[00:00:34.160 --> 00:00:35.840]  不能定我們的罪
[00:00:35.840 --> 00:00:37.920]  反而會引我們犯罪
[00:00:37.920 --> 00:00:40.160]  彰顯我們的罪性
[00:00:40.160 --> 00:00:43.200]  等下我們會解釋這一切
[00:00:43.200 --> 00:00:46.960]  首先我們先看看一些回顧
[00:00:46.960 --> 00:00:50.560]  羅馬書整本書都是在講
[00:00:50.560 --> 00:00:52.960]  恩順清義的教導
[00:00:52.960 --> 00:00:56.800]  羅馬書的一章十六至十七節
[00:00:56.800 --> 00:00:59.520]  其實可以說是羅馬書的主題
[00:00:59.520 --> 00:01:02.480]  這節的經文怎麼說
[00:01:02.480 --> 00:01:05.440]  保羅說:我不以福音為恥
[00:01:05.440 --> 00:01:08.000]  這福音本是神的大能
[00:01:08.000 --> 00:01:10.240]  要救一切相信的
[00:01:10.240 --> 00:01:12.160]  先是猶太人
[00:01:12.160 --> 00:01:13.920]  後是希利尼人
[00:01:13.920 --> 00:01:18.320]  因為神的義正在這福音上顯明出來
[00:01:18.320 --> 00:01:20.560]  這義是本於信
[00:01:20.560 --> 00:01:22.160]  以至於信
[00:01:22.160 --> 00:01:24.080]  如經上所記
[00:01:24.080 --> 00:01:26.480]  二人恩順得新
[00:01:26.480 --> 00:01:29.440]  「恩順得新」就是保羅所說的
[00:01:29.440 --> 00:01:31.200]  「恩順清義」
[00:01:31.200 --> 00:01:34.160]  在羅馬書的第一章和第二章
[00:01:34.160 --> 00:01:37.360]  保羅說出救贖的需要
[00:01:37.360 --> 00:01:39.840]  為什麼我們需要被神救贖?
[00:01:39.840 --> 00:01:43.040]  我們每一個人生出來都是有罪性
[00:01:43.040 --> 00:01:45.680]  每一個人生出來都是因為
[00:01:45.680 --> 00:01:47.760]  亞當夏娃犯了罪
[00:01:47.760 --> 00:01:49.760]  以至我們都是罪人
[00:01:49.760 --> 00:01:51.840]  我們與神是分離
[00:01:51.840 --> 00:01:54.320]  我們需要與神和好
[00:01:54.320 --> 00:01:58.160]  這在第一章和第二章說得很清楚
[00:01:58.160 --> 00:02:00.480]  第三和第四章
[00:02:00.480 --> 00:02:03.040]  是說出了救贖的途徑
[00:02:03.040 --> 00:02:05.280]  既然我們與神分離
[00:02:05.280 --> 00:02:08.000]  怎麼能夠再次與神和好?
[00:02:08.000 --> 00:02:11.760]  我們需要憑著信心來接受耶穌基督
[00:02:11.760 --> 00:02:13.920]  不是靠我們的行為
[00:02:13.920 --> 00:02:17.520]  所以保羅說二人恩順得新
[00:02:17.520 --> 00:02:20.800]  一個人怎麼能夠被神稱為一個二人?
[00:02:20.800 --> 00:02:23.120]  是靠接受耶穌基督
[00:02:23.120 --> 00:02:26.320]  以至我們能夠成為一個二人
[00:02:26.320 --> 00:02:30.240]  接著羅馬書的第五章至第八章
[00:02:30.240 --> 00:02:34.240]  就是讓我們看到救贖的三個結果
[00:02:34.240 --> 00:02:36.320]  哪三個結果?
[00:02:36.320 --> 00:02:39.600]  第一在羅馬書的第五章告訴我們
[00:02:39.600 --> 00:02:43.360]  我們接受耶穌基督就能夠與神和好
