
[00:00:00.000 --> 00:00:05.000]  今日我們的講題是死亡有什麼可怕
[00:00:05.000 --> 00:00:09.500]  在我們一年的裏面有兩個節期是和死亡有關的
[00:00:09.500 --> 00:00:15.000]  是不是 不是鬼節 鬼節是怕死的 不會放假的
[00:00:15.000 --> 00:00:20.000]  放假即是紀念死亡的意義一個就是今天
[00:00:20.000 --> 00:00:24.000]  舊曰 舊曆5月5號 是不是
[00:00:24.000 --> 00:00:30.000]  就是端午節紀念屈原的死 他的投降至盡
[00:00:30.000 --> 00:00:34.000]  另外一個我相信大家都一定知道的
[00:00:34.000 --> 00:00:38.000]  就是每年的3月到4月的時間或者是復活節
[00:00:38.000 --> 00:00:44.000]  壽苦節是紀念耶穌基督十字架的死和他的復活
[00:00:44.000 --> 00:00:51.000]  這兩個都是和死 紀念死有關的假期
[00:00:51.000 --> 00:00:56.000]  死這件事有很多人喜歡講的
[00:00:56.000 --> 00:01:01.000]  但是又很矛盾的 每個人都要面對的 走不掉的
[00:01:01.000 --> 00:01:06.000]  所以我們中國人就用很多方法避開不想講死字
[00:01:06.000 --> 00:01:09.000]  有空數一下很多的 是不是
[00:01:09.000 --> 00:01:13.000]  通常都不喜歡講死字 用什麼字呢
[00:01:13.000 --> 00:01:22.000]  去了 過了生 死了 死了
[00:01:22.000 --> 00:01:25.000]  還有什麼 鹹鴨蛋那些 是不是
[00:01:25.000 --> 00:01:29.000]  OK 很多很多的 總之不想講死字
[00:01:29.000 --> 00:01:32.000]  不過今天我想和你講死的問題
[00:01:32.000 --> 00:01:35.000]  可能你心裏有些話 大家來試一下
[00:01:35.000 --> 00:01:38.000]  如果你不是一個基督徒的話 你覺得講這些幹什麼呢
[00:01:38.000 --> 00:01:41.000]  其實很重要 今天是福音主人
[00:01:41.000 --> 00:01:46.000]  我很想在這裏介紹給你認識基督教很重要的真理
[00:01:46.000 --> 00:01:53.000]  就是為什麼信了耶穌的人 基督徒是不會怕死的
[00:01:53.000 --> 00:01:58.000]  基督徒不會怕死的秘訣在哪裡
[00:01:58.000 --> 00:02:02.000]  我想告訴你 在聖經和基督教信仰裏面
[00:02:02.000 --> 00:02:06.000]  兩個最重要的真理和秘訣
[00:02:06.000 --> 00:02:12.000]  希望今天如果你仍然在基督教信仰的決定
[00:02:12.000 --> 00:02:16.000]  周圍徘徊 掙扎 或者在猶豫的話
[00:02:16.000 --> 00:02:18.000]  我希望今天我開宗明義
[00:02:18.000 --> 00:02:23.000]  希望今天你得到這個信仰精彩的真理
[00:02:23.000 --> 00:02:26.000]  和你自己能夠成為一個基督徒
[00:02:26.000 --> 00:02:30.000]  這個就是我今天站在這裏想和你講的 也不怕
[00:02:30.000 --> 00:02:32.000]  因為我覺得可能你來甩了拜堂的同一段日子
[00:02:32.000 --> 00:02:37.000]  又可能你身邊帶你來的朋友 或者是同事 或者是親友
[00:02:37.000 --> 00:02:40.000]  他很愛你 他很關心你 經常叫你來禮拜堂
[00:02:40.000 --> 00:02:44.000]  很想你信耶穌 我時常都說 為什麼他要這麼熱心
[00:02:44.000 --> 00:02:47.000]  你信耶穌對他有什麼好處 沒什麼好處
[00:02:47.000 --> 00:02:50.000]  難道我給他一個佣金嗎 是不是 沒有的
[00:02:50.000 --> 00:02:55.000]  他是因為愛你 他因為經驗過在基督教信仰裏面
[00:02:55.000 --> 00:03:01.000]  那種很真實 很奇妙 很大的生命的改變
[00:03:01.000 --> 00:03:05.000]  他想你都享受得到 希望今天你都享受得到 好嗎
[00:03:05.000 --> 00:03:08.000]  好了 說回頭 究竟在基督教的信仰裏面
[00:03:08.000 --> 00:03:15.000]  在聖經裏面 有些什麼秘訣令我們不會怕死呢
[00:03:15.000 --> 00:03:20.000]  有兩個 第一個 基督教信仰和聖經告訴我們
[00:03:20.000 --> 00:03:26.000]  如果一個人真真正正的活過 他是不會死的 不會怕死的
[00:03:26.000 --> 00:03:30.000]  就是說一個人如果他怕死 他不想死 因為他有遺憾
[00:03:30.000 --> 00:03:35.000]  他覺得還沒做完的事 有些事他想做他沒做到
[00:03:35.000 --> 00:03:38.000]  所以他怕死 他不想去死
[00:03:38.000 --> 00:03:41.000]  但是一個人如果他真真正正的活得無憾的話
[00:03:41.000 --> 00:03:45.000]  他是不會怕死的 第二個真理
[00:03:45.000 --> 00:03:51.000]  基督教告訴我們 如果一個人他清楚知道有把握
[00:03:51.000 --> 00:03:56.000]  他死了之後的永恆是怎麼樣的話 他是不會怕死的
[00:03:56.000 --> 00:04:01.000]  今天我們讀這兩段聖經 其實就是講這兩個真理
[00:04:01.000 --> 00:04:04.000]  剛才我們所讀的第一段聖經是《肥勒比書》
[00:04:04.000 --> 00:04:08.000]  《肥勒比書》是一個基督徒叫做保羅所寫的
[00:04:08.000 --> 00:04:13.000]  稍微知道這本書的背景 你就知道是一封信來的
[00:04:13.000 --> 00:04:18.000]  這封信是保羅這個基督徒他晚年的時候坐牢寫的
[00:04:18.000 --> 00:04:21.000]  二千年前在羅馬坐牢 隨時都被斬頭的了
[00:04:21.000 --> 00:04:23.000]  他都知道 為了信仰的緣故
[00:04:23.000 --> 00:04:29.000]  但是在這封信裏面 他充滿了盼望 也充滿了喜樂
[00:04:29.000 --> 00:04:34.000]  很多很鼓勵人心的話 一點都不像快要死的人
[00:04:34.000 --> 00:04:38.000]  剛才所讀的那段聖經我不知道你有沒有留意到
[00:04:38.000 --> 00:04:41.000]  當中有幾個字眼是令你很驚訝的
[00:04:41.000 --> 00:04:45.000]  剛才那段聖經說到他無論是生還是死
[00:04:45.000 --> 00:04:50.000]  保羅說 我都不介意 這個已經厲害了 已經夠厲害了
[00:04:50.000 --> 00:04:53.000]  更厲害的 接著那裡說
[00:04:53.000 --> 00:04:57.000]  死了對我有益處 他不僅不怕死
[00:04:57.000 --> 00:04:59.000]  他覺得死了對他有益處
[00:04:59.000 --> 00:05:02.000]  你有沒有想過一個人可以這樣說話
[00:05:02.000 --> 00:05:04.000]  再接著那一節他說
[00:05:04.000 --> 00:05:06.000]  那究竟我應該生還是死好呢?
[00:05:06.000 --> 00:05:08.000]  他說我再兩難之間掙扎
[00:05:08.000 --> 00:05:12.000]  接著他還說了一句我們很難理解或者覺得很驚訝的話
[00:05:12.000 --> 00:05:17.000]  他說如果讓我選 我寧願離世 就是寧願死
[00:05:17.000 --> 00:05:20.000]  好得無比 為什麼好得無比?
[00:05:20.000 --> 00:05:23.000]  因為能夠和耶穌基督同在
[00:05:23.000 --> 00:05:25.000]  所以我就好得無比
[00:05:25.000 --> 00:05:28.000]  你不要誤會 以為這個保羅都踩過去差不多了
[00:05:28.000 --> 00:05:31.000]  覺得自己又老了 又坐牢了 鬼死這麼辛苦
[00:05:31.000 --> 00:05:35.000]  算了 很消極 想自殺
[00:05:35.000 --> 00:05:39.000]  不是的 這個人很積極的 生命很積極
[00:05:39.000 --> 00:05:42.000]  很有喜樂 無論面對什麼問題
[00:05:42.000 --> 00:05:44.000]  在這封信裡說到
[00:05:44.000 --> 00:05:49.000]  無論在什麼環境 我都可以有快樂和生命力
[00:05:49.000 --> 00:05:53.000]  不過如果要我在生和死裡面去選擇的話
[00:05:53.000 --> 00:05:56.000]  我寧願死 因為死是好得無比
[00:05:56.000 --> 00:05:58.000]  這句話真的很奇怪
[00:05:58.000 --> 00:06:01.000]  為什麼基督徒可以說出這樣的說話呢?
[00:06:01.000 --> 00:06:04.000]  他不僅不怕 不怕也很厲害
[00:06:04.000 --> 00:06:06.000]  還面對死亡的時候
[00:06:06.000 --> 00:06:11.000]  他仍然接受好得無比 對我有益處
[00:06:11.000 --> 00:06:14.000]  那個秘訣就是你剛才說的那句話
[00:06:14.000 --> 00:06:19.000]  也是他這封信裡所說的一個很重要的信息
[00:06:19.000 --> 00:06:25.000]  就是因為他在《律師第3章》10節提出了他的秘訣
[00:06:25.000 --> 00:06:28.000]  他說我認識了耶穌基督
[00:06:28.000 --> 00:06:33.000]  和我曉得祂復活的大能 這兩句話
[00:06:33.000 --> 00:06:37.000]  原來保羅說我不是特別天生大膽
[00:06:37.000 --> 00:06:39.000]  我也不是看破紅塵
[00:06:39.000 --> 00:06:41.000]  但有一樣東西是不同的 和其他人不同的
[00:06:41.000 --> 00:06:47.000]  我認識了耶穌基督 還有我曉得祂復活的大能
[00:06:47.000 --> 00:06:52.000]  那你說究竟認識耶穌基督和祂復活有什麼這麼重要
[00:06:52.000 --> 00:06:55.000]  使一個人本來應該怕死 所有人都怕死的
[00:06:55.000 --> 00:06:59.000]  所有人都不想死的 為什麼可以變成這樣?
[00:06:59.000 --> 00:07:03.000]  我想回頭 我自己想這個問題
[00:07:03.000 --> 00:07:07.000]  在我六年級的時候 大家知道我是讀哲學教哲學的
[00:07:07.000 --> 00:07:12.000]  我記得六年級是想人生第一個哲學問題
[00:07:12.000 --> 00:07:15.000]  六年級很厲害 六年級想哲學問題
[00:07:15.000 --> 00:07:17.000]  我記得那時候想一個人生的哲學問題
[00:07:17.000 --> 00:07:20.000]  因為那時候我很孤獨的 一個人自己沒有人理我
