
[00:00:00.000 --> 00:00:06.000]  今日係豐盛家嘅大日子
[00:00:06.000 --> 00:00:13.000]  我哋陣間有侍奉人員嘅就職案立嘅典禮
[00:00:13.000 --> 00:00:20.000]  所以我哋好開心今日要嚟到講呢一個關於侍奉嘅訊息
[00:00:20.000 --> 00:00:24.000]  當樂醫侍奉耶和華
[00:00:24.000 --> 00:00:27.000]  當來向他歌唱
[00:00:27.000 --> 00:00:31.000]  親愛的弟兄姊妹,你是一個侍奉的人
[00:00:31.000 --> 00:00:43.000]  全人類,全方位都應該回應這位信實、慈愛,直到永遠的這位真神
[00:00:43.000 --> 00:00:49.000]  當人懂得去到侍奉,懂得去到敬畏的時候
[00:00:49.000 --> 00:00:54.000]  人就不會失去自己應有的本位
[00:00:54.000 --> 00:01:01.000]  當人不知道誰是主角,誰是主宰
[00:01:01.000 --> 00:01:07.000]  當人不知道侍奉的對象是誰的時候
[00:01:07.000 --> 00:01:10.000]  人就會自貶身價
[00:01:10.000 --> 00:01:15.000]  人追求其他一切的最後都是落空
[00:01:15.000 --> 00:01:17.000]  什麼叫侍奉呢?
[00:01:17.000 --> 00:01:23.000]  侍奉的意義其實相當之深,相當之大
[00:01:23.000 --> 00:01:29.000]  問你聽這一段經文,叫做詩篇100篇
[00:01:29.000 --> 00:01:32.000]  很出名的詩篇
[00:01:32.000 --> 00:01:38.000]  它是告訴我們什麼叫侍奉呢?請你回答我
[00:01:38.000 --> 00:01:41.000]  是怎樣侍奉?做什麼的?
[00:01:41.000 --> 00:01:44.000]  剛才我們唱了很多的詩歌
[00:01:44.000 --> 00:01:51.000]  我們唱到身都熱了,唱到我們的笑容都出來了
[00:01:51.000 --> 00:01:54.000]  我們是敬拜侍奉神
[00:01:54.000 --> 00:01:58.000]  這裡的敬拜,這裡的呼召
[00:01:58.000 --> 00:02:02.000]  普天下,當向耶和華歡呼
[00:02:02.000 --> 00:02:05.000]  你們當樂意侍奉耶和華
[00:02:05.000 --> 00:02:08.000]  當來向她歌唱
[00:02:08.000 --> 00:02:12.000]  親愛的兄姊妹,如果我請你回應的時候
[00:02:12.000 --> 00:02:16.000]  當來向她歡呼,當來向她歌唱
[00:02:16.000 --> 00:02:18.000]  那你會怎樣?
[00:02:18.000 --> 00:02:22.000]  這位是華姨,黃月華姐妹
[00:02:22.000 --> 00:02:25.000]  就懂得拍手歡呼
[00:02:25.000 --> 00:02:29.000]  雖然她戴著口罩,我都見到她在發呆
[00:02:29.000 --> 00:02:34.000]  我們應該歡呼,Hallelujah, Amen
[00:02:34.000 --> 00:02:38.000]  Hallelujah,是囉
[00:02:38.000 --> 00:02:42.000]  我們要懂得歡呼歌頌
[00:02:42.000 --> 00:02:46.000]  你們當了得耶和華是神
