
[00:00:00.000 --> 00:00:10.000]  我們看摩斯書說到先知 今天還有沒有先知呢?
[00:00:10.000 --> 00:00:17.000]  如果你有機會接觸北美洲的所謂第三波寧恩運動
[00:00:17.000 --> 00:00:23.000]  他們其中有一些領袖很強調有先知的恩賜
[00:00:23.000 --> 00:00:31.000]  有學校可以學講語言的 你在裏面憑信心講語言
[00:00:31.000 --> 00:00:38.000]  就把他壓下來 不知道靈驗準確到百分之幾你就畢業了
[00:00:38.000 --> 00:00:48.000]  我就很不贊成這樣做的 因為由始至終
[00:00:48.000 --> 00:00:54.000]  我們第一堂已經講過 從舊約開始到新約聖經
[00:00:54.000 --> 00:00:59.000]  先知都不是占卜算命 不是預言的
[00:00:59.000 --> 00:01:05.000]  我忘記第一堂有沒有跟你提過預言和應許的分別
[00:01:05.000 --> 00:01:10.000]  有沒有提過? 我喜歡用一個比喻說
[00:01:10.000 --> 00:01:15.000]  我帶我女兒去海洋公園 假如今天是星期一
[00:01:15.000 --> 00:01:18.000]  我女兒下午已經去世了 四歲半
[00:01:18.000 --> 00:01:23.000]  星期六早上你乖 我帶你去海洋公園
[00:01:23.000 --> 00:01:27.000]  星期六早上十點半你碰到我在海洋公園門口
[00:01:27.000 --> 00:01:29.000]  你會怎麼說呢?
[00:01:29.000 --> 00:01:31.000]  你不會說 哎呀 李博士你真是靈啊
[00:01:31.000 --> 00:01:37.000]  你星期一預言去海洋公園 星期六果然應驗了
[00:01:37.000 --> 00:01:39.000]  你不會這樣說 你會說你這麼忙
[00:01:39.000 --> 00:01:45.000]  你都肯陪女兒去海洋公園 你肯兌現你的諾言
[00:01:45.000 --> 00:01:50.000]  promise fulfilled 我答應了 我做
[00:01:50.000 --> 00:01:56.000]  舊約聖經裏面上帝的說話答應了他做
[00:01:56.000 --> 00:02:02.000]  不是預先說了 到時靈 兩個很不同的心態
[00:02:02.000 --> 00:02:08.000]  所以今天如果強調先知的恩賜是預言靈驗
[00:02:08.000 --> 00:02:12.000]  這個是進入了異教 我不敢說邪教
[00:02:12.000 --> 00:02:17.000]  這個是Pagan religion 古代近東到希臘
[00:02:17.000 --> 00:02:22.000]  一直都有很多先知 這些是異教的先知
[00:02:22.000 --> 00:02:27.000]  異教的先知就是看打仗之前 剖開一隻動物
[00:02:27.000 --> 00:02:33.000]  從內臟裏面看究竟是吉還是空 不是這樣的
[00:02:33.000 --> 00:02:37.000]  雖然有時我們見到有些經文的記載
[00:02:37.000 --> 00:02:43.000]  好像先知在做類似的事 例如米該雅在阿哈王上陣之前
[00:02:43.000 --> 00:02:50.000]  好像要問吉空 我們不要混亂歷史的記載和聖經的教導
[00:02:50.000 --> 00:02:53.000]  讀舊約聖經要分得開這兩樣東西
[00:02:53.000 --> 00:02:56.000]  歷史的記載 記載阿伯拉罕幾個太太
[00:02:56.000 --> 00:02:59.000]  聖經從來沒有教你去娶幾個太太
[00:02:59.000 --> 00:03:03.000]  我們今天讀舊約聖經偏偏是教導的那些我們不熟悉的
[00:03:03.000 --> 00:03:05.000]  因為那些是律法 我們不讀的
[00:03:05.000 --> 00:03:08.000]  歷史事實我們讀很多的
[00:03:08.000 --> 00:03:12.000]  我們要在那裏查經 要在那裏找出教訓出來
[00:03:12.000 --> 00:03:15.000]  阿伯拉罕幾個太太對我有甚麼教訓呢
[00:03:15.000 --> 00:03:19.000]  沒有意義的 這樣讀聖經是錯的
[00:03:19.000 --> 00:03:22.000]  所以你要搞清楚 你要讀教導
[00:03:22.000 --> 00:03:24.000]  耶穌說得很對 說到離婚的時候
[00:03:24.000 --> 00:03:27.000]  聖經怎麼教 從最初神的心意
[00:03:27.000 --> 00:03:29.000]  一男一女 一夫一妻
[00:03:29.000 --> 00:03:32.000]  這是上帝的心意
[00:03:32.000 --> 00:03:34.000]  回來說回先知
[00:03:34.000 --> 00:03:39.000]  舊約和新約都不是說先知去說預言的
[00:03:39.000 --> 00:03:46.000]  新約引用舊約都不是用預言 靈驗這樣的角度去引用
[00:03:46.000 --> 00:03:51.000]  希臘時期教會的教父有時會這樣看聖經
[00:03:51.000 --> 00:03:54.000]  這是教父的問題 不是聖經的問題
[00:03:54.000 --> 00:03:57.000]  教父可以錯 聖經不會錯
[00:03:57.000 --> 00:04:02.000]  我最近看《約爾書》 看《士徒行傳》第二章
[00:04:02.000 --> 00:04:03.000]  你很熟悉的經文
[00:04:03.000 --> 00:04:06.000]  你想一想那段聖經 彼得引用的時候
[00:04:06.000 --> 00:04:08.000]  是否預言靈驗呢
[00:04:08.000 --> 00:04:11.000]  那段經文說 在末後的日子
[00:04:11.000 --> 00:04:16.000]  我要將我的靈 灌在所有肉身的身上
[00:04:16.000 --> 00:04:21.000]  那些老年人要做夢 少年人要見異象
[00:04:21.000 --> 00:04:24.000]  連他們當中的奴隸 他們的瀑企
[00:04:24.000 --> 00:04:26.000]  都有神的靈
[00:04:26.000 --> 00:04:29.000]  在五旬節一點都沒有應驗
[00:04:29.000 --> 00:04:32.000]  你讀回那段聖經 其實沒有一樣東西應驗
[00:04:32.000 --> 00:04:35.000]  只有一點是相通的
[00:04:35.000 --> 00:04:38.000]  就是這班士徒站起來
[00:04:38.000 --> 00:04:42.000]  他們用各國各地的謊言來讚美神
[00:04:42.000 --> 00:04:46.000]  不是因為喝醉酒 當時十點多上午
[00:04:46.000 --> 00:04:50.000]  而是因為神的靈在他們身上
[00:04:50.000 --> 00:04:54.000]  表現出來沒有老人家見作夢
[00:04:54.000 --> 00:04:56.000]  沒有少年人見異象
[00:04:56.000 --> 00:05:00.000]  不是靈驗的問題 是他應許應驗的問題
[00:05:00.000 --> 00:05:05.000]  上帝答應了將他的靈 硝冠在所有人身上
[00:05:05.000 --> 00:05:09.000]  現在這件事情發生了
[00:05:09.000 --> 00:05:12.000]  不是Prophecy fulfilled
[00:05:12.000 --> 00:05:16.000]  是Promises fulfilled 兩個很不同的
[00:05:16.000 --> 00:05:20.000]  所以在新約聖經裏面我們見到有先知
[00:05:20.000 --> 00:05:23.000]  但先知和講道分不開關係
[00:05:23.000 --> 00:05:26.000]  保羅在哥倫多前書十三章我們都會背
[00:05:26.000 --> 00:05:30.000]  「我若有先知 講道之能」
[00:05:30.000 --> 00:05:32.000]  先知是講道 講道是甚麼意思
[00:05:32.000 --> 00:05:35.000]  傳神的信息 和舊約一樣
[00:05:35.000 --> 00:05:38.000]  《新榮記》十八章十八節 我們第一課看過
[00:05:38.000 --> 00:05:41.000]  先知是傳遞上帝的說話
[00:05:41.000 --> 00:05:44.000]  所以去到《爾夫所書》的時候說
[00:05:44.000 --> 00:05:48.000]  他所賜的有使徒 有先知 有傳福音的有牧師和教士
[00:05:48.000 --> 00:05:51.000]  這是教會裏面的恩賜
[00:05:51.000 --> 00:05:55.000]  這幾個恩賜分別不同
[00:05:55.000 --> 00:06:00.000]  使徒的恩賜是開方建立教會
[00:06:00.000 --> 00:06:03.000]  宣教的恩賜
[00:06:03.000 --> 00:06:07.000]  有些人移民到外國
[00:06:07.000 --> 00:06:10.000]  去到一個城市查一查
[00:06:10.000 --> 00:06:13.000]  沒有還教會感謝上帝 以後不用聚會了
[00:06:13.000 --> 00:06:17.000]  有些人去到西人教會
[00:06:17.000 --> 00:06:21.000]  兩種人都沒有使徒恩賜
[00:06:21.000 --> 00:06:24.000]  有使徒恩賜的弟兄是怎樣的
[00:06:24.000 --> 00:06:26.000]  他由溫哥華到王子盧比特
[00:06:26.000 --> 00:06:29.000]  沒有還教會 去西人教會聚會
[00:06:29.000 --> 00:06:32.000]  然後要求教會支持他
[00:06:32.000 --> 00:06:34.000]  開始一個還教會在那裏
[00:06:34.000 --> 00:06:38.000]  這叫使徒恩賜 從無做有
[00:06:38.000 --> 00:06:40.000]  開始教會開方
[00:06:40.000 --> 00:06:42.000]  沒有就繞著手
[00:06:42.000 --> 00:06:44.000]  不是人也可以
[00:06:44.000 --> 00:06:46.000]  但不一定要強求
[00:06:46.000 --> 00:06:48.000]  有些人有這個恩賜
[00:06:48.000 --> 00:06:50.000]  去到那裏就開教會
[00:06:50.000 --> 00:06:52.000]  保羅和比特都是這樣
[00:06:52.000 --> 00:06:54.000]  但提摩泰不是這樣
[00:06:54.000 --> 00:06:57.000]  提摩泰只能守住教會
[00:06:57.000 --> 00:07:00.000]  他不是那些走出去
[00:07:00.000 --> 00:07:03.000]  能夠從無變有
[00:07:03.000 --> 00:07:05.000]  先知的恩賜
[00:07:05.000 --> 00:07:08.000]  有些人講到解釋得很清楚神的話
[00:07:08.000 --> 00:07:11.000]  你聽完之後 澄清你的觀念
[00:07:11.000 --> 00:07:13.000]  有些沒有講到恩賜的人
[00:07:13.000 --> 00:07:15.000]  本來你明白聖經
[00:07:15.000 --> 00:07:17.000]  講完之後你反而不明白
[00:07:17.000 --> 00:07:19.000]  那些沒有恩賜
[00:07:19.000 --> 00:07:22.000]  很明顯的 不可以強求
[00:07:22.000 --> 00:07:24.000]  傳福音一樣
[00:07:24.000 --> 00:07:26.000]  我經常用聖經解釋
[00:07:26.000 --> 00:07:28.000]  不是每個人都有傳福音恩賜
[00:07:28.000 --> 00:07:30.000]  所以你要見證上帝
[00:07:30.000 --> 00:07:32.000]  見證是不能推的
[00:07:32.000 --> 00:07:34.000]  你是基督徒 每個人都見到你是基督徒
[00:07:34.000 --> 00:07:36.000]  你不能說我脫下基督徒的衣服
[00:07:36.000 --> 00:07:38.000]  叫完 講完粗口才穿上
[00:07:38.000 --> 00:07:40.000]  沒有的
[00:07:40.000 --> 00:07:42.000]  你是基督徒 24小時都是基督徒
[00:07:42.000 --> 00:07:43.000]  你去到哪裡都是基督徒
[00:07:43.000 --> 00:07:45.000]  你為主做見證
[00:07:45.000 --> 00:07:48.000]  做見證引起人的好奇心
[00:07:48.000 --> 00:07:51.000]  問你盼望的緣由
[00:07:51.000 --> 00:07:54.000]  你溫柔敬畏的心回答他
