
[00:00:00.000 --> 00:00:04.320]  多謝大家邀請我
[00:00:04.320 --> 00:00:08.560]  來這個教會有沒有人第一次來的?
[00:00:08.560 --> 00:00:10.060]  離關 是吧
[00:00:10.060 --> 00:00:16.680]  我懷疑我算是很熟的人
[00:00:16.680 --> 00:00:18.680]  我第四次來這裡的了
[00:00:18.680 --> 00:00:22.840]  去美國最多的地方就是芝加哥
[00:00:22.840 --> 00:00:26.760]  也是我第一次去美國去的地方芝加哥
[00:00:26.760 --> 00:00:31.040]  去的教會場地也是算最多的
[00:00:31.040 --> 00:00:34.280]  因為馬木斯和我很熟
[00:00:34.280 --> 00:00:37.240]  今天我就想說一句
[00:00:37.240 --> 00:00:39.240]  你經常都記得聖經是什麼
[00:00:39.240 --> 00:00:44.640]  所以我選了出埃及記19章第四節
[00:00:44.640 --> 00:00:46.640]  為什麼要選這節聖經呢
[00:00:46.640 --> 00:00:51.040]  這節聖經是說好像坐飛機
[00:00:51.040 --> 00:00:53.840]  從一個地方去另一個地方
[00:00:53.840 --> 00:00:57.880]  剛才讀經的姐妹幫我讀出來
[00:00:57.880 --> 00:01:04.280]  她說看見我好像鷹將你背在翅膀上
[00:01:04.280 --> 00:01:07.280]  我想大家都是坐飛機很厲害的人
[00:01:07.280 --> 00:01:09.920]  我很佩服大家可以回香港
[00:01:09.920 --> 00:01:11.920]  可以坐這麼久的飛機
[00:01:11.920 --> 00:01:13.920]  飛機是不是背著你呢
[00:01:13.920 --> 00:01:17.840]  我不知道 不過我昨天看到新聞說
[00:01:17.840 --> 00:01:22.320]  有一架飛機從荷蘭回香港遇到氣流
[00:01:22.320 --> 00:01:24.320]  傷了七個人
[00:01:24.320 --> 00:01:27.320]  那些人沒有戴安全帶
[00:01:27.320 --> 00:01:32.320]  整個人彈上飛機頂 下來就斷骨
[00:01:32.320 --> 00:01:35.320]  你怕不怕坐飛機啊
[00:01:35.320 --> 00:01:38.320]  不怕就假了
[00:01:38.320 --> 00:01:41.720]  但是你又要坐飛機啊 是吧
[00:01:41.720 --> 00:01:44.720]  你以為我們真的會飛嗎 真的不會的
[00:01:44.720 --> 00:01:46.720]  那怎麼坐得好一個飛機呢
[00:01:46.720 --> 00:01:48.720]  今天我們探討這個問題
[00:01:49.120 --> 00:01:52.120]  馬牧師就改了一個名字叫救命恩人
[00:01:52.120 --> 00:01:55.120]  救命恩人 其實真的是真的
[00:01:55.120 --> 00:01:59.120]  如果能夠帶你離開危險的地方
[00:01:59.120 --> 00:02:02.120]  這個世界你遇過誰呢
[00:02:02.120 --> 00:02:06.120]  你有沒有遇過一個人帶你離開危險的地方
[00:02:06.120 --> 00:02:08.120]  去到安全的地方呢
[00:02:08.120 --> 00:02:11.120]  這個就是我們今天想探討的問題
[00:02:11.120 --> 00:02:17.120]  我相信講福音主日用這節聖經是很好講的
[00:02:17.120 --> 00:02:20.120]  因為裡面講到一些問題
[00:02:20.120 --> 00:02:23.120]  所以我選了一節 因為可以逐個字講
[00:02:23.120 --> 00:02:27.120]  可能會講得仔細很多
[00:02:27.120 --> 00:02:31.120]  很多時候我在香港是做一個顧問工作
[00:02:31.120 --> 00:02:34.120]  是關於心理 關於治療
[00:02:34.120 --> 00:02:37.120]  做一個顧問很多人都以為
[00:02:37.120 --> 00:02:41.120]  我們是去醫治別人的問題 其實不是的
[00:02:41.120 --> 00:02:45.120]  顧問的責任是做介紹的 所以顧問
[00:02:45.120 --> 00:02:49.120]  譬如他適不適合 或者到一個地步要吃藥
[00:02:49.120 --> 00:02:53.120]  或者見精神科 他找了一個顧問
[00:02:53.120 --> 00:02:57.120]  那個顧問說不用 或者是要了
[00:02:57.120 --> 00:03:00.120]  我是做這個工作 我是不懂得醫治的
[00:03:00.120 --> 00:03:05.120]  但是我可以告訴你 誰幫到你較為好一點
[00:03:05.120 --> 00:03:08.120]  以我的經驗 我就介紹那個人
[00:03:08.120 --> 00:03:12.120]  很多人都誤會了 以為找到我就有得救
[00:03:12.120 --> 00:03:16.120]  其實不是的 我只是介紹你去找誰
[00:03:16.120 --> 00:03:19.120]  當你說那你就是騙錢 你都不幫他
[00:03:19.120 --> 00:03:23.120]  但是不是的 如果我介紹得好
[00:03:23.120 --> 00:03:27.120]  和介紹得不好 差很遠 你自己未必懂得找
[00:03:27.120 --> 00:03:30.120]  你會找錯的機會高於找對的機會
[00:03:30.120 --> 00:03:34.120]  當然我也未必絕對講對給你聽
[00:03:34.120 --> 00:03:38.120]  不過我可能減省了你找錯的機會
[00:03:38.120 --> 00:03:40.120]  都是我的功勞
[00:03:40.120 --> 00:03:44.120]  所以有時當做顧問的時候 想起基督徒
[00:03:44.120 --> 00:03:48.120]  其實基督徒都是在做生命的顧問
[00:03:48.120 --> 00:03:52.120]  你是介紹人家找耶穌基督的
