
[00:00:00.000 --> 00:00:10.000]  第一姐妹來到恆在地上的天國第四章
[00:00:10.000 --> 00:00:13.000]  今天我們純粹看馬太福音第七章
[00:00:13.000 --> 00:00:18.000]  整章看完一至二十八節 經文頗長的
[00:00:18.000 --> 00:00:24.000]  我嘗試過斬開來看 但斬開來看時沒那麼全面
[00:00:24.000 --> 00:00:29.000]  因為整章第七章看完時就看見一幅很特別的圖畫
[00:00:29.000 --> 00:00:34.000]  今天我們純粹看天國指紋的金腰肌
[00:00:34.000 --> 00:00:36.000]  開始時我們先做個祈禱
[00:00:36.000 --> 00:00:38.000]  天上大人多謝你 仰望你自己的恩典
[00:00:38.000 --> 00:00:42.000]  臨在我們每一個人當中 打開我們的心 打開我們的耳朵
[00:00:42.000 --> 00:00:46.000]  以致我們能夠聽到主你自己對我們所說的話
[00:00:46.000 --> 00:00:48.000]  仰望你的恩典繼續臨在我們每一個人
[00:00:48.000 --> 00:00:51.000]  多謝你 主耶穌的名字 祈禱 阿們
[00:00:51.000 --> 00:00:55.000]  第一姐妹幫我們讀了經文
[00:00:55.000 --> 00:00:59.000]  我不會再重新讀經文
[00:00:59.000 --> 00:01:03.000]  我們直接進入經文當中 一節一節去看
[00:01:03.000 --> 00:01:06.000]  七章一節很有趣 七章一節說什麼
[00:01:06.000 --> 00:01:11.000]  你們不要論斷別人 不要評斷別人
[00:01:11.000 --> 00:01:14.000]  免得你們被論斷
[00:01:14.000 --> 00:01:16.000]  很多時候我們看經文時
[00:01:16.000 --> 00:01:19.000]  我們說不要論斷別人 不要評斷別人
[00:01:19.000 --> 00:01:23.000]  不要說明別人 究竟是說什麼呢
[00:01:23.000 --> 00:01:27.000]  我們打開馬太第十八章的時候
[00:01:27.000 --> 00:01:32.000]  好像耶穌有說另一個比喻給我們看
[00:01:32.000 --> 00:01:37.000]  如果有一個弟兄落在一個試探
[00:01:37.000 --> 00:01:41.000]  落在一個艱難當中 落在做錯事
[00:01:41.000 --> 00:01:43.000]  甚至可能犯罪的情況下
[00:01:43.000 --> 00:01:46.000]  我們是要去評論他
[00:01:46.000 --> 00:01:51.000]  我們其實是要告訴他 要將他挽回
[00:01:51.000 --> 00:01:54.000]  所以這裡說的七章一節
[00:01:54.000 --> 00:01:56.000]  很多時候我們用的時候
[00:01:56.000 --> 00:02:00.000]  就像一個金句 變成了不准論斷別人
[00:02:00.000 --> 00:02:04.000]  但實際上是否在說不要論斷別人呢
[00:02:04.000 --> 00:02:07.000]  我覺得這句經文沒有一個主體
[00:02:07.000 --> 00:02:10.000]  究竟你們不要論斷別人
[00:02:10.000 --> 00:02:13.000]  免得你們被什麼論斷呢
[00:02:13.000 --> 00:02:16.000]  是被其他人去論斷呢
[00:02:16.000 --> 00:02:19.000]  我論斷你 對方又論斷你
[00:02:19.000 --> 00:02:21.000]  變成了好像吵架一樣
[00:02:21.000 --> 00:02:24.000]  還是被神去論斷呢
[00:02:24.000 --> 00:02:27.000]  我相信這裡的主體應該是上帝
[00:02:27.000 --> 00:02:29.000]  再看下去的時候
[00:02:29.000 --> 00:02:31.000]  七章二節解釋給我們聽
[00:02:31.000 --> 00:02:33.000]  為什麼不要論斷別人
[00:02:33.000 --> 00:02:36.000]  因為你們如何去論斷別人
[00:02:36.000 --> 00:02:39.000]  也必怎樣被論斷
[00:02:39.000 --> 00:02:41.000]  同樣應該有一個主體在這裡
[00:02:41.000 --> 00:02:44.000]  你們如何去論斷別人的時候
[00:02:44.000 --> 00:02:48.000]  也會怎樣被上帝去論斷
[00:02:48.000 --> 00:02:49.000]  很有趣的
[00:02:49.000 --> 00:02:51.000]  所以原來這幅圖畫給我們看
[00:02:51.000 --> 00:02:53.000]  就像一面鏡子一樣
[00:02:53.000 --> 00:02:56.000]  我們如何在別人身上做的時間
[00:02:56.000 --> 00:03:02.000]  竟然會影響上帝如何在我們身上做的時間
[00:03:02.000 --> 00:03:05.000]  我們看見對方的時間
[00:03:05.000 --> 00:03:13.000]  原來就看見上帝如何在我們身上做的時間
[00:03:13.000 --> 00:03:15.000]  就像一面鏡子
[00:03:15.000 --> 00:03:17.000]  我們看著鏡子如何做的時間
[00:03:17.000 --> 00:03:21.000]  鏡子就反映上帝如何在我們身上做的時間
[00:03:21.000 --> 00:03:24.000]  是一個很有趣的圖畫
[00:03:24.000 --> 00:03:29.000]  所以在七章五節開始進入解釋這兩節經文
[00:03:29.000 --> 00:03:30.000]  其實想說什麼呢
[00:03:30.000 --> 00:03:32.000]  七章五節提到有些人
[00:03:32.000 --> 00:03:35.000]  叫做假冒為善的人
[00:03:35.000 --> 00:03:37.000]  假冒為善的人
[00:03:37.000 --> 00:03:40.000]  其實在馬太福音上
[00:03:40.000 --> 00:03:44.000]  其實有很多次的假冒為善的人
[00:03:44.000 --> 00:03:48.000]  你會發覺在馬太福音裏面
[00:03:48.000 --> 00:03:50.000]  基本上說假冒為善
[00:03:50.000 --> 00:03:54.000]  或者馬太用假冒為善去形容那些人
[00:03:54.000 --> 00:03:58.000]  基本上都是說犯理錯人
[00:03:58.000 --> 00:03:59.000]  所以你會發覺
[00:03:59.000 --> 00:04:01.000]  我們回頭看之前我們看過
[00:04:01.000 --> 00:04:03.000]  六章二節的時候
[00:04:03.000 --> 00:04:04.000]  說的是什麼呢
[00:04:04.000 --> 00:04:06.000]  說的是他施捨的時間
[00:04:06.000 --> 00:04:10.000]  就在大街上在會堂裏面吹號
[00:04:10.000 --> 00:04:12.000]  我們說方醒武人之義
[00:04:12.000 --> 00:04:14.000]  我現在做善事了
