
[00:00:00.000 --> 00:00:04.000]  我站在這裏有些很奇怪的感覺
[00:00:04.000 --> 00:00:08.000]  前面那幾排都空了
[00:00:08.000 --> 00:00:12.000]  不如我們起來做個活動
[00:00:12.000 --> 00:00:16.000]  我們一會兒大家起來民安、平安
[00:00:16.000 --> 00:00:18.000]  我們就說平安 大家握個手
[00:00:18.000 --> 00:00:22.000]  然後你是長老、準長老
[00:00:22.000 --> 00:00:24.000]  你是執事、準執事
[00:00:24.000 --> 00:00:28.000]  你是部長、你是總長老
[00:00:28.000 --> 00:00:32.000]  你是部長、你是團契的職員
[00:00:32.000 --> 00:00:34.000]  你要有個好榜樣
[00:00:34.000 --> 00:00:36.000]  可能將來要有個要求
[00:00:36.000 --> 00:00:40.000]  凡是選長老的就要坐前面那幾排
[00:00:40.000 --> 00:00:42.000]  不然就不選你
[00:00:42.000 --> 00:00:45.000]  你沒有好榜樣怎麼行
[00:00:45.000 --> 00:00:48.000]  個個縮在後面縮頭烏龜怎麼行
[00:00:48.000 --> 00:00:51.000]  如果你做講員你都不喜歡
[00:00:51.000 --> 00:00:54.000]  我真的很想講
[00:00:54.000 --> 00:00:58.000]  這樣我跟誰講?跟空椅子講?
[00:00:58.000 --> 00:01:01.000]  自己人我們才這樣講
[00:01:01.000 --> 00:01:05.000]  我們外面講員不一定會這樣講
[00:01:05.000 --> 00:01:07.000]  藍牧師都不好意思講
[00:01:07.000 --> 00:01:09.000]  我不怕
[00:01:09.000 --> 00:01:12.000]  剛才朱牧師說要穿透
[00:01:12.000 --> 00:01:13.000]  是不是這樣講?
[00:01:13.000 --> 00:01:16.000]  哪句話激動我就要講
[00:01:16.000 --> 00:01:18.000]  我們有些穿透性
[00:01:18.000 --> 00:01:20.000]  大家起來彼此民安
[00:01:20.000 --> 00:01:22.000]  然後向前走
[00:01:23.000 --> 00:01:25.000]  這樣才對
[00:01:25.000 --> 00:01:29.000]  繼續坐前面那排
[00:01:29.000 --> 00:01:32.000]  你說靠近主
[00:01:32.000 --> 00:01:34.000]  我不是主
[00:01:34.000 --> 00:01:37.000]  主的台前、主的桌前
[00:01:37.000 --> 00:01:39.000]  你真的要靠近
[00:01:39.000 --> 00:01:41.000]  我們真的要大家愛慕主
[00:01:41.000 --> 00:01:43.000]  要有這種愛慕的心
[00:01:43.000 --> 00:01:45.000]  第一步要走前
[00:01:45.000 --> 00:01:47.000]  大家都好,多謝
[00:01:47.000 --> 00:01:48.000]  多謝主
[00:01:48.000 --> 00:01:49.000]  真是好
[00:01:49.000 --> 00:01:53.000]  這些是準長老、準執事、準什麼的
[00:01:53.000 --> 00:01:56.000]  第二天選就找他們
[00:01:56.000 --> 00:01:58.000]  我們感謝主
[00:01:58.000 --> 00:02:01.000]  今天我在國語堂講
[00:02:01.000 --> 00:02:04.000]  一見面蕭若雄老師
[00:02:04.000 --> 00:02:06.000]  他就問
[00:02:06.000 --> 00:02:08.000]  歐牧師你什麼時候退休?
[00:02:08.000 --> 00:02:09.000]  你是不是退休了?
[00:02:09.000 --> 00:02:11.000]  我說我也想
[00:02:11.000 --> 00:02:13.000]  雖然我到了退休年齡
[00:02:13.000 --> 00:02:17.000]  但是我還是繼續侍奉
[00:02:17.000 --> 00:02:20.000]  歐牧師可能剛退休
[00:02:20.000 --> 00:02:22.000]  但是侍奉繼續
[00:02:22.000 --> 00:02:25.000]  我已經到了退休年齡
[00:02:25.000 --> 00:02:27.000]  今天講的講題
[00:02:27.000 --> 00:02:29.000]  麻煩打出來
[00:02:29.000 --> 00:02:31.000]  叫如英返老還童
[00:02:31.000 --> 00:02:34.000]  我們中間有些年青的
[00:02:34.000 --> 00:02:38.000]  有些年紀差不多
[00:02:38.000 --> 00:02:42.000]  我們怎樣去如英返老還童
[00:02:42.000 --> 00:02:44.000]  我星期五的時候
[00:02:44.000 --> 00:02:46.000]  有一個聚會
[00:02:46.000 --> 00:02:49.000]  星期五晚在家庭的聚會
[00:02:49.000 --> 00:02:53.000]  這個聚會是講一些營商的宣教
[00:02:53.000 --> 00:02:55.000]  一幫老闆
[00:02:55.000 --> 00:02:57.000]  大家講一下營商的宣教
[00:02:57.000 --> 00:03:01.000]  我因為去完一個追悼會回來
[00:03:01.000 --> 00:03:03.000]  去到他家的時候
[00:03:03.000 --> 00:03:05.000]  大家已經在吃飯
[00:03:05.000 --> 00:03:07.000]  那個屋主好有心
[00:03:07.000 --> 00:03:09.000]  拿了一張椅子給我
[00:03:09.000 --> 00:03:11.000]  在餐廳
