
[00:00:00.000 --> 00:00:05.400]  各位大英姐妹 各位朋友 你們好
[00:00:05.400 --> 00:00:08.440]  歡迎大家參加我們三藩市報道會
[00:00:08.440 --> 00:00:10.680]  五堂的網上崇拜
[00:00:10.680 --> 00:00:13.880]  我們繼續思想啟示錄的訊息
[00:00:13.880 --> 00:00:16.840]  今次我們去到第27講
[00:00:16.840 --> 00:00:20.080]  那婦人與那大紅龍
[00:00:20.080 --> 00:00:23.320]  經文是記載在啟示錄十二章
[00:00:23.320 --> 00:00:25.080]  一節至到六節
[00:00:25.080 --> 00:00:27.800]  開始的時候請我們同心低頭
[00:00:27.800 --> 00:00:29.200]  我們同禱告
[00:00:29.200 --> 00:00:32.600]  慈悲人和天父我們滿心感謝你
[00:00:32.600 --> 00:00:37.000]  藉著你的話語求你去安慰我們
[00:00:37.000 --> 00:00:40.160]  督責我們 提醒我們
[00:00:40.160 --> 00:00:43.120]  讓我們能夠懂得去仰望你
[00:00:43.120 --> 00:00:46.600]  有信 有望 有愛
[00:00:46.600 --> 00:00:48.960]  在這個末世時代
[00:00:48.960 --> 00:00:51.760]  懂得怎樣去服侍你
[00:00:51.760 --> 00:00:53.600]  服侍周圍的人
[00:00:53.600 --> 00:00:56.160]  求聖靈藉著你的話語
[00:00:56.160 --> 00:00:58.320]  再一次提醒勸勉我們
[00:00:58.320 --> 00:00:59.960]  我們這樣的祈禱
[00:00:59.960 --> 00:01:02.600]  奉耶穌基督名禱 阿們
[00:01:02.600 --> 00:01:06.760]  如果你對一個對聖經或基督教
[00:01:06.760 --> 00:01:08.800]  不大認識的人說
[00:01:08.800 --> 00:01:11.560]  我講個故事給你聽
[00:01:11.560 --> 00:01:14.520]  有個女人她很厲害
[00:01:14.520 --> 00:01:17.520]  身披著日頭又剛又熱
[00:01:17.520 --> 00:01:20.680]  腳踏月亮頭戴十二顆星
[00:01:20.680 --> 00:01:22.320]  作為冠冕
[00:01:22.320 --> 00:01:24.640]  真是剛殘殘
[00:01:24.640 --> 00:01:26.360]  她有了新人
[00:01:26.360 --> 00:01:29.880]  生產的時候很痛苦地叫
[00:01:29.880 --> 00:01:33.800]  忽然間來了一個大熊驢
[00:01:33.800 --> 00:01:36.360]  一條龍是紅色的
[00:01:36.360 --> 00:01:38.480]  很大的 有七個頭
[00:01:38.480 --> 00:01:39.640]  十隻角
[00:01:39.640 --> 00:01:42.760]  七個頭上戴了七個冠冕
[00:01:42.760 --> 00:01:45.960]  它的尾巴拖著三分之一的星
[00:01:45.960 --> 00:01:48.440]  宇宙的星獸三分之一
[00:01:48.440 --> 00:01:50.760]  被它的尾巴拖著下來
[00:01:50.760 --> 00:01:52.200]  它之所以出現
[00:01:52.200 --> 00:01:55.680]  原來是想吞食一個要出生的嬰兒
[00:01:55.680 --> 00:01:59.320]  因為這個嬰兒將要統管宇宙萬國
[00:01:59.320 --> 00:02:03.360]  但是當嬰兒一出生的時候
[00:02:03.360 --> 00:02:06.280]  一股比它更大的力量
[00:02:06.280 --> 00:02:08.800]  將這個嬰兒提到天上
[00:02:08.800 --> 00:02:15.520]  而這個婦人也成功逃脫到曠野裏避難
[00:02:15.520 --> 00:02:17.520]  她之所以能夠逃脫
[00:02:17.520 --> 00:02:20.600]  是因為這個婦人忽然間長出
[00:02:20.600 --> 00:02:25.640]  兩個好像很大的鷹翅膀一樣
[00:02:25.640 --> 00:02:27.880]  以致可以飛到曠野
[00:02:27.880 --> 00:02:30.480]  去躲避這個紅龍
[00:02:30.480 --> 00:02:32.880]  她在那裏有三年半
[00:02:32.880 --> 00:02:35.200]  那條龍又叫蛇
[00:02:35.200 --> 00:02:37.600]  從口裏吐出水來
[00:02:37.600 --> 00:02:41.520]  好像大海一樣想將這個女人沖走
[00:02:41.520 --> 00:02:45.280]  忽然之間它就裂開一個大洞
[00:02:45.280 --> 00:02:47.880]  吞了所有的龍水
[00:02:47.880 --> 00:02:49.880]  婦人就得以安全
[00:02:49.880 --> 00:02:52.800]  龍向這個婦人發怒
[00:02:52.800 --> 00:02:57.240]  與其他的兒女爭戰
[00:02:57.240 --> 00:03:00.160]  你猜你的朋友聽了這個故事的時候
[00:03:00.160 --> 00:03:01.680]  他有甚麼反應呢?
[00:03:01.680 --> 00:03:02.680]  他會問你
[00:03:02.680 --> 00:03:04.840]  這個神話也挺有興趣的
[00:03:04.840 --> 00:03:08.240]  是不是風神榜的神話故事來的?
[00:03:08.240 --> 00:03:09.840]  當你說不是
[00:03:09.840 --> 00:03:12.120]  是出自《聖經》
[00:03:12.120 --> 00:03:13.280]  他就奇怪
[00:03:13.280 --> 00:03:15.480]  《聖經》也有些好像風神榜
[00:03:15.480 --> 00:03:19.000]  不可置信的神話故事嗎?
[00:03:19.000 --> 00:03:21.240]  你有沒有想過這個問題?
[00:03:21.240 --> 00:03:22.640]  當你讀啟示錄
[00:03:22.640 --> 00:03:24.360]  特別是看到這個故事的時候
[00:03:24.360 --> 00:03:25.920]  你會不會問
[00:03:25.920 --> 00:03:28.200]  是不是真的?
[00:03:28.200 --> 00:03:31.320]  簡直是神話故事來的
[00:03:31.320 --> 00:03:32.800]  如果是神話故事
