
[00:00:00.000 --> 00:00:05.000]  請姐妹轉來評論
[00:00:05.000 --> 00:00:09.000]  我們連續討論馬拉基書
[00:00:09.000 --> 00:00:13.000]  今天來到第五段
[00:00:13.000 --> 00:00:17.000]  前面那四段說什麼的
[00:00:17.000 --> 00:00:20.000]  我們說第一段
[00:00:20.000 --> 00:00:29.000]  百姓心裡因為亡國被擄的災劫
[00:00:29.000 --> 00:00:33.000]  他們說上帝你愛我們?
[00:00:33.000 --> 00:00:37.000]  你在什麼事上?你在哪裡?
[00:00:37.000 --> 00:00:40.000]  你怎樣愛我們?
[00:00:40.000 --> 00:00:43.000]  但其實上帝很好
[00:00:43.000 --> 00:00:48.000]  他將我們說不出的話都跟我們說了出來
[00:00:48.000 --> 00:00:50.000]  然後他解釋給我們聽
[00:00:50.000 --> 00:00:57.000]  原來在我們最艱難最不樂的那件事上
[00:00:57.000 --> 00:01:04.000]  上帝說是我的愛重建你的生命
[00:01:04.000 --> 00:01:10.000]  第二段好像是說祭司藐視上帝
[00:01:10.000 --> 00:01:17.000]  原來不是,說到最後是上主教導他的僕人
[00:01:17.000 --> 00:01:24.000]  你尊重上帝,百姓就會尊重你
[00:01:24.000 --> 00:01:29.000]  第三段,奸詐
[00:01:29.000 --> 00:01:35.000]  不是,原來上帝是關心回歸耶路撒冷
[00:01:35.000 --> 00:01:41.000]  他的百姓在環境重重的壓力
[00:01:41.000 --> 00:01:51.000]  不勝負荷家庭婚姻的關係就出事
[00:01:51.000 --> 00:01:56.000]  上帝關心,上帝主動提起
[00:01:56.000 --> 00:02:01.000]  你是我的百姓,我不是變心的上帝
[00:02:01.000 --> 00:02:06.000]  堅持信實,你願意跟從我
[00:02:06.000 --> 00:02:14.000]  效法我,信服我,進行我的教導嗎?
[00:02:14.000 --> 00:02:19.000]  上個月我們說到勞累
[00:02:19.000 --> 00:02:24.000]  原來不是,上帝不是討厭覺得麻煩
[00:02:24.000 --> 00:02:27.000]  上帝是公義的上帝
[00:02:27.000 --> 00:02:31.000]  所以百姓在喊公義的上帝去了哪裡
[00:02:31.000 --> 00:02:33.000]  上帝說我快來了
[00:02:33.000 --> 00:02:38.000]  不過我來的時候,你們準備好了嗎?
[00:02:38.000 --> 00:02:44.000]  不,我的使者要來,可低
[00:02:44.000 --> 00:02:48.000]  很用心,很長的時間,做什麼呢?
[00:02:48.000 --> 00:02:56.000]  煉證我的百姓,好像熬煉精金一樣
[00:02:56.000 --> 00:03:02.000]  原來上帝的公義是這樣彰顯的
[00:03:02.000 --> 00:03:07.000]  香港教會的弟兄姊妹聽得明白嗎?
[00:03:07.000 --> 00:03:15.000]  今天我們來到第五段,又說什麼呢?
[00:03:15.000 --> 00:03:23.000]  我們先讀一次,第五段的經文其實不是很長
[00:03:23.000 --> 00:03:33.000]  第六節到第十二節,我把我的翻譯斷句都打出來
[00:03:33.000 --> 00:03:36.000]  我們一起來讀吧
[00:03:36.000 --> 00:03:41.000]  因為我是上主,我不會重復
[00:03:41.000 --> 00:03:47.000]  但你們是我的子孫,你們不會停止
[00:03:47.000 --> 00:03:52.000]  自你們祖宗的日子,你們背離我的律例
[00:03:52.000 --> 00:03:55.000]  你們也不遵守
[00:03:55.000 --> 00:04:01.000]  回轉向我,讓我也回轉向你們
[00:04:01.000 --> 00:04:04.000]  天庭的上主說
[00:04:04.000 --> 00:04:09.000]  你們卻說,我們怎樣回轉?
[00:04:09.000 --> 00:04:15.000]  人豈可搶奪上帝呢?你們卻在搶奪我
[00:04:15.000 --> 00:04:20.000]  你們卻說,我們怎樣搶奪你?
[00:04:20.000 --> 00:04:27.000]  那十一婆那奉獻你們當被咒詛所咒詛
[00:04:27.000 --> 00:04:34.000]  你們搶奪的是我,那子民,所有人
[00:04:34.000 --> 00:04:39.000]  將所有那十一奉獻都倉庫去
[00:04:39.000 --> 00:04:43.000]  讓我的腹中有糧食
[00:04:43.000 --> 00:04:46.000]  可以藉此試試我
[00:04:46.000 --> 00:04:49.000]  天庭的上主說
[00:04:49.000 --> 00:04:55.000]  是否我會為你打開那天上的窗戶
[00:04:55.000 --> 00:05:02.000]  我又要為你傾出祝福,直到一無所缺
[00:05:02.000 --> 00:05:06.000]  我又會為你們戚退那吞噬的
[00:05:06.000 --> 00:05:12.000]  以至它不能損害你們地上的果子
