
[00:00:00.000 --> 00:00:05.200]  各位大型節目的各位朋友你們好
[00:00:05.200 --> 00:00:10.200]  歡迎大家參觀我們三藩市博導會網上的五堂崇拜
[00:00:10.200 --> 00:00:14.200]  我們今天繼續思想約翰福音的信息
[00:00:14.200 --> 00:00:19.800]  我們來到約翰福音第五章十節至十八節
[00:00:19.800 --> 00:00:23.400]  題目叫做封建枷鎖
[00:00:23.400 --> 00:00:26.400]  沒開始思想這段聖經之前
[00:00:26.400 --> 00:00:28.800]  請我們同心低頭 與同討好
[00:00:28.800 --> 00:00:32.800]  慈悲也要謙復我們的滿心多謝你
[00:00:32.800 --> 00:00:35.800]  因為你來到世上
[00:00:35.800 --> 00:00:38.800]  為我們釘在十字架
[00:00:38.800 --> 00:00:41.800]  以至我們能夠得到釋放
[00:00:41.800 --> 00:00:44.800]  從前我們是被罪狠枉
[00:00:44.800 --> 00:00:48.800]  但現在我們已經得以自由
[00:00:48.800 --> 00:00:50.800]  求你教導我們
[00:00:50.800 --> 00:00:53.800]  能夠懂得如何去分辨
[00:00:53.800 --> 00:00:55.800]  什麼是我們的枷鎖
[00:00:55.800 --> 00:00:59.800]  什麼可以讓我們得到自由
[00:00:59.800 --> 00:01:03.800]  求你借著我們對你的認識
[00:01:03.800 --> 00:01:06.800]  和你自己的恩典
[00:01:06.800 --> 00:01:13.800]  讓我們更加能夠過一個合乎你心意的生活
[00:01:13.800 --> 00:01:15.800]  我們今天祈禱
[00:01:15.800 --> 00:01:17.800]  是奉耶穌基督的名 阿們
[00:01:17.800 --> 00:01:21.800]  這是一個真實的故事
[00:01:21.800 --> 00:01:23.800]  一對年輕的夫婦
[00:01:23.800 --> 00:01:28.800]  覺得神呼叫他們拋棄在美國舒適的生活和職業
[00:01:28.800 --> 00:01:31.800]  去海外做宣教工作
[00:01:31.800 --> 00:01:34.800]  這對夫婦有一個很古怪的嗜好
[00:01:34.800 --> 00:01:37.800]  我喜歡吃豆腐牛肉飯
[00:01:37.800 --> 00:01:41.800]  這對夫婦喜歡吃Peanut Butter
[00:01:41.800 --> 00:01:44.800]  什麼都要加花生醬
[00:01:44.800 --> 00:01:50.800]  他說有花生醬加在食物里才會有味道
[00:01:50.800 --> 00:01:55.800]  可惜他們侍奉的國家沒有花生出產
[00:01:55.800 --> 00:01:59.800]  Peanut Butter也非常罕有
[00:01:59.800 --> 00:02:01.800]  做於所謂的雜炮
[00:02:01.800 --> 00:02:03.800]  總覺得食物沒有味道
[00:02:03.800 --> 00:02:05.800]  他們熬了一段日子
[00:02:05.800 --> 00:02:07.800]  終於想出了一個方法
