
[00:00:00.000 --> 00:00:07.240]  在這裡再次問大家等一等節目安
[00:00:07.240 --> 00:00:11.080]  來到一年最後一個的主日
[00:00:11.080 --> 00:00:14.680]  我覺得也是一個好的時間
[00:00:14.680 --> 00:00:18.200]  讓我們去總結一下今年的零星
[00:00:18.200 --> 00:00:20.200]  或者我們所面對的挑戰
[00:00:20.200 --> 00:00:23.200]  其實就
[00:00:23.200 --> 00:00:26.200]  我覺得今年過得很快
[00:00:26.200 --> 00:00:32.600]  我還記得昨天才是1月1日的日子
[00:00:32.600 --> 00:00:35.000]  現在很快就一年完結了
[00:00:35.000 --> 00:00:39.000]  但是這一年這麼快過了之後
[00:00:39.000 --> 00:00:44.200]  究竟我們的零星上的追求認識
[00:00:44.200 --> 00:00:48.400]  是有什麼地方的改進呢?
[00:00:48.400 --> 00:00:49.400]  或者進步呢?
[00:00:49.400 --> 00:00:52.400]  或者是需要我們更加花時間去努力呢?
[00:00:52.400 --> 00:00:59.400]  我覺得在年中的時候做一個很好的回顧是一個很好的時間
[00:00:59.400 --> 00:01:06.400]  正如我說的一年到年尾的日子最好有些回顧
[00:01:06.400 --> 00:01:11.400]  不過我的回顧比較遠了一點
[00:01:11.400 --> 00:01:18.400]  因為有時特別在過去三年的疫情之後
[00:01:18.400 --> 00:01:24.400]  我經常有機會回香港探望家人
[00:01:24.400 --> 00:01:29.400]  但是種種原因都未能夠成行
[00:01:29.400 --> 00:01:33.400]  不過在心態上是有很多的預備
[00:01:33.400 --> 00:01:38.400]  其中一樣我覺得自己最虧欠的就是
[00:01:38.400 --> 00:01:42.400]  我爸爸已經很大年紀了
[00:01:42.400 --> 00:01:52.400]  沒有機會和我爸爸做大壽
[00:01:52.400 --> 00:01:55.400]  因為我爸爸今年已經80多歲了
[00:01:55.400 --> 00:01:58.400]  按照他的身份證
[00:01:58.400 --> 00:02:00.400]  你知道他們那時候的年代
[00:02:00.400 --> 00:02:05.400]  身份證的年份是靠估計的
[00:02:05.400 --> 00:02:07.400]  只是上下登記而已
[00:02:07.400 --> 00:02:12.400]  但是回顧我爸爸這麼多年的日子
[00:02:12.400 --> 00:02:14.400]  和我自己和他的交往
[00:02:14.400 --> 00:02:17.400]  其實相處機會不是很多的
[00:02:17.400 --> 00:02:20.400]  可以說我和爸爸
[00:02:20.400 --> 00:02:23.400]  因為我爸爸每天都很早起床
[00:02:23.400 --> 00:02:27.400]  為了辦貨做生意
[00:02:27.400 --> 00:02:30.400]  當我睡了覺的時候
[00:02:30.400 --> 00:02:33.400]  他都還沒有回來
[00:02:33.400 --> 00:02:36.400]  所以這樣的日子相處不是很多
[00:02:36.400 --> 00:02:40.400]  但我發現每次單獨和爸爸相處的時候
[00:02:40.400 --> 00:02:45.400]  都可以在他身上有見聞和學習
[00:02:45.400 --> 00:02:49.400]  其中一樣就是主日崇拜
[00:02:49.400 --> 00:02:53.400]  想起以前的主日和禮拜日是怎樣過的
[00:02:53.400 --> 00:02:57.400]  以前的禮拜日沒有教會
[00:02:57.400 --> 00:03:00.400]  很年輕的時候
[00:03:00.400 --> 00:03:05.400]  多數的活動和見爸爸的時間都是禮拜日
[00:03:05.400 --> 00:03:09.400]  禮拜日他會和我們早上去喝茶
[00:03:09.400 --> 00:03:11.400]  我爸爸每天早上都會去喝茶
