
[00:00:00.000 --> 00:00:02.240]  我們北宣家由七月到九月
[00:00:02.240 --> 00:00:06.400]  是以敬虔生命作為我們的主題
[00:00:06.400 --> 00:00:08.800]  如何活出一個敬虔的生命
[00:00:08.800 --> 00:00:10.600]  今天我們剛才看的聖經
[00:00:10.600 --> 00:00:13.480]  是其中一個很重要的課題和真理
[00:00:13.480 --> 00:00:17.400]  請我們大家打開《路加福音》第六章
[00:00:17.400 --> 00:00:22.200]  在我們唐用聖經1552頁
[00:00:22.200 --> 00:00:29.400]  《路加福音》第六章27至36節
[00:00:30.400 --> 00:00:31.400]  剛才讀的時候
[00:00:31.400 --> 00:00:33.800]  我相信大家都有留意到
[00:00:33.800 --> 00:00:37.000]  也都較為熟悉的一段聖經
[00:00:37.000 --> 00:00:39.600]  在《馬太福音》第五章至第七章
[00:00:39.600 --> 00:00:41.000]  這個登山部分裡
[00:00:41.000 --> 00:00:43.200]  也都有相類似的記載
[00:00:43.200 --> 00:00:46.400]  當然也都有少許不同的重點
[00:00:46.400 --> 00:00:49.800]  如果你是很誠實的留心
[00:00:49.800 --> 00:00:52.400]  剛才我們所讀這段聖經的時候
[00:00:52.400 --> 00:00:55.600]  我想你第一個反應就是很難
[00:00:55.600 --> 00:00:58.400]  很難
[00:00:59.400 --> 00:01:01.400]  有兩個意思
[00:01:01.400 --> 00:01:03.400]  第一 很難做得到
[00:01:03.400 --> 00:01:06.000]  咒助你的 你要祝福他
[00:01:06.000 --> 00:01:09.000]  凌辱你的 你要為他祈禱
[00:01:09.000 --> 00:01:11.000]  借出去的東西
[00:01:11.000 --> 00:01:13.000]  你打算不用還
[00:01:13.000 --> 00:01:16.400]  很難
[00:01:16.400 --> 00:01:18.000]  第二個難當然是
[00:01:18.000 --> 00:01:20.000]  耶穌叫我們這樣做的時候
[00:01:20.000 --> 00:01:22.000]  那如何去解釋呢
[00:01:22.000 --> 00:01:24.000]  就很難解釋
[00:01:24.000 --> 00:01:26.000]  跟也不是 不跟也不聽話
