
[00:00:00.000 --> 00:00:05.240]  早晨各位大英姊妹
[00:00:05.240 --> 00:00:10.680]  現在看下去就好很多了
[00:00:10.680 --> 00:00:13.640]  這邊還有十幾個位
[00:00:13.640 --> 00:00:17.840]  如果下次我們都是先由前面填滿了
[00:00:17.840 --> 00:00:19.520]  然後繼續坐在後面
[00:00:19.520 --> 00:00:22.160]  最後那段時間聽到我說話嗎
[00:00:22.160 --> 00:00:24.160]  清不清楚
[00:00:24.160 --> 00:00:26.160]  行不行
[00:00:26.160 --> 00:00:27.680]  行啊 好
[00:00:27.680 --> 00:00:31.160]  不知道過去十幾天
[00:00:31.160 --> 00:00:34.000]  大家的心情是怎麼樣呢
[00:00:34.000 --> 00:00:38.440]  我們看今天這個《馬太福音》第五章第八節
[00:00:38.440 --> 00:00:40.440]  講到清心
[00:00:40.440 --> 00:00:42.680]  過去一段時間
[00:00:42.680 --> 00:00:45.680]  不知道你聽見香港社會
[00:00:45.680 --> 00:00:47.680]  種種的事件
[00:00:47.680 --> 00:00:51.680]  由這個十三個青年人的事
[00:00:51.680 --> 00:00:54.880]  去到這位林子健的事
[00:00:54.880 --> 00:00:56.400]  等等等等
[00:00:56.400 --> 00:00:58.880]  不知道你的心是怎麼樣
[00:00:58.880 --> 00:01:01.600]  清心的人有福了
[00:01:01.600 --> 00:01:05.000]  因為他們必得見上帝
[00:01:05.000 --> 00:01:08.800]  今天我們回到山上的寶訓
[00:01:08.800 --> 00:01:11.800]  主耶穌說的這個有福的
[00:01:11.800 --> 00:01:13.800]  你說感謝上帝
[00:01:13.800 --> 00:01:15.800]  我的心真的很清
[00:01:15.800 --> 00:01:19.200]  我的心從來都不會受到
[00:01:19.200 --> 00:01:22.200]  任何的事情來搞動
[00:01:22.200 --> 00:01:25.000]  因為清心的人有福了
[00:01:25.000 --> 00:01:27.600]  我們中國人說得最對的
[00:01:27.600 --> 00:01:29.600]  就是不要理那麼多
[00:01:29.600 --> 00:01:32.000]  總之你就清心寡慾
[00:01:32.000 --> 00:01:34.000]  安安樂樂
[00:01:34.000 --> 00:01:35.600]  有飯吃
[00:01:35.600 --> 00:01:38.400]  你這麼多事情做什麼
[00:01:38.400 --> 00:01:40.400]  哪有這麼多的
[00:01:40.400 --> 00:01:42.400]  可能是的
[00:01:42.400 --> 00:01:46.400]  我們真的沒辦法面對著一個
[00:01:46.400 --> 00:01:49.200]  這麼紛擾的世界
[00:01:49.200 --> 00:01:52.200]  裡面這麼多的時光
[00:01:52.200 --> 00:01:56.600]  我們都盼望自己能夠心如止水
[00:01:56.600 --> 00:01:57.880]  能夠好像一個
[00:01:57.880 --> 00:02:00.880]  沉定了的大師一樣
[00:02:00.880 --> 00:02:02.480]  是百毒不侵
[00:02:02.480 --> 00:02:03.880]  是什麼都不管
[00:02:03.880 --> 00:02:04.880]  什麼都不管
[00:02:04.880 --> 00:02:06.280]  什麼都不問
[00:02:06.280 --> 00:02:08.080]  是不問不問
[00:02:08.080 --> 00:02:09.280]  不看見
[00:02:09.280 --> 00:02:11.280]  眼不見為淨
[00:02:11.280 --> 00:02:14.120]  我們多麼清
[00:02:14.120 --> 00:02:16.600]  我覺得有時候我們真的要學習
[00:02:16.600 --> 00:02:18.600]  真的要冷靜
[00:02:18.600 --> 00:02:20.400]  不可以衝動
[00:02:20.400 --> 00:02:22.600]  衝動一定會出事
[00:02:22.600 --> 00:02:25.000]  不過我也想告訴你
[00:02:25.000 --> 00:02:28.800]  當你完全任何應該有的衝動
[00:02:28.800 --> 00:02:30.000]  都沒有的時候
[00:02:30.000 --> 00:02:33.000]  你是不能動的時候
[00:02:33.000 --> 00:02:34.600]  那就更令人害怕
[00:02:34.600 --> 00:02:36.600]  全部都冰封了
[00:02:36.600 --> 00:02:38.400]  好像冷漠了
[00:02:38.400 --> 00:02:43.200]  甚至好像是死直一片
[00:02:43.200 --> 00:02:45.200]  有些人說
[00:02:45.200 --> 00:02:50.000]  這城市已死
[00:02:50.000 --> 00:02:52.400]  我想如果我們的心是死了
[00:02:52.400 --> 00:02:54.000]  我們的心對所有事情
[00:02:54.000 --> 00:02:57.200]  都已經沒有任何反應
[00:02:57.200 --> 00:03:00.000]  那或者那個城市真的死
[00:03:00.000 --> 00:03:01.200]  那個教會真的死
[00:03:01.200 --> 00:03:02.800]  但是我不相信
[00:03:02.800 --> 00:03:05.400]  我相信上帝在任何的世代
[00:03:05.400 --> 00:03:07.600]  總為他自己留下7000位
[00:03:07.600 --> 00:03:09.800]  未向巴力骨塞的人
[00:03:09.800 --> 00:03:11.800]  總是有人不死
[00:03:11.800 --> 00:03:15.200]  總是有人的心是會活著的
[00:03:15.200 --> 00:03:18.000]  其實我們除了要思想
[00:03:18.000 --> 00:03:20.400]  我們在自己的文化裡面
[00:03:20.400 --> 00:03:22.800]  如何理解清心
[00:03:22.800 --> 00:03:24.400]  我們更加重要的是
[00:03:24.400 --> 00:03:26.600]  回去經文裡面
[00:03:26.600 --> 00:03:29.200]  講聖經不可以講自己的東西
[00:03:29.200 --> 00:03:31.000]  讀聖經也不可以讀自己
[00:03:31.000 --> 00:03:33.200]  想讀的東西讀進去的
[00:03:33.200 --> 00:03:36.600]  一定要讓經文說出來
[00:03:36.600 --> 00:03:37.600]  所以我站在這一處
[00:03:37.600 --> 00:03:38.600]  如果我說錯了
[00:03:38.600 --> 00:03:40.200]  你可以回答我
[00:03:40.200 --> 00:03:41.800]  你可以反對
[00:03:41.800 --> 00:03:43.000]  但是如果說的
[00:03:43.000 --> 00:03:45.800]  真的是在聖經裡面表達出來的話
[00:03:45.800 --> 00:03:50.600]  那我們就一起調教我們的心
[00:03:50.600 --> 00:03:53.200]  今天的心是極之重要的
[00:03:53.200 --> 00:03:54.400]  今天的心
[00:03:54.400 --> 00:03:55.800]  其實歷世歷代
[00:03:55.800 --> 00:03:57.000]  一場的爭戰
[00:03:57.000 --> 00:03:59.600]  都是心的爭奪戰
[00:03:59.600 --> 00:04:01.800]  什麼叫做清心
[00:04:01.800 --> 00:04:03.400]  或者最簡單的
[00:04:03.400 --> 00:04:04.800]  最安全的
[00:04:04.800 --> 00:04:06.800]  主要是你在講什麼
[00:04:06.800 --> 00:04:08.400]  主要是你是誰
[00:04:08.400 --> 00:04:09.800]  主要是你在這個山上
[00:04:09.800 --> 00:04:11.000]  你對著群眾的時候
[00:04:11.000 --> 00:04:12.200]  向他們所宣告的
[00:04:12.200 --> 00:04:14.600]  你今天想向我們香港這個城市的人
[00:04:14.600 --> 00:04:16.000]  來講說話的主要
