
[00:00:00.000 --> 00:00:08.640]  多謝楊姨為我們讀出那篇我們應該不認識的文章
[00:00:08.640 --> 00:00:11.440]  大家知不知道楊姨懂什麼?
[00:00:11.440 --> 00:00:14.240]  我也不知道 楊姨可不可以解釋一下?
[00:00:14.240 --> 00:00:21.840]  「父愛如山 高大偉傲」
[00:00:21.840 --> 00:00:26.080]  今天我老婆不在 她在網上
[00:00:26.080 --> 00:00:33.120]  「父愛如天 粗獷深遠 父愛如河 細水長流」
[00:00:33.120 --> 00:00:36.400]  祝父親節快樂 我們給楊姨掌聲
[00:00:36.400 --> 00:00:38.960]  剛才在廚房的姐妹說
[00:00:38.960 --> 00:00:43.360]  女傳道我們沒有偏心 我們一樣做得很多東西吃
[00:00:43.360 --> 00:00:48.480]  但我看待會你吃的陣容是很偏心父親節
[00:00:48.480 --> 00:00:55.360]  第一有布甸 自己親手做了100個
[00:00:55.360 --> 00:00:58.960]  還有鹹的粽 甜的粽
[00:00:58.960 --> 00:01:05.600]  還有兩款葡萄籽 還有西瓜 還有蛋散
[00:01:05.600 --> 00:01:08.480]  還有我們預備了 因為吃粽有些人喜歡加糖
[00:01:08.480 --> 00:01:10.480]  有些人喜歡用Maple Syrup
[00:01:10.480 --> 00:01:13.760]  他們就預備了很多不同的配料給大家選擇
[00:01:13.760 --> 00:01:18.000]  所以對不起母親 我們是偏心父親節
[00:01:18.000 --> 00:01:20.000]  我們給父親掌聲好嗎?
[00:01:20.000 --> 00:01:24.720]  也很大力給掌聲 在廚房很辛勞的弟兄姐妹
[00:01:24.720 --> 00:01:26.720]  他們真的做了很多東西
[00:01:26.720 --> 00:01:30.480]  今天應該有七八十人 大家一定夠吃的
[00:01:30.480 --> 00:01:34.000]  剩下的粽和布甸我們可以二賣
[00:01:34.000 --> 00:01:37.840]  Ivan汁師為建堂籌款
[00:01:37.840 --> 00:01:42.800]  一隻好像三元 兩隻六元
[00:01:42.800 --> 00:01:46.240]  說笑而已 五元 便宜給你們
[00:01:46.240 --> 00:01:48.240]  兩隻五元
