
[00:00:00.000 --> 00:00:07.480]  在御神同行上、普世猜拳上
[00:00:07.480 --> 00:00:12.600]  这三方面成为了一个属灵的传统
[00:00:12.600 --> 00:00:16.960]  虽然宣讯他这一生很平凡
[00:00:16.960 --> 00:00:22.560]  但他所做的事在每一个危机当中
[00:00:22.560 --> 00:00:24.560]  或者困境当中
[00:00:24.560 --> 00:00:28.080]  他一直要问这是否上帝的心意
[00:00:28.080 --> 00:00:32.560]  究竟这样做上帝是否跟他一起去成就
[00:00:32.560 --> 00:00:37.080]  只是这一点我觉得作为一个基督徒
[00:00:37.080 --> 00:00:39.080]  是值得去学习的
[00:00:39.080 --> 00:00:42.080]  我们看看他的生平
[00:00:42.080 --> 00:00:48.080]  他的生平其实跟普通牧师的生平没有什么分别
[00:00:48.080 --> 00:00:54.080]  他没有什么特殊的经历或者很特殊的东西
[00:00:54.080 --> 00:00:56.080]  他是加拿大人
[00:00:56.080 --> 00:00:59.080]  宣讯是英国移民
[00:00:59.080 --> 00:01:01.080]  是苏格兰移民
[00:01:01.080 --> 00:01:06.080]  所以他在苏格兰长大
[00:01:06.080 --> 00:01:12.080]  他住在1843到1919年
[00:01:12.080 --> 00:01:18.080]  他出生在加拿大最东边的一个岛
[00:01:18.080 --> 00:01:21.080]  叫爱德华王子岛
[00:01:21.080 --> 00:01:30.080]  他父母是很热心的长老会的会友
[00:01:30.080 --> 00:01:34.080]  他父母对儿女的教导很严格
[00:01:34.080 --> 00:01:37.080]  为什么严格呢?
[00:01:37.080 --> 00:01:42.080]  因为他父亲发现他儿女不去读圣经
[00:01:42.080 --> 00:01:44.080]  就会打他
[00:01:44.080 --> 00:01:46.080]  今天我们不会打新闻仔
[00:01:46.080 --> 00:01:53.080]  所以他父亲就大声读圣经
[00:01:53.080 --> 00:01:57.080]  他父亲就说今天就读圣经
[00:01:57.080 --> 00:01:59.080]  由于他父母这么严厉
[00:01:59.080 --> 00:02:03.080]  所以他至少有很好的基督教教育
[00:02:03.080 --> 00:02:07.080]  虽然他跟努德的经历很相似
[00:02:07.080 --> 00:02:09.080]  努德的父亲很严格
[00:02:09.080 --> 00:02:11.080]  又打得很厉害
[00:02:11.080 --> 00:02:16.080]  这么严格的教育未必能让他认识上帝
[00:02:16.080 --> 00:02:19.080]  正如他在这么严格的教育里
[00:02:19.080 --> 00:02:22.080]  他一直不明白什么是救恩
[00:02:22.080 --> 00:02:26.080]  他只是祈祷读经为了满足父亲的需要
[00:02:26.080 --> 00:02:31.080]  直到有一次在看书之前
[00:02:31.080 --> 00:02:38.080]  他曾经试过掉进水里淹死
[00:02:38.080 --> 00:02:42.080]  那次经历就像淹死一样
[00:02:42.080 --> 00:02:44.080]  他就问他死了去哪里
[00:02:44.080 --> 00:02:46.080]  当时他很害怕
[00:02:46.080 --> 00:02:48.080]  后来他被救回来
[00:02:48.080 --> 00:02:53.080]  他问他如果今天死了去哪里
[00:02:53.080 --> 00:02:56.080]  他在这种困扰下
[00:02:56.080 --> 00:02:58.080]  直到他十多岁
[00:02:58.080 --> 00:03:00.080]  有一次他看了一本书
[00:03:00.080 --> 00:03:02.080]  这本书叫《成圣的奥秘》
[00:03:02.080 --> 00:03:06.080]  这本书是一本很简单的书
[00:03:06.080 --> 00:03:09.080]  这本书在阿卡尔也有
[00:03:09.080 --> 00:03:13.080]  我在加拿大的时候
[00:03:13.080 --> 00:03:16.080]  我在宣道会的大学里面教书
[00:03:16.080 --> 00:03:18.080]  那里有阿卡尔
[00:03:18.080 --> 00:03:20.080]  阿卡尔就是收藏的古董
[00:03:20.080 --> 00:03:22.080]  将宣讯以前看过的东西
[00:03:22.080 --> 00:03:24.080]  做过的东西
[00:03:24.080 --> 00:03:26.080]  书信的东西全部收集了
[00:03:26.080 --> 00:03:28.080]  这本书很看的
[00:03:28.080 --> 00:03:29.080]  很简单
[00:03:29.080 --> 00:03:30.080]  但这本书是很简单的
[00:03:30.080 --> 00:03:31.080]  这本书就说
[00:03:31.080 --> 00:03:34.080]  怎么得救
[00:03:34.080 --> 00:03:35.080]  不是你读经
[00:03:35.080 --> 00:03:37.080]  不是你读圣经大声
[00:03:37.080 --> 00:03:39.080]  不是你祈祷大声
[00:03:39.080 --> 00:03:42.080]  就是信耶稣
[00:03:42.080 --> 00:03:45.080]  改变了他以为用自己的方法
[00:03:45.080 --> 00:03:48.080]  来取悦上帝
[00:03:48.080 --> 00:03:50.080]  单信耶稣
[00:03:50.080 --> 00:03:52.080]  看了这本书之后
[00:03:52.080 --> 00:03:54.080]  这本书其中有句话
[00:03:54.080 --> 00:03:56.080]  只相信他就有永生
[00:03:56.080 --> 00:03:58.080]  就得赦罪和清怡
[00:03:58.080 --> 00:03:59.080]  还有一个新的心
[00:03:59.080 --> 00:04:01.080]  有圣灵住在你的心里
[00:04:01.080 --> 00:04:04.080]  他的经历和路德是很相似
[00:04:04.080 --> 00:04:06.080]  路德也是一直问
[00:04:06.080 --> 00:04:08.080]  怎么得到上帝喜悦
[00:04:08.080 --> 00:04:10.080]  又鞭打自己的性命
[00:04:10.080 --> 00:04:12.080]  路德当时已经在读神学
[00:04:12.080 --> 00:04:13.080]  已经在神学院里
[00:04:13.080 --> 00:04:15.080]  直到路德认识
[00:04:15.080 --> 00:04:18.080]  单信耶稣
[00:04:18.080 --> 00:04:20.080]  原来很多人
[00:04:20.080 --> 00:04:22.080]  都是想着用这个方法
[00:04:22.080 --> 00:04:24.080]  正正圣灵就说不是
[00:04:24.080 --> 00:04:26.080]  单单靠主
[00:04:26.080 --> 00:04:28.080]  不要靠自己
[00:04:28.080 --> 00:04:31.080]  他奉献
[00:04:31.080 --> 00:04:34.080]  1861年他决心奉献
[00:04:34.080 --> 00:04:37.080]  奉献他去了多伦多
[00:04:37.080 --> 00:04:39.080]  最有名的神学院
[00:04:39.080 --> 00:04:41.080]  叫洛克斯神学院读书
[00:04:41.080 --> 00:04:43.080]  这间是长老会
[00:04:43.080 --> 00:04:45.080]  在加拿大最大的神学院
[00:04:45.080 --> 00:04:47.080]  毕业之后
[00:04:47.080 --> 00:04:49.080]  他读书的时候
[00:04:49.080 --> 00:04:51.080]  他当时很穷
[00:04:51.080 --> 00:04:55.080]  他就要靠一些收入来维持学费
[00:04:55.080 --> 00:04:57.080]  靠什么呢
[00:04:57.080 --> 00:04:59.080]  他靠写稿
[00:04:59.080 --> 00:05:05.080]  还有他要拿奖
[00:05:05.080 --> 00:05:07.080]  他在学校里
[00:05:07.080 --> 00:05:09.080]  登了文章
[00:05:09.080 --> 00:05:11.080]  拿奖
[00:05:11.080 --> 00:05:13.080]  结果他拿了几个奖
[00:05:13.080 --> 00:05:15.080]  那几个奖的钱
[00:05:15.080 --> 00:05:19.080]  刚好够他去读神学
[00:05:19.080 --> 00:05:21.080]  其中一篇文
[00:05:21.080 --> 00:05:23.080]  就是说加尔文
[00:05:23.080 --> 00:05:25.080]  有关洗礼
[00:05:25.080 --> 00:05:27.080]  英系洗礼和圣餐
[00:05:27.080 --> 00:05:29.080]  还有其他文
[00:05:29.080 --> 00:05:31.080]  他毕业之后
[00:05:31.080 --> 00:05:33.080]  因为他成绩非常好
[00:05:33.080 --> 00:05:35.080]  他就去了当时
[00:05:35.080 --> 00:05:39.080]  在多伦多西边的哈莫顿
[00:05:39.080 --> 00:05:41.080]  现在就是一个工业城市
