
[00:00:00.000 --> 00:00:06.680]  各位姐妹今天我很想和大家思想關於聖靈
[00:00:06.680 --> 00:00:09.000]  聖靈的來臨
[00:00:09.000 --> 00:00:13.480]  我們上一個星期是復活節
[00:00:13.480 --> 00:00:17.160]  復活節之前的幾天我們是壽苦節
[00:00:17.160 --> 00:00:18.520]  我們很感謝主
[00:00:18.520 --> 00:00:20.840]  我們雖然沒有辦法大家走在一起
[00:00:20.840 --> 00:00:22.480]  來到一起崇拜
[00:00:22.480 --> 00:00:25.000]  但是我們透過網上
[00:00:25.000 --> 00:00:29.080]  我們可以一起去默想壽苦節
[00:00:29.080 --> 00:00:32.160]  我們感謝廖牧師給我們很好的訊息
[00:00:32.160 --> 00:00:33.960]  我們又在星期日
[00:00:33.960 --> 00:00:37.200]  我們可以透過網上我們一起敬拜
[00:00:37.200 --> 00:00:42.120]  我們一起去慶賀我們耶穌基督的復活節
[00:00:42.120 --> 00:00:45.280]  所以復活節壽苦節之後
[00:00:45.280 --> 00:00:47.680]  我今天心裏有一個負擔
[00:00:47.680 --> 00:00:52.160]  很想和大家講聖靈的降臨
[00:00:52.160 --> 00:00:55.320]  因為按照著我們看見
[00:00:55.320 --> 00:00:58.080]  聖經裏面所記載和我們現在
[00:00:58.080 --> 00:00:59.920]  其實我們每一個教會
[00:00:59.920 --> 00:01:04.880]  都是向著這段日子所發生的事情的時候
[00:01:04.880 --> 00:01:09.680]  我們不能夠不繼續說聖靈的來臨這件事
[00:01:09.680 --> 00:01:13.960]  我這裡不是想和大家說一下我們的節日
[00:01:13.960 --> 00:01:16.200]  不是我們教會有很多節日
[00:01:16.200 --> 00:01:18.400]  我們按照每個節日來說一下
[00:01:18.400 --> 00:01:20.960]  好像題目很容易辦
[00:01:20.960 --> 00:01:21.560]  不是
[00:01:21.560 --> 00:01:25.120]  是我心裏有一個很深的感動
[00:01:25.120 --> 00:01:28.520]  我今天很想和大家講聖靈的來臨
[00:01:28.520 --> 00:01:31.680]  大家知道聖經告訴我們很清楚
[00:01:31.680 --> 00:01:35.520]  主耶穌基督復活之後有40天之久
[00:01:35.520 --> 00:01:38.320]  祂不是躲起來
