
[00:00:00.000 --> 00:00:05.960]  好 第一次每樣我們在聆聽主的說話
[00:00:05.960 --> 00:00:08.760]  而先讓我們再次透過禱告
[00:00:08.760 --> 00:00:13.040]  來將我們的心思意念交給主我們的神
[00:00:13.040 --> 00:00:19.400]  父神多謝祢讓我們再次回到祢的啟示裏面
[00:00:19.400 --> 00:00:21.880]  藉著祢獨人俄巴底亞
[00:00:21.880 --> 00:00:29.000]  將上主的心思能夠盡在祂的文字裏面
[00:00:29.000 --> 00:00:35.840]  將祂剖白給我們後世每一個跟從上帝祢的子民知道
[00:00:35.840 --> 00:00:39.560]  多謝祢讓我們在這些經文裏面
[00:00:39.560 --> 00:00:45.240]  能夠看到上帝祢對我們的關懷和那份愛
[00:00:45.240 --> 00:00:51.360]  亦都怎樣去讓祢的愛與義之間一同去運作
[00:00:51.360 --> 00:00:57.640]  使我們成為一個配在天國裏面作神子民的生命
[00:00:57.640 --> 00:01:01.040]  能夠從今天開始被塑造出來
[00:01:01.040 --> 00:01:03.320]  求祢的幫助帶領
[00:01:03.320 --> 00:01:07.960]  無論在線上線下的每一個屬祢的子民
[00:01:07.960 --> 00:01:12.000]  我們都能夠一同在崇拜裏面
[00:01:12.000 --> 00:01:16.080]  不單止透過勾歌頌讚去明白祢的心思
[00:01:16.080 --> 00:01:18.640]  亦都透過直接祢的啟示
[00:01:18.640 --> 00:01:24.040]  讓我們能夠知道怎樣在我們今天每一時每一刻的當中
[00:01:24.040 --> 00:01:29.240]  能夠作出一個與我們所信相稱的屬靈生命
[00:01:29.240 --> 00:01:33.320]  禱告奉靠主耶穌基督得聖名自而求
[00:01:33.320 --> 00:01:34.320]  阿們
[00:01:34.320 --> 00:01:38.960]  廣東話裏面有一句俗語
[00:01:38.960 --> 00:01:43.120]  叫做手指咬出不咬入
[00:01:43.120 --> 00:01:46.280]  主要是用來形容一個人
[00:01:46.280 --> 00:01:50.760]  當他自己被一些外面的人
[00:01:50.760 --> 00:01:53.400]  不屬於自己家裏的人
[00:01:53.400 --> 00:01:55.600]  去欺負的時候
[00:01:55.600 --> 00:01:58.200]  無理對待的時候
[00:01:58.200 --> 00:02:01.120]  他回到去和他家人分享
[00:02:01.120 --> 00:02:05.160]  甚至他家人同處一時之後
[00:02:05.160 --> 00:02:11.080]  反而他家人不去為他據理極憎
[00:02:11.080 --> 00:02:13.000]  而是怎樣呢
[00:02:13.000 --> 00:02:17.760]  好像表現出自己好像很公平的表現
[00:02:17.760 --> 00:02:22.480]  不單止不去幫助自己的家人
[00:02:22.480 --> 00:02:26.040]  反而還要脅著自己家人
[00:02:26.040 --> 00:02:33.240]  憑藉著其他的外面欺負自己家人的人的勢力
[00:02:33.240 --> 00:02:39.000]  來一同去欺壓自己的家人
[00:02:39.000 --> 00:02:42.200]  為甚麼會有這種情況呢
[00:02:42.200 --> 00:02:45.280]  人性為甚麼會這樣呢
[00:02:45.280 --> 00:02:49.280]  為甚麼會手指咬出不咬入呢
[00:02:49.280 --> 00:02:57.080]  主要的原因是原來在人的生命裏面有一份罪
[00:02:57.080 --> 00:03:00.680]  這份罪叫做自義
[00:03:00.680 --> 00:03:03.760]  Self-righteousness
[00:03:03.760 --> 00:03:07.920]  他要在眾人的面前
[00:03:07.920 --> 00:03:12.960]  表現出自己好像比其他人特別公義
[00:03:12.960 --> 00:03:17.840]  他就看到就算自己家人被欺負
[00:03:17.840 --> 00:03:23.640]  他就表現出好像自己鐵面巫師一樣
[00:03:23.640 --> 00:03:28.800]  是利用一種出賣家人
[00:03:28.800 --> 00:03:33.640]  來讓自己在群眾當中
[00:03:33.640 --> 00:03:40.400]  包裝出一個被人高高在上的道德表現
[00:03:40.400 --> 00:03:42.880]  但是這種表現
[00:03:42.880 --> 00:03:49.600]  是否最終真的能夠幫助他賺取到他所預期在眾人面前
[00:03:49.600 --> 00:03:57.120]  那份所謂好像德高望重或者公平巫師的一個身份呢
[00:03:57.120 --> 00:04:06.040]  還是反而被其他人看得到這個人真正醜惡的一面呢
[00:04:06.040 --> 00:04:10.200]  今天我們就來看這個題目
[00:04:10.200 --> 00:04:13.120]  一起透過俄巴底亞書
[00:04:13.120 --> 00:04:17.280]  從第十一節這節的經文裏面
[00:04:17.280 --> 00:04:22.440]  我們去看一下一個袖手旁觀的人
[00:04:22.440 --> 00:04:27.320]  怎樣在這個世界去打滾的同時
[00:04:27.320 --> 00:04:29.840]  其實他的醜惡
[00:04:29.840 --> 00:04:35.760]  不但不能夠為他自己包裝得好像在道德高地上很清高
[00:04:35.760 --> 00:04:40.160]  反而被人看見他和他們同流合污
[00:04:40.160 --> 00:04:42.680]  都是一樣這麼骯髒的人
[00:04:42.680 --> 00:04:45.280]  所以我希望透過這段聖經
[00:04:45.280 --> 00:04:47.200]  能夠幫助大家去看一下
[00:04:47.200 --> 00:04:51.280]  進一步透過俄巴底亞這位先知
[00:04:51.280 --> 00:04:53.880]  去記述耶和華臣
[00:04:53.880 --> 00:04:59.760]  向著當時欺負他的近親倫邦
[00:04:59.760 --> 00:05:01.160]  這個以東國
[00:05:01.160 --> 00:05:04.720]  怎樣欺負猶大國的子民
[00:05:04.720 --> 00:05:09.800]  從而在當中以為怎樣將自己包裝得漂亮
[00:05:09.800 --> 00:05:12.840]  結果原來是被人恥笑
[00:05:12.840 --> 00:05:18.280]  讓我們再次一起去打翻開俄巴底亞書第十一節
[00:05:18.280 --> 00:05:22.040]  讓我們一起去讀一下這節的經文
[00:05:22.040 --> 00:05:24.960]  請大家留意
[00:05:24.960 --> 00:05:27.400]  但凡我們去讀這些經文的時候
[00:05:27.400 --> 00:05:30.200]  尤其是舊約聖經
[00:05:30.200 --> 00:05:31.360]  我們要留心
[00:05:31.360 --> 00:05:34.640]  很多時候舊約聖經的翻譯
[00:05:34.640 --> 00:05:39.960]  因為有很多地方是翻譯的翻譯者
[00:05:39.960 --> 00:05:44.760]  未必能夠將它全部翻譯出來
[00:05:44.760 --> 00:05:46.160]  不過我們先看一下
[00:05:46.160 --> 00:05:49.040]  我們和合本是怎樣翻譯出來的
[00:05:49.040 --> 00:05:51.920]  所以之後我們就學一下
[00:05:51.920 --> 00:05:56.000]  怎樣去更準確了解聖經的體現
[00:05:56.000 --> 00:05:57.040]  好 請大家等一會
[00:05:57.040 --> 00:06:00.640]  我們一起打開俄巴底亞書第十一節
[00:06:00.640 --> 00:06:02.120]  我們一起去讀一下
[00:06:04.240 --> 00:06:09.440]  當外人擄掠瓦國的財物
[00:06:09.440 --> 00:06:13.320]  外邦人進入他的城門
[00:06:13.320 --> 00:06:18.040]  為耶和華冷尖轟的日子
[00:06:18.040 --> 00:06:20.800]  李景站在一旁
[00:06:20.800 --> 00:06:24.480]  仗羽他們同火
[00:06:24.480 --> 00:06:26.800]  讓我和大家多讀一個版本
[00:06:26.800 --> 00:06:30.320]  New English Translation
[00:06:30.320 --> 00:06:36.800]  You stood alone while strangers took his army captive
[00:06:36.800 --> 00:06:41.440]  and foreigners advanced to his gates
[00:06:41.440 --> 00:06:45.560]  When they cast lots over Jerusalem
[00:06:45.560 --> 00:06:51.840]  you behaved as though you were in league with them
[00:06:51.840 --> 00:06:56.480]  這個是New English Translation的版本
[00:06:56.480 --> 00:06:58.480]  我想多讀一個版本
[00:06:58.480 --> 00:07:04.600]  這個版本叫做New Revised Standard Version
[00:07:04.600 --> 00:07:08.800]  On that day that you stood aside
[00:07:08.800 --> 00:07:14.640]  On that day that strangers carried off his wealth
[00:07:14.640 --> 00:07:18.960]  and foreigners entered his gates
[00:07:18.960 --> 00:07:22.160]  and cast lots for Jerusalem
[00:07:22.160 --> 00:07:26.880]  you two were like one of them
[00:07:26.880 --> 00:07:29.120]  經文讀完了
[00:07:29.120 --> 00:07:33.400]  怎樣去詮釋這段聖經呢
[00:07:33.400 --> 00:07:35.000]  首先我們先看上文
[00:07:35.000 --> 00:07:37.680]  上文我們說過些什麼呢
[00:07:37.680 --> 00:07:39.680]  上文我們說過
[00:07:39.680 --> 00:07:44.680]  以東人最後自招自己的徹底摧毀
[00:07:44.680 --> 00:07:50.240]  其實是因為他們沒有正面地去處理
[00:07:50.240 --> 00:07:54.280]  面對他們自己本身的罪性
