
[00:00:00.000 --> 00:00:05.300]  大胃轉的第十四講
[00:00:05.300 --> 00:00:08.320]  今天我們要講撒慕爾夏的第七章
[00:00:08.320 --> 00:00:12.520]  是非常重要的一章經文
[00:00:12.520 --> 00:00:14.840]  是講到大胃之若
[00:00:14.840 --> 00:00:18.040]  大胃之若是非常非常重要
[00:00:18.040 --> 00:00:22.520]  不單止是對於昔日的以色列人重要
[00:00:22.520 --> 00:00:25.040]  對今時今日的以色列
[00:00:25.040 --> 00:00:28.320]  對基督徒同樣是很重要
[00:00:28.320 --> 00:00:31.600]  我們等下會講大胃之若
[00:00:31.600 --> 00:00:36.440]  我們上次講到大胃統一以色列國後
[00:00:36.440 --> 00:00:38.160]  做了三件事
[00:00:38.160 --> 00:00:41.320]  第一件事就是征服耶布斯人
[00:00:41.320 --> 00:00:43.920]  收服耶路撒冷
[00:00:43.920 --> 00:00:47.360]  將耶路撒冷變成大胃之城
[00:00:47.360 --> 00:00:49.360]  變成首都
[00:00:49.360 --> 00:00:52.960]  第二件事是戰勝了斐理士人
[00:00:52.960 --> 00:00:54.760]  以色列人的宿敵
[00:00:54.760 --> 00:00:56.920]  第三件事是
[00:00:56.920 --> 00:01:00.240]  將約會搬回耶路撒冷
[00:01:00.240 --> 00:01:02.240]  放在帳篷里
[00:01:02.240 --> 00:01:06.280]  現在他希望為神來建聖殿
[00:01:06.280 --> 00:01:08.520]  今天經文非常重要
[00:01:08.520 --> 00:01:10.520]  撒慕爾夏的第七章
[00:01:10.520 --> 00:01:13.960]  被神學家認為是大胃之若
[00:01:13.960 --> 00:01:15.960]  大胃之若的內容
[00:01:15.960 --> 00:01:20.040]  在聖經在舊約出現不下於四十次
[00:01:20.040 --> 00:01:22.760]  例如在詩篇的八十九篇
[00:01:22.760 --> 00:01:24.760]  是一個很好的例子
[00:01:24.760 --> 00:01:30.000]  今天經文講到大胃希望為神來建聖殿
[00:01:30.000 --> 00:01:32.960]  神說你不要為我建聖殿
[00:01:32.960 --> 00:01:35.520]  不如我為你來建家室
[00:01:35.520 --> 00:01:38.000]  我為你來建一個王朝
[00:01:38.000 --> 00:01:40.000]  一個永遠的王朝
[00:01:40.000 --> 00:01:43.280]  這個令大胃非常驚訝
[00:01:43.280 --> 00:01:45.280]  等下我們會見到
[00:01:45.280 --> 00:01:47.280]  經文一開始
[00:01:47.280 --> 00:01:50.280]  在撒慕爾夏的第七章第一節
[00:01:50.280 --> 00:01:51.280]  經文說
[00:01:51.280 --> 00:01:53.760]  王住在自己的宮中
[00:01:53.760 --> 00:01:55.760]  耶和華使他安靜
[00:01:55.760 --> 00:01:58.760]  不被四周的仇敵擾亂
[00:01:58.760 --> 00:02:03.760]  在撒慕爾夏的第七章所發生的事
[00:02:03.760 --> 00:02:07.760]  應該是大胃成為以色列王之後
[00:02:07.760 --> 00:02:11.760]  接近他後期的統治才發生
[00:02:11.760 --> 00:02:14.760]  但是撒慕爾夏的作者
[00:02:14.760 --> 00:02:17.760]  將他放在撒慕爾夏的第七章
[00:02:17.760 --> 00:02:18.760]  為什麼呢?
[00:02:18.760 --> 00:02:21.760]  因為大胃剛剛在第六章
[00:02:21.760 --> 00:02:24.760]  用藥櫃搬回耶路撒冷
[00:02:24.760 --> 00:02:25.760]  所以作者認為
[00:02:25.760 --> 00:02:29.760]  這個時候擺這些經文是最合適的
[00:02:29.760 --> 00:02:31.760]  如果我們記得的話
[00:02:31.760 --> 00:02:34.760]  在新明記的十二章第十至十一節
[00:02:34.760 --> 00:02:36.760]  神曾經預言
[00:02:36.760 --> 00:02:42.760]  「但你們過了若但何得以住在耶和華
[00:02:42.760 --> 00:02:45.760]  你們神使你們承受圍壓之地
[00:02:45.760 --> 00:02:47.760]  又使你們太平
[00:02:47.760 --> 00:02:50.760]  不被四周的一切仇敵擾亂
[00:02:50.760 --> 00:02:52.760]  安然居住
[00:02:52.760 --> 00:02:55.760]  那時要將我所吩咐你們的凡制
[00:02:55.760 --> 00:02:56.760]  平安制
[00:02:56.760 --> 00:02:58.760]  十分之一之物
[00:02:58.760 --> 00:03:01.760]  和手中的舉制
[00:03:01.760 --> 00:03:04.760]  並向耶和華許願獻的一切美祭
[00:03:04.760 --> 00:03:09.760]  都奉到耶和華你們的神所揀選
[00:03:09.760 --> 00:03:12.760]  要立為他名的居所」
[00:03:12.760 --> 00:03:13.760]  有沒有看到
[00:03:13.760 --> 00:03:17.760]  神說當你們得到暫時的太平
[00:03:17.760 --> 00:03:19.760]  暫時的安定的時候
[00:03:19.760 --> 00:03:20.760]  你們要怎麼辦
[00:03:20.760 --> 00:03:22.760]  要獻祭給我
[00:03:22.760 --> 00:03:24.760]  所以大衛就想到
[00:03:24.760 --> 00:03:29.760]  他要為神建一座聖殿來獻祭給神
[00:03:29.760 --> 00:03:31.760]  在古代
[00:03:31.760 --> 00:03:34.760]  當皇上沒有仗打了
[00:03:34.760 --> 00:03:35.760]  沒有事做
[00:03:35.760 --> 00:03:37.760]  他們會做什麼呢
[00:03:37.760 --> 00:03:38.760]  我們看看
[00:03:38.760 --> 00:03:41.760]  一代梟雄尼布格尼撒
[00:03:41.760 --> 00:03:44.760]  巴比倫王會怎麼辦
[00:03:44.760 --> 00:03:47.760]  「尤恨在自己的城中誇口說
[00:03:47.760 --> 00:03:51.760]  這大巴比倫不是我用大能大力建為京都
[00:03:51.760 --> 00:03:55.760]  要顯我威嚴的榮耀嗎」
[00:03:55.760 --> 00:03:59.760]  在但爾利書的四章三十節
[00:03:59.760 --> 00:04:02.760]  巴比倫王他沒有事做的時候
[00:04:02.760 --> 00:04:04.760]  他要顯自己的榮耀
[00:04:04.760 --> 00:04:06.760]  自己的尊嚴
[00:04:06.760 --> 00:04:08.760]  所羅門呢
[00:04:08.760 --> 00:04:11.760]  當他休閒的時候
[00:04:11.760 --> 00:04:12.760]  他收集財富
[00:04:12.760 --> 00:04:15.760]  為自己家庭非邊
[00:04:15.760 --> 00:04:18.760]  招待外國的賓客
[00:04:18.760 --> 00:04:19.760]  他還寫書
[00:04:19.760 --> 00:04:23.760]  寫了《雅歌》、《針研》和《傳道書》
[00:04:23.760 --> 00:04:25.760]  但是大衛呢
[00:04:25.760 --> 00:04:28.760]  在撒姆爾夏的七章一至三節
[00:04:28.760 --> 00:04:29.760]  我們可以看到
[00:04:29.760 --> 00:04:31.760]  當他休閒的時候
[00:04:31.760 --> 00:04:32.760]  他就想起神
[00:04:32.760 --> 00:04:37.760]  他記得神的話與生命記的十二章十一節
[00:04:37.760 --> 00:04:39.760]  當他有暫時的太平
[00:04:39.760 --> 00:04:42.760]  他要獻一切的美祭給神
[00:04:42.760 --> 00:04:45.760]  這一直是大衛的心願
[00:04:45.760 --> 00:04:47.760]  要建成聖殿給神
[00:04:47.760 --> 00:04:49.760]  試問一下我們基督徒
[00:04:49.760 --> 00:04:51.760]  當我們休閒的時候
[00:04:51.760 --> 00:04:53.760]  我們做什麼呢
[00:04:53.760 --> 00:04:54.760]  很不幸
[00:04:54.760 --> 00:04:57.760]  我們休閒的時候就忘記了神
[00:04:57.760 --> 00:04:59.760]  掛著自己的享樂
[00:04:59.760 --> 00:05:00.760]  做自己的事
[00:05:00.760 --> 00:05:03.760]  忘記了做神的事工
[00:05:03.760 --> 00:05:07.760]  忘記了為神來做工
[00:05:07.760 --> 00:05:10.760]  以色列人也是另外一個例子
