
[00:00:00.000 --> 00:00:08.000]  在今天我們很珍惜我們的情誼
[00:00:08.000 --> 00:00:12.000]  很多事情似乎很脆弱
[00:00:12.000 --> 00:00:17.000]  日本人有句話我很喜歡叫做「一期一回」
[00:00:17.000 --> 00:00:21.000]  人的一生可能見一次面
[00:00:21.000 --> 00:00:24.000]  所以他們很珍惜那一次的相遇
[00:00:24.000 --> 00:00:29.000]  能夠每年有機會來潘福堂和大家分享
[00:00:29.000 --> 00:00:35.000]  都是我很珍惜很重視的機會
[00:00:35.000 --> 00:00:42.000]  在南美洲阿根廷首都布宜諾斯艾利斯
[00:00:42.000 --> 00:00:45.000]  有一座主教座堂
[00:00:45.000 --> 00:00:49.000]  歐洲的南美教堂很大
[00:00:49.000 --> 00:00:51.000]  不止香港二三樓
[00:00:51.000 --> 00:00:54.000]  所以我們沒有什麼裝置
[00:00:54.000 --> 00:00:57.000]  教堂前有一幅很大的壁畫
[00:00:57.000 --> 00:01:00.000]  不同歐洲的壁畫
[00:01:00.000 --> 00:01:03.000]  教堂壁畫用了很多福音的故事
[00:01:03.000 --> 00:01:07.000]  壁畫用了一個舊約的故事
[00:01:07.000 --> 00:01:13.000]  就是約瑟和他弟兄和好的故事
[00:01:13.000 --> 00:01:16.000]  當中引述一句經文
[00:01:16.000 --> 00:01:21.000]  就是約瑟和他弟兄最後的相遇
[00:01:21.000 --> 00:01:24.000]  即是大團結的前他問了一句話
[00:01:24.000 --> 00:01:29.000]  我們的父親尚安好嗎
[00:01:29.000 --> 00:01:33.000]  不要小看這幅壁畫
[00:01:33.000 --> 00:01:36.000]  因為他反映出阿根廷這個國家
[00:01:36.000 --> 00:01:38.000]  在獨立運動的時候
[00:01:38.000 --> 00:01:45.000]  充滿了仇恨、殺戮、撕裂、矛盾
[00:01:45.000 --> 00:01:48.000]  如果你聽過一個歌劇叫《貝隆夫人》
[00:01:48.000 --> 00:01:53.000]  就記得那句很潰滯人口的歌詞
[00:01:53.000 --> 00:01:58.000]  別為我哭泣阿根廷
[00:01:58.000 --> 00:02:04.000]  這幅壁畫也指出約瑟這位舊約的人物
[00:02:04.000 --> 00:02:07.000]  他被譽為聖經的模範生
[00:02:07.000 --> 00:02:10.000]  這個模範生品學兼優
[00:02:10.000 --> 00:02:14.000]  又帥氣 人又各方面的條件很好
[00:02:14.000 --> 00:02:17.000]  但約瑟的前半生
[00:02:17.000 --> 00:02:22.000]  是經歷過很多的痛苦、眼淚
[00:02:22.000 --> 00:02:25.000]  其實是很悲劇的人品
[00:02:25.000 --> 00:02:29.000]  被兄弟出賣 流落異鄉
[00:02:29.000 --> 00:02:34.000]  又被主母誣告 差點命都沒有
[00:02:34.000 --> 00:02:37.000]  在逆境當中 但他仍然依靠上帝
[00:02:37.000 --> 00:02:42.000]  持守心中那份溫柔和愛
[00:02:42.000 --> 00:02:45.000]  並有無窮的智慧去發揮
[00:02:45.000 --> 00:02:48.000]  約瑟是一個很感性的人
[00:02:48.000 --> 00:02:51.000]  他經常躲起來哭
[00:02:51.000 --> 00:02:54.000]  有人統計過約瑟哭泣的次數
[00:02:54.000 --> 00:02:57.000]  是在舊約人物當中最多的
[00:02:57.000 --> 00:03:02.000]  但每次哭完出來都憤而有能力
[00:03:02.000 --> 00:03:05.000]  不知道這段日子大家有沒有哭過
[00:03:05.000 --> 00:03:10.000]  我幾晚看著電視 一邊看一邊流淚
[00:03:10.000 --> 00:03:15.000]  流淚都變出那種無力的感覺
[00:03:15.000 --> 00:03:19.000]  我們說香港為什麼搞成這樣呢
[00:03:19.000 --> 00:03:25.000]  但我會問 我能為香港做些什麼
[00:03:25.000 --> 00:03:30.000]  其實能夠做的我們是很少很少
[00:03:30.000 --> 00:03:36.000]  但總不能終日在哭
[00:03:36.000 --> 00:03:39.000]  約瑟很特別的地方是他很有智慧的人
[00:03:39.000 --> 00:03:43.000]  他懂得解夢 和弟兄和好
[00:03:43.000 --> 00:03:45.000]  其實很有智慧
[00:03:45.000 --> 00:03:49.000]  他沒有利用威權的宰相地位
[00:03:49.000 --> 00:03:51.000]  用權力
[00:03:51.000 --> 00:03:53.000]  也沒有一種很感性的
[00:03:53.000 --> 00:03:56.000]  一見到弟兄就馬上擁抱他
[00:03:56.000 --> 00:04:00.000]  他要很清楚究竟這班弟兄
[00:04:00.000 --> 00:04:05.000]  這班兄弟今時今日有沒有改變
[00:04:05.000 --> 00:04:11.000]  所以主教座唐伯碧說用的經文很特別
[00:04:11.000 --> 00:04:17.000]  那就是她和弟兄最大的公約數的共識
[00:04:17.000 --> 00:04:21.000]  就是在說世子前一個最重要的
[00:04:21.000 --> 00:04:23.000]  一個共同的父親
[00:04:23.000 --> 00:04:29.000]  一說到父親 我們的父親是不是還安好呢
[00:04:29.000 --> 00:04:33.000]  這就顯現出為人子
[00:04:33.000 --> 00:04:38.000]  其實無論兄弟多仇恨
[00:04:38.000 --> 00:04:41.000]  一個共同的父親是這麼重要
[00:04:41.000 --> 00:04:45.000]  所以近期看見很多教會很多的爭執
[00:04:45.000 --> 00:04:47.000]  很多的對立
[00:04:47.000 --> 00:04:52.000]  有些教會甚至有年青人聽到一起起身喊口號
[00:04:52.000 --> 00:04:54.000]  你聽過沒有
[00:04:54.000 --> 00:04:59.000]  有老人家喝罵台上那個年青的傳道
[00:04:59.000 --> 00:05:03.000]  說他亂說話不應該將政治帶入教會
[00:05:03.000 --> 00:05:10.000]  上星期我見到浸信會突然有個外國人
[00:05:10.000 --> 00:05:12.000]  不知道從哪裏走來的 街外人
[00:05:12.000 --> 00:05:14.000]  不知道怎麼滑進來
[00:05:14.000 --> 00:05:17.000]  上台搶了咪高峰來講政治
[00:05:17.000 --> 00:05:21.000]  什麼都會發生
[00:05:21.000 --> 00:05:23.000]  面對這樣的處境的時候
[00:05:23.000 --> 00:05:26.000]  教會那種無力感
[00:05:26.000 --> 00:05:28.000]  那種怕事
