
[00:00:00.000 --> 00:00:14.000]  我答應了家父之後,越近今日就越是後悔
[00:00:14.000 --> 00:00:17.000]  因為我最近這段時間就非常忙碌
[00:00:17.000 --> 00:00:19.000]  我剛剛才從休士頓回來
[00:00:19.000 --> 00:00:25.000]  他們安排了七個講座給我
[00:00:25.000 --> 00:00:33.000]  回來後就很慘,我現在還是在殘疾
[00:00:33.000 --> 00:00:42.000]  今晚我怕說著說著,不是我睡覺就是你們睡覺
[00:00:42.000 --> 00:00:44.000]  這也是一個恐懼
[00:00:44.000 --> 00:00:47.000]  不過我帶著這本書去看
[00:00:47.000 --> 00:00:52.000]  就很欣賞這個作者的翻譯
[00:00:52.000 --> 00:00:54.000]  翻譯得非常非常好
[00:00:54.000 --> 00:01:06.000]  我讀過這麼多翻譯作品
[00:01:06.000 --> 00:01:11.000]  我認為是非常滿意的
[00:01:11.000 --> 00:01:17.000]  是很值得大家去買的
[00:01:17.000 --> 00:01:21.000]  我沒有跟家父商量過要在這裡推銷
[00:01:21.000 --> 00:01:31.000]  你看這本書和你看David Norris的英文翻譯
[00:01:31.000 --> 00:01:33.000]  如果你的英文翻譯是好的話
[00:01:33.000 --> 00:01:40.000]  你看David Norris的翻譯固然是沒有問題的
[00:01:40.000 --> 00:01:47.000]  但是兩本來比較,中文也好,英文也好
[00:01:47.000 --> 00:01:49.000]  基本上是沒有分別的
[00:01:49.000 --> 00:01:53.000]  翻譯是非常了得
[00:01:53.000 --> 00:02:02.000]  在這裡我祝賀翻譯者黃曉興博士
[00:02:02.000 --> 00:02:14.000]  在這裡我寫了幾本對大家閱讀奧古斯丁和上帝之城有幫助的
[00:02:14.000 --> 00:02:18.000]  稍微說一點點
[00:02:18.000 --> 00:02:24.000]  Peter Brown的《Occursion of Hippo a Biography》
[00:02:24.000 --> 00:02:34.000]  到現在為止都是被譽為對奧古斯丁的生平寫得最精彩的一本著作
[00:02:34.000 --> 00:02:37.000]  如果你要了解奧古斯丁的話
[00:02:37.000 --> 00:02:41.000]  這個是必須的
[00:02:41.000 --> 00:02:47.000]  另外我很想介紹的
[00:02:47.000 --> 00:02:51.000]  如果你有能夠去到神學院的圖書館
[00:02:51.000 --> 00:02:53.000]  你又能夠借得到的
[00:02:53.000 --> 00:02:59.000]  這裡有一本書叫做St. Augustine, His Age, Life and Thought
[00:02:59.000 --> 00:03:06.000]  其中一篇文章就是Christopher Dawson所寫的
[00:03:06.000 --> 00:03:12.000]  何許人也
[00:03:12.000 --> 00:03:21.000]  Christopher Dawson是英國在20年代至50年代之間
[00:03:21.000 --> 00:03:26.000]  比Anatole Toinebee還早
[00:03:26.000 --> 00:03:29.000]  在英國他是大名鼎鼎的史學家
[00:03:29.000 --> 00:03:34.000]  他的專長就是研究古代歷史
[00:03:34.000 --> 00:03:41.000]  他的焦點是放在文化和宗教之間的互動
[00:03:41.000 --> 00:03:44.000]  他寫的作品精彩到不得了
[00:03:44.000 --> 00:03:50.000]  很可惜現在因為他的書沒有再出版
[00:03:50.000 --> 00:03:52.000]  在市面上不多見
[00:03:52.000 --> 00:03:54.000]  其實是很可惜的
[00:03:54.000 --> 00:03:59.000]  Christopher Dawson的作品對於我們現在的文化狀況
[00:03:59.000 --> 00:04:03.000]  有很多光照的地方
[00:04:03.000 --> 00:04:07.000]  我希望你們留意這個作者Christopher Dawson
[00:04:07.000 --> 00:04:11.000]  我自己有一段時間看了很多他的作品
[00:04:11.000 --> 00:04:14.000]  很值得看的
[00:04:14.000 --> 00:04:18.000]  而他這個St. Augustine, His Age寫得真是上乘之作
[00:04:18.000 --> 00:04:20.000]  我特別推薦的
[00:04:20.000 --> 00:04:25.000]  接著我要非常推薦的
[00:04:25.000 --> 00:04:30.000]  就是Josephine Chauvin
[00:04:30.000 --> 00:04:39.000]  也是傳授講解古代哲學
[00:04:39.000 --> 00:04:42.000]  真是無出其右
[00:04:42.000 --> 00:04:47.000]  當然有些人說
[00:04:47.000 --> 00:04:50.000]  對不起,這裡還有些空位
[00:04:50.000 --> 00:04:52.000]  這裡還有些空位
[00:04:52.000 --> 00:04:55.000]  不要浪費,不用坐在外面
[00:04:55.000 --> 00:04:57.000]  進來吧
[00:04:57.000 --> 00:05:01.000]  停一停,我們等一等
[00:05:01.000 --> 00:05:04.000]  後面還有些空位,後面有很多空位
[00:05:04.000 --> 00:05:07.000]  你們不是怕了我吧
[00:05:07.000 --> 00:05:09.000]  後面有很多空位
[00:05:09.000 --> 00:05:12.000]  過去後面吧
[00:05:12.000 --> 00:05:14.000]  請大家忍耐
[00:05:14.000 --> 00:05:17.000]  這個Josephine Chauvin
[00:05:17.000 --> 00:05:22.000]  他傳述Thomas Aquinas和St. Augustine
[00:05:22.000 --> 00:05:27.000]  是非常清楚的
