
[00:00:00.000 --> 00:00:08.000]  嚴格來說 在耶穌復活之後的第二個主日
[00:00:08.000 --> 00:00:11.000]  七天的頭一天
[00:00:11.000 --> 00:00:16.000]  門徒心裏面還是害怕
[00:00:16.000 --> 00:00:24.000]  他們聚集約翰福音剛才讀完的經文
[00:00:24.000 --> 00:00:29.000]  很清楚告訴我們門都關了
[00:00:29.000 --> 00:00:35.000]  前面一開始解釋為何會關門
[00:00:35.000 --> 00:00:39.000]  因怕猶太人
[00:00:39.000 --> 00:00:44.000]  門徒不是一早就知道
[00:00:44.000 --> 00:00:49.000]  期待主耶穌的復活
[00:00:49.000 --> 00:00:54.000]  所以耶穌復活對他們來說
[00:00:54.000 --> 00:01:02.000]  都是一件他們從來沒辦法想得通的事實
[00:01:02.000 --> 00:01:04.000]  不過是事實
[00:01:04.000 --> 00:01:14.000]  就因為這個事實改變了跟隨主的後一班門徒
[00:01:14.000 --> 00:01:21.000]  耶穌基督的復活不是一件我們說在科學上
[00:01:21.000 --> 00:01:26.000]  可以證明重複做實驗
[00:01:26.000 --> 00:01:29.000]  每一次的結果都是一樣
[00:01:29.000 --> 00:01:35.000]  所以我們有證據可以證明耶穌復活
[00:01:35.000 --> 00:01:43.000]  歷史的事實不要說超然的歷史事實
[00:01:43.000 --> 00:01:46.000]  有時候是不能重複的
[00:01:46.000 --> 00:01:55.000]  在歷史當中只有主耶穌是從死人中復活
[00:01:55.000 --> 00:02:04.000]  門徒的見證、門徒的改變是很重要
[00:02:04.000 --> 00:02:08.000]  對我們今天正如約翰福音所說
[00:02:08.000 --> 00:02:15.000]  沒有看見就相信的人來說
[00:02:15.000 --> 00:02:18.000]  我們怎樣知道主復活呢?
[00:02:18.000 --> 00:02:21.000]  以前唱青年聖歌
[00:02:21.000 --> 00:02:24.000]  一首很熟悉的主活著的詩歌
[00:02:24.000 --> 00:02:30.000]  去到最後那句是「因他活在我心」
[00:02:30.000 --> 00:02:33.000]  不知道你會不會心裏面都駁這句話
[00:02:33.000 --> 00:02:36.000]  每個人都活在我心
[00:02:36.000 --> 00:02:38.000]  死了的人都活在我心
[00:02:38.000 --> 00:02:40.000]  這樣就叫做主復活了
[00:02:40.000 --> 00:02:42.000]  當然不是
[00:02:42.000 --> 00:02:49.000]  耶穌基督的復活不是活在門徒的心中
[00:02:49.000 --> 00:02:52.000]  永之不亡
[00:02:52.000 --> 00:02:53.000]  不是
[00:02:53.000 --> 00:02:58.000]  紀念主的死、聖餐
[00:02:58.000 --> 00:03:04.000]  不是一個追思禮拜的程序
[00:03:04.000 --> 00:03:10.000]  紀念這個字在舊約聖經新明紀
[00:03:10.000 --> 00:03:17.000]  其實是在說你要活出這個事實
[00:03:17.000 --> 00:03:22.000]  紀念上主的分配
[00:03:22.000 --> 00:03:28.000]  即是你要實行在你的生活當中
[00:03:28.000 --> 00:03:30.000]  耶穌基督的復活
[00:03:30.000 --> 00:03:31.000]  沒錯
[00:03:31.000 --> 00:03:35.000]  是一個歷史的事實
[00:03:35.000 --> 00:03:37.000]  我們沒有見到祂
[00:03:37.000 --> 00:03:40.000]  但是見到祂的門徒
[00:03:40.000 --> 00:03:47.000]  這一群怕猶太人的猶太人
[00:03:47.000 --> 00:03:51.000]  跟耶穌的全部都是猶太人
[00:03:51.000 --> 00:03:57.000]  他們為甚麼可以完全改變過來
[00:03:57.000 --> 00:03:59.000]  五十天之後
[00:03:59.000 --> 00:04:01.000]  在耶路撒冷
[00:04:01.000 --> 00:04:05.000]  他們站起來十一個使徒
[00:04:05.000 --> 00:04:12.000]  高聲呼籲復活的基督做見證
[00:04:12.000 --> 00:04:15.000]  他們說我們見過
[00:04:15.000 --> 00:04:23.000]  耶穌基督復活是一個真真確確的事實
[00:04:23.000 --> 00:04:27.000]  這個是以前我們在團契
[00:04:27.000 --> 00:04:29.000]  每到復活節
[00:04:29.000 --> 00:04:35.000]  我們總會討論這件事
[00:04:35.000 --> 00:04:37.000]  知道耶穌復活了
[00:04:37.000 --> 00:04:41.000]  我們的心就很有把握
[00:04:41.000 --> 00:04:43.000]  很有確據
[00:04:43.000 --> 00:04:45.000]  可以跟別人辯論
[00:04:45.000 --> 00:04:47.000]  那時候我們不只是說
[00:04:47.000 --> 00:04:51.000]  當年沒有吹水這個說法
[00:04:51.000 --> 00:04:53.000]  我們是看書的
[00:04:53.000 --> 00:04:56.000]  有本書可能你們都沒有聽過
[00:04:56.000 --> 00:04:59.000]  Who Moved the Stone
[00:04:59.000 --> 00:05:02.000]  空墳墓的見證
[00:05:02.000 --> 00:05:06.000]  John Stott Basic Christianity
[00:05:06.000 --> 00:05:09.000]  真理的尋索
[00:05:09.000 --> 00:05:13.000]  裏面特別提到門徒的改變
[00:05:13.000 --> 00:05:20.000]  這個見證是我們無可推諉的事實
[00:05:20.000 --> 00:05:24.000]  牛津大學一個哲學的教授
[00:05:24.000 --> 00:05:28.000]  通常牛津大學的哲學教授都不信耶穌
[00:05:28.000 --> 00:05:30.000]  不過這個很虔誠
[00:05:30.000 --> 00:05:32.000]  Richard Swinburne
[00:05:32.000 --> 00:05:35.000]  他寫了好幾本書
[00:05:35.000 --> 00:05:40.000]  論證和邏輯的或然論
[00:05:40.000 --> 00:05:45.000]  來討論耶穌基督的復活
[00:05:45.000 --> 00:05:47.000]  你說很深奧華
[00:05:47.000 --> 00:05:51.000]  幸好我們報道會不會請這些教授來報道
[00:05:51.000 --> 00:05:53.000]  否則沒有人會舉手決志
[00:05:53.000 --> 00:05:57.000]  因為沒有人知道他在說什麼
[00:05:57.000 --> 00:05:59.000]  年輕的時候
[00:05:59.000 --> 00:06:02.000]  我們很緊張
[00:06:02.000 --> 00:06:09.000]  一定要查證耶穌基督復活的事實
[00:06:09.000 --> 00:06:12.000]  不過這個只是一個基礎
[00:06:12.000 --> 00:06:15.000]  一個的起點
[00:06:15.000 --> 00:06:18.000]  長大了
[00:06:18.000 --> 00:06:23.000]  現在面對生命
[00:06:23.000 --> 00:06:27.000]  就不只是開心
[00:06:27.000 --> 00:06:29.000]  有嬰兒出生
[00:06:29.000 --> 00:06:30.000]  很有趣的
[00:06:30.000 --> 00:06:32.000]  剛剛滿月
[00:06:32.000 --> 00:06:34.000]  眼睛瞪瞪
