
[00:00:00.000 --> 00:00:06.000]  謝謝,每一位平安
[00:00:06.000 --> 00:00:10.000]  今天跟大家一起思想神的說話
[00:00:10.000 --> 00:00:15.000]  今天我選了菲律賓書的第一章,跟大家思想保羅的團契心
[00:00:15.000 --> 00:00:19.000]  保羅的團契心是一個怎樣的心呢?
[00:00:19.000 --> 00:00:23.000]  如果你有聖經的話,也可以打開菲律賓書的第一章
[00:00:23.000 --> 00:00:33.000]  第一和第二章主要是講到保羅寫信給教會的開場白
[00:00:33.000 --> 00:00:36.000]  然後第三章才是真正的開始
[00:00:36.000 --> 00:00:39.000]  所以三到十一章只不過是短短的九節的聖經
[00:00:39.000 --> 00:00:45.000]  但是我想跟大家看看保羅的團契心
[00:00:45.000 --> 00:00:54.000]  幾個禮拜前,有機會和一些在美國過來的華人教會的大英展會談話
[00:00:54.000 --> 00:01:01.000]  美國的華人教會有很多很先進的,尤其是灣區那些
[00:01:01.000 --> 00:01:05.000]  很科技的
[00:01:05.000 --> 00:01:10.000]  他們現在的教會很流行叫做Live Stream
[00:01:10.000 --> 00:01:14.000]  中文譯做現場直播
[00:01:14.000 --> 00:01:20.000]  星期日是現場直播,整個崇拜都播了
[00:01:20.000 --> 00:01:23.000]  由開始敬拜一直講道,然後完結
[00:01:23.000 --> 00:01:30.000]  播得很漂亮,不會停下斷下斷下,一會又這樣圈圈來圈去,又覺得下落
[00:01:30.000 --> 00:01:32.000]  後直落又漂亮又好
[00:01:32.000 --> 00:01:36.000]  有時候很方便,有時候不用開車
[00:01:36.000 --> 00:01:40.000]  尤其是天氣冷的時候,用iPad等著
[00:01:40.000 --> 00:01:43.000]  一邊吃早餐一邊敬拜,多方便
[00:01:43.000 --> 00:01:47.000]  笑兩下麵包,喜歡就加兩句和唱一下
[00:01:47.000 --> 00:01:49.000]  聽聽怎麽好到
[00:01:49.000 --> 00:01:51.000]  老聽覺得不是很對路
[00:01:51.000 --> 00:01:54.000]  坦白講我覺得不是很對路
[00:01:54.000 --> 00:01:56.000]  這樣是教會?
[00:01:56.000 --> 00:02:01.000]  問題就是究竟聖經肯定不是這樣的
[00:02:01.000 --> 00:02:05.000]  就是聖經2000年前沒有這樣的科技,所以做不到這些東西
[00:02:05.000 --> 00:02:08.000]  因為它本質上是有些問題
[00:02:08.000 --> 00:02:13.000]  現在科技當然是很方便,可以節省很多時間
[00:02:13.000 --> 00:02:16.000]  老實講香港都是,塞車又怎麽
[00:02:16.000 --> 00:02:21.000]  天氣熱,一涼涼地最舒服,到天氣冷的時候又下雨
[00:02:21.000 --> 00:02:26.000]  進來後,遲到就不能進去
[00:02:26.000 --> 00:02:32.000]  搞什麽,你走來,那麽辛苦,走來這裏坐
[00:02:32.000 --> 00:02:35.000]  在家怎麽方便才可以
[00:02:35.000 --> 00:02:39.000]  究竟可不可以取代,可不可以用科技的方法取代
[00:02:39.000 --> 00:02:42.000]  你問我心底那句,我覺得不行
[00:02:42.000 --> 00:02:46.000]  為什麽不行,你看看哥倫多前書12章講到
[00:02:46.000 --> 00:02:50.000]  一家教會是一個耶穌基督做頭的身體
[00:02:50.000 --> 00:02:53.000]  它不是說一些會友組合
[00:02:53.000 --> 00:02:57.000]  它說一個身體,這個身體有手有腳,有眼有耳
[00:02:57.000 --> 00:02:59.000]  它是一種生命體來的連結
[00:02:59.000 --> 00:03:02.000]  拔了手出來是沒有的,會死的
[00:03:02.000 --> 00:03:06.000]  那些人不可以參與一些活動
[00:03:06.000 --> 00:03:09.000]  用一些新科技的方法,你有你,我有我
[00:03:09.000 --> 00:03:13.000]  而是他們走在一起,一個身體連繫起來
[00:03:13.000 --> 00:03:18.000]  有血有肉的,進來後大家見到有血有肉的弟兄姊妹
[00:03:18.000 --> 00:03:20.000]  有真眼淚,有真歡笑
[00:03:20.000 --> 00:03:25.000]  大家一起擁抱,有握手,大家一起唱詩歌
[00:03:25.000 --> 00:03:30.000]  這個是聖經裏面給我們看到的教會的模式
[00:03:30.000 --> 00:03:34.000]  那我覺得今天保羅這段說話我想和大家分享
[00:03:34.000 --> 00:03:36.000]  都是隨著這個方向
[00:03:36.000 --> 00:03:40.000]  究竟一家教會一個團契,教會裏面有一個團契
[00:03:40.000 --> 00:03:43.000]  我不是只是說一個個分開的團契
[00:03:43.000 --> 00:03:47.000]  教會裏面弟兄姊妹之間互相聯繫一個團契
[00:03:47.000 --> 00:03:49.000]  究竟是回了什麽事
[00:03:49.000 --> 00:03:52.000]  保羅在菲律賓書的第一章那裏
[00:03:52.000 --> 00:03:54.000]  剛才我們所讀的那段聖經裏面
[00:03:54.000 --> 00:03:56.000]  起碼我看到有三個的心
[00:03:56.000 --> 00:03:59.000]  剛才我們說保羅的團契心有三個的心
[00:03:59.000 --> 00:04:01.000]  第一個心是一個溫暖的心
[00:04:01.000 --> 00:04:05.000]  第二個心我稱為一個幸福的分享的心
[00:04:05.000 --> 00:04:10.000]  第三個心是一個對神有把握的,有神的心意的心
[00:04:10.000 --> 00:04:14.000]  那究竟你想說什麽,我試試和大家再分享下去
[00:04:14.000 --> 00:04:17.000]  當中有些例子或者說法我曾經提過
[00:04:17.000 --> 00:04:24.000]  但我覺得我想作為大家如果我是大家的顧問目者的心事
[00:04:24.000 --> 00:04:28.000]  今天我真的說給自己人聽,我不是說給外面的人聽
[00:04:28.000 --> 00:04:35.000]  我們大家一起來說說我自己很想透過保羅聖經裏面提醒我們些什麽
[00:04:35.000 --> 00:04:37.000]  第一個是溫暖的心
[00:04:37.000 --> 00:04:40.000]  溫暖的心就是保羅一開頭的時候
[00:04:40.000 --> 00:04:42.000]  這一卷的聖經有四章的
[00:04:42.000 --> 00:04:46.000]  保羅一開始的時候,由第三節開始就已經這樣說
[00:04:46.000 --> 00:04:47.000]  第三節到第五節
[00:04:47.000 --> 00:04:50.000]  他說我每逢想到你們就感謝我的神
[00:04:50.000 --> 00:04:54.000]  每次為你們大家祈求的時候
[00:04:54.000 --> 00:04:56.000]  總是歡歡喜喜的祈求
[00:04:56.000 --> 00:04:59.000]  為了你們從頭一天直到現在
[00:04:59.000 --> 00:05:04.000]  都在福音的時空上和我有份,我就感謝我的神
[00:05:04.000 --> 00:05:08.000]  我剛才這樣讀的時候,有沒有留意我加強了一些字眼
[00:05:08.000 --> 00:05:11.000]  中文未必能夠翻譯到那個味道
[00:05:11.000 --> 00:05:13.000]  但是原來的希臘文
