
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 主內平安
[00:00:03.000 --> 00:00:09.000]  願我口中的言語 心裡的意念
[00:00:09.000 --> 00:00:15.000]  在主的面前 得夢月立 阿們
[00:00:15.000 --> 00:00:21.000]  多謝你們的邀請 給我有機會
[00:00:21.000 --> 00:00:27.000]  可以在城鎮80週年堂慶
[00:00:27.000 --> 00:00:33.000]  這個週末和你們一起感恩慶祝
[00:00:33.000 --> 00:00:36.000]  我特別多謝梁牧師
[00:00:36.000 --> 00:00:39.000]  他幫我說了兩堂道
[00:00:39.000 --> 00:00:47.000]  免了我在做完化療的第一個週末
[00:00:47.000 --> 00:00:52.000]  我的體力的確不可以支撐
[00:00:52.000 --> 00:00:58.000]  星期五、六、日的連串講道
[00:00:58.000 --> 00:00:59.000]  多謝梁牧師
[00:00:59.000 --> 00:01:01.000]  更加感激他
[00:01:01.000 --> 00:01:06.000]  因准我三堂培靈會完結之後
[00:01:06.000 --> 00:01:10.000]  不用站在門口和你們握手
[00:01:10.000 --> 00:01:15.000]  因為我試過上次不小心握完之後
[00:01:15.000 --> 00:01:17.000]  回家後喉嚨痛
[00:01:17.000 --> 00:01:24.000]  白血球低的時候 如果發燒
[00:01:24.000 --> 00:01:29.000]  就要立刻入醫院用抗生素
[00:01:29.000 --> 00:01:33.000]  所以都是很小心 需要留意
[00:01:33.000 --> 00:01:42.000]  過去兩晚我們思想祭司的照明
[00:01:42.000 --> 00:01:47.000]  分別為聖
[00:01:47.000 --> 00:01:55.000]  但不停在道德倫理的成聖需用功夫
[00:01:55.000 --> 00:01:58.000]  而是保羅所說的
[00:01:58.000 --> 00:02:03.000]  成為聖傑 合乎主用
[00:02:03.000 --> 00:02:06.000]  我們學習信服上帝
[00:02:06.000 --> 00:02:09.000]  聆聽祂的吩咐
[00:02:09.000 --> 00:02:13.000]  遵行祂的旨意
[00:02:13.000 --> 00:02:19.000]  不單在我們的生活習慣風俗
[00:02:19.000 --> 00:02:26.000]  更加隨時警醒後命
[00:02:26.000 --> 00:02:29.000]  上帝的聲音
[00:02:29.000 --> 00:02:34.000]  我們不用靜修四十天才聽清楚
[00:02:34.000 --> 00:02:39.000]  因為我們已經在祂的說話當中
[00:02:39.000 --> 00:02:43.000]  習慣信服進行
[00:02:43.000 --> 00:02:47.000]  這是祭司的國度
[00:02:47.000 --> 00:02:50.000]  君尊的祭司
