
[00:00:00.000 --> 00:00:04.800]  各位朋友弟兄姊妹你們好
[00:00:04.800 --> 00:00:10.080]  歡迎大家參加我今天的解經式分享
[00:00:10.080 --> 00:00:13.120]  今天我和大家分享的題目是
[00:00:13.120 --> 00:00:15.040]  你們沒有念過摩?
[00:00:15.040 --> 00:00:19.120]  這個問題在《瑪特福音》第十二章
[00:00:19.120 --> 00:00:23.520]  耶穌基督在短時間內連續問了兩次
[00:00:23.520 --> 00:00:27.440]  如果主耶穌問第一次我們都知道是重要
[00:00:27.440 --> 00:00:32.320]  如果他連續問兩次我們更加需要花多些時間
[00:00:32.320 --> 00:00:35.120]  去理解耶穌基督的教訓
[00:00:35.120 --> 00:00:41.200]  今天的經文是在《瑪特福音》第十一章二十八節開始
[00:00:41.200 --> 00:00:43.680]  到十二章二十一節
[00:00:43.680 --> 00:00:45.680]  請聽我讀出
[00:00:45.680 --> 00:00:53.360]  凡奴婦擔重擔的的人都到我這裡來
[00:00:53.360 --> 00:00:55.680]  我要使你們不安息
[00:00:55.680 --> 00:00:57.680]  我心裡柔和謙卑
[00:00:57.680 --> 00:00:59.680]  你們當乎我的厄
[00:00:59.680 --> 00:01:01.680]  向我學習
[00:01:01.680 --> 00:01:04.960]  這樣你們的心靈就必不安息
[00:01:04.960 --> 00:01:07.360]  因為我的厄是容易的
[00:01:07.360 --> 00:01:09.840]  我的擔子是輕散的
[00:01:09.840 --> 00:01:14.640]  那時耶穌在安息日從麥田經過
[00:01:14.640 --> 00:01:16.640]  他的門徒餓了
[00:01:16.640 --> 00:01:18.640]  就摘麥穗來吃
[00:01:18.640 --> 00:01:21.920]  乖理財人漢堅對耶穌說
[00:01:21.920 --> 00:01:27.040]  漢啊!你的門徒在安息日做了不合法的事
[00:01:27.040 --> 00:01:29.040]  耶穌對他們說
[00:01:29.040 --> 00:01:33.600]  大為跟從他的人饑餓時所做的事
[00:01:33.600 --> 00:01:35.600]  你們沒有念過嗎?
[00:01:35.600 --> 00:01:40.400]  他怎樣進了神的居所吃了公餅
[00:01:40.400 --> 00:01:43.920]  這餅是他和跟從他的人不可以吃的
[00:01:43.920 --> 00:01:45.920]  唯獨祭司才可以吃
[00:01:46.880 --> 00:01:51.440]  再者律法上所記的在安息日
[00:01:51.440 --> 00:01:55.760]  祭司在聖殿裡犯了安息日也不算有罪
[00:01:55.760 --> 00:01:57.760]  你們沒有念過嗎?
[00:01:57.760 --> 00:01:59.760]  我告訴你們
[00:01:59.760 --> 00:02:02.880]  比聖殿更大的在這裡
[00:02:02.880 --> 00:02:04.880]  我喜愛憐憫
[00:02:04.880 --> 00:02:06.880]  不喜愛祭祀
[00:02:06.880 --> 00:02:09.520]  你們若明白這話的意思
[00:02:09.520 --> 00:02:12.960]  就不將無罪的當作有罪了
[00:02:12.960 --> 00:02:17.120]  因為人子是安息日的主
[00:02:17.120 --> 00:02:19.120]  第九節
[00:02:19.120 --> 00:02:22.320]  耶穌離開了那地方
[00:02:22.320 --> 00:02:24.320]  進了猶太人的會堂
[00:02:24.320 --> 00:02:28.160]  那裡有一隻手萎縮了的人
[00:02:28.160 --> 00:02:32.160]  有人為了控告耶穌就問他
[00:02:32.160 --> 00:02:35.680]  安息日治病合法不合法?
[00:02:35.680 --> 00:02:37.680]  耶穌對他們說
[00:02:37.680 --> 00:02:42.400]  你們中間誰有一隻羊在安息日吊在坑裡
[00:02:42.400 --> 00:02:44.400]  不抓住它
[00:02:44.400 --> 00:02:46.400]  把它拉上來
[00:02:46.400 --> 00:02:48.400]  人比羊貴得多
[00:02:48.400 --> 00:02:52.640]  所以在安息日做善事是合法的
[00:02:52.640 --> 00:02:54.640]  於是那人說
[00:02:54.640 --> 00:02:56.640]  於是對那人說
[00:02:56.640 --> 00:02:58.640]  伸出手來
[00:02:58.640 --> 00:03:00.640]  他一把手一伸
[00:03:00.640 --> 00:03:02.640]  手就伏完了和另一隻一樣
[00:03:02.640 --> 00:03:04.640]  快點傳出去
[00:03:04.640 --> 00:03:06.640]  相依怎樣除掉耶穌
[00:03:06.640 --> 00:03:11.440]  耶穌知道了就離開那裡
[00:03:11.440 --> 00:03:13.440]  有一大群人跟著他
[00:03:13.440 --> 00:03:17.440]  他把所有的病人都治好了
[00:03:17.440 --> 00:03:21.440]  又祝福他們不要把他宣揚出去
[00:03:21.440 --> 00:03:23.440]  這是要應嚴義在也才知
[00:03:23.440 --> 00:03:25.440]  所說的話
[00:03:25.440 --> 00:03:27.440]  看啊!我所謹善的僕人
