
[00:00:00.000 --> 00:00:05.000]  請我們同心低頭,一同祈禱
[00:00:05.000 --> 00:00:07.000]  天父,我們再次感謝禰
[00:00:07.000 --> 00:00:10.000]  禰給了我們寶貴,為我們宇宙人生命的指引
[00:00:10.000 --> 00:00:13.000]  求禰借著尼西米的訊息
[00:00:13.000 --> 00:00:15.000]  帶給我們的福興
[00:00:15.000 --> 00:00:17.000]  更加給我們
[00:00:17.000 --> 00:00:22.000]  有從禰而來的智慧,勇氣
[00:00:22.000 --> 00:00:25.000]  去面對我們人生種種的矛盾
[00:00:25.000 --> 00:00:29.000]  面臨教會的福興
[00:00:29.000 --> 00:00:32.000]  求禰更加去使用我們
[00:00:32.000 --> 00:00:36.000]  多謝禰,奉耶穌基督的名求,阿們
[00:00:36.000 --> 00:00:40.000]  今天我們繼續思想尼西米的訊息
[00:00:40.000 --> 00:00:44.000]  Dr. Paul Brand是美國一個很出名的骨科醫生
[00:00:44.000 --> 00:00:50.000]  他也是對麻風病或者是無痛症的病症
[00:00:50.000 --> 00:00:52.000]  是素有研究的
[00:00:52.000 --> 00:00:55.000]  他在華盛頓大學醫學院做骨科教授
[00:00:55.000 --> 00:01:00.000]  也是世界衛生組WHO的名譽顧問
[00:01:00.000 --> 00:01:02.000]  曾經拿過很多獎
[00:01:02.000 --> 00:01:05.000]  其中包括Albert Lasker Award
[00:01:05.000 --> 00:01:07.000]  他有一個虔誠的基督徒
[00:01:07.000 --> 00:01:12.000]  曾經在印度的貧民區幫助麻風病人
[00:01:12.000 --> 00:01:15.000]  他寫了一本書,這本書非常有趣
[00:01:15.000 --> 00:01:20.000]  這本書的名字叫Pain, the Gift Nobody Wants
[00:01:20.000 --> 00:01:24.000]  痛是不為人所渴望的寶貝
[00:01:24.000 --> 00:01:27.000]  這本書裡面講到一個故事
[00:01:27.000 --> 00:01:30.000]  有一個小孩叫Tanya,是四歲
[00:01:30.000 --> 00:01:33.000]  他媽媽有一次帶他來見他
