
[00:00:00.000 --> 00:00:05.000]  過去幾個月東方閃電無孔不入
[00:00:05.000 --> 00:00:08.000]  無論在地鐵的出口
[00:00:08.000 --> 00:00:10.000]  在那些旺的地方
[00:00:10.000 --> 00:00:12.000]  一檔一檔的攤檔
[00:00:12.000 --> 00:00:14.000]  甚至在街頭巷尾
[00:00:14.000 --> 00:00:18.000]  他們都到處向人派他們的單張
[00:00:18.000 --> 00:00:21.000]  我想問一問有多少個你在地鐵的出口
[00:00:21.000 --> 00:00:23.000]  旺的地方 街頭巷尾
[00:00:23.000 --> 00:00:25.000]  有聽過 看過
[00:00:25.000 --> 00:00:27.000]  或者你看報紙都看到
[00:00:27.000 --> 00:00:29.000]  東方閃電這些人的傳教
[00:00:29.000 --> 00:00:31.000]  我請你舉手好嗎
[00:00:31.000 --> 00:00:32.000]  舉高一點
[00:00:32.000 --> 00:00:34.000]  嘩 你看一看
[00:00:34.000 --> 00:00:38.000]  我想八成以上的電影節目都看到 聽到
[00:00:38.000 --> 00:00:40.000]  跟著第二個問題想問
[00:00:40.000 --> 00:00:42.000]  有多少人在地鐵的出口
[00:00:42.000 --> 00:00:44.000]  旺的街頭巷尾
[00:00:44.000 --> 00:00:49.000]  或者甚至在附近
[00:00:49.000 --> 00:00:51.000]  有看過 聽過 拿過
[00:00:51.000 --> 00:00:53.000]  恩福的電影節目
[00:00:53.000 --> 00:00:55.000]  向你派傳單
[00:00:55.000 --> 00:00:56.000]  邀請你來的
[00:00:56.000 --> 00:00:58.000]  我請你舉手
[00:00:58.000 --> 00:01:01.000]  一隻手都沒有
[00:01:01.000 --> 00:01:04.000]  這個就是分別
[00:01:04.000 --> 00:01:06.000]  丁姐妹
[00:01:06.000 --> 00:01:10.000]  最近剛剛幾天前收到一份東西
[00:01:10.000 --> 00:01:13.000]  就是有感而發的
[00:01:13.000 --> 00:01:16.000]  一些的幕者講了出來
[00:01:16.000 --> 00:01:19.000]  整個的歐洲
[00:01:19.000 --> 00:01:22.000]  曾幾何時
[00:01:22.000 --> 00:01:25.000]  教會是叫做大多數
[00:01:25.000 --> 00:01:27.000]  但是現在
[00:01:27.000 --> 00:01:34.000]  已經成為一個被逼迫的小數
[00:01:34.000 --> 00:01:36.000]  美國
[00:01:36.000 --> 00:01:37.000]  加拿大
[00:01:37.000 --> 00:01:42.000]  同樣走緊這一條路
[00:01:42.000 --> 00:01:44.000]  我都給大家知道
[00:01:44.000 --> 00:01:46.000]  遲早有一天
[00:01:46.000 --> 00:01:49.000]  如果我們不急起直追
[00:01:49.000 --> 00:01:52.000]  我對這個福音沒有一種緊迫性
[00:01:52.000 --> 00:01:57.000]  傳福音也都全都無所謂
[00:01:57.000 --> 00:01:59.000]  然後被那些異端的邪教
[00:01:59.000 --> 00:02:01.000]  各方面的人
[00:02:01.000 --> 00:02:03.000]  霸佔街頭巷尾
[00:02:03.000 --> 00:02:05.000]  到處去傳
