
[00:00:00.000 --> 00:00:08.000]  今天會和大家一起思想的經文是加拉太書的第五章
[00:00:08.000 --> 00:00:10.760]  從第十六節到第十八節
[00:00:10.760 --> 00:00:12.760]  簡單的三節的經文
[00:00:12.760 --> 00:00:19.680]  今天和大家一起講的主題就是實踐神子民真正的自由生活
[00:00:19.680 --> 00:00:22.120]  好 讓我們先回到這段聖經裡面
[00:00:22.120 --> 00:00:25.640]  讓我們一起熟悉一下這段經文所講的內容
[00:00:25.640 --> 00:00:27.640]  如果大家弟兄姊妹有聖經的
[00:00:27.640 --> 00:00:32.760]  可以一起打開 我會和大家一起去讀和合本的版本
[00:00:32.760 --> 00:00:36.600]  我説你們當信著聖靈而行
[00:00:36.600 --> 00:00:39.320]  就不放縱肉體的情慾了
[00:00:39.320 --> 00:00:42.360]  因為情慾和聖靈相爭
[00:00:42.360 --> 00:00:44.920]  聖靈和情慾相爭
[00:00:44.920 --> 00:00:47.880]  這兩個是彼此相敵
[00:00:47.880 --> 00:00:51.320]  使你們不能做所願意做的
[00:00:51.320 --> 00:00:54.040]  但你們若被聖靈引導
[00:00:54.040 --> 00:00:57.040]  就不在律法而下
[00:00:57.040 --> 00:01:01.240]  不知道大家有沒有去過動物園看動物
[00:01:01.240 --> 00:01:05.160]  其實很多時候我們去到動物園的時候
[00:01:05.160 --> 00:01:10.440]  都會看到動物放在一個很大的籠子裡面
[00:01:10.440 --> 00:01:15.400]  或者是放在一個有圍欄圍住的
[00:01:15.400 --> 00:01:17.760]  規限了一個地方的裡面
[00:01:17.760 --> 00:01:22.760]  不過不知道大家每一次去看到動物的時候有什麼感受
[00:01:22.760 --> 00:01:27.160]  可能你會說那個籠子面積都很大
[00:01:27.160 --> 00:01:32.680]  或者那個被圍欄攔住的地方都頗為廣闊
[00:01:32.680 --> 00:01:35.880]  裡面又有充沛的食物
[00:01:35.880 --> 00:01:39.480]  如果動物肚餓可以說不需要擔心
[00:01:39.480 --> 00:01:43.880]  動物園的職員一定會送上充足的食物給他們
[00:01:43.880 --> 00:01:49.240]  動物也可以在這個環境裡面
[00:01:49.240 --> 00:01:52.280]  可以安心繁殖他們的下一代
[00:01:52.280 --> 00:01:57.480]  你可以看到動物在這個籠子裡面又跑又跳
[00:01:57.480 --> 00:01:59.960]  甚至有些攀爬
[00:01:59.960 --> 00:02:02.280]  我曾經看到有些猴子
[00:02:02.280 --> 00:02:05.960]  牠甚至在籠子裡面繩子被牠吊來吊去
[00:02:05.960 --> 00:02:07.800]  飛來飛去地跳
[00:02:07.800 --> 00:02:12.120]  最重要的就是這些動物在動物園裡面
[00:02:12.120 --> 00:02:18.520]  不用擔心有任何被其他兇猛的動物去攻擊他們
[00:02:18.520 --> 00:02:24.280]  所以很多人會覺得這些動物真的很幸福
[00:02:24.280 --> 00:02:28.040]  可以吃、可以玩、可以生活
[00:02:28.040 --> 00:02:30.520]  還可以生兒育女
[00:02:30.520 --> 00:02:35.560]  但不知道為什麼每一次當我去到這些動物園裡面的時候
[00:02:35.560 --> 00:02:41.320]  看到這些動物我總是有一種他們沒有自由的感覺
[00:02:41.320 --> 00:02:44.680]  很多時候這些動物
[00:02:44.680 --> 00:02:50.760]  牠們活在這些圍欄裡面或者籠子裡面都沒有什麼生氣
[00:02:50.760 --> 00:02:56.520]  每一隻都不是看到牠在睡覺就在那裡慢吞吞地走
