
[00:00:00.000 --> 00:00:03.600]  我們北宣家是全年的主題,大家記不記得?
[00:00:03.600 --> 00:00:07.200]  不用記,看到就行了,我們的周刊也有的
[00:00:07.200 --> 00:00:08.560]  讀一次好不好?
[00:00:08.560 --> 00:00:12.720]  復興生命關外家庭
[00:00:12.720 --> 00:00:16.160]  大家記得我們曾經說了很多關於家庭的信息
[00:00:16.160 --> 00:00:20.960]  這幾個月北宣家我們特別在《聖經》裏面研究一個個案
[00:00:20.960 --> 00:00:27.040]  看看究竟《聖經》裏面所說的復興是一回什麼事
[00:00:27.040 --> 00:00:28.880]  然後怎樣可以復興
[00:00:28.880 --> 00:00:33.440]  希望我們教會大家作為個別的基督徒在神的面前
[00:00:33.440 --> 00:00:35.680]  同樣有這樣的領袖
[00:00:35.680 --> 00:00:38.400]  今天我們研究一個復興的個案
[00:00:38.400 --> 00:00:48.080]  我們打開《聖經》,我們堂用《聖經》641頁
[00:00:48.080 --> 00:00:52.080]  歷代之下的第14和15章
[00:00:52.080 --> 00:00:56.480]  請大家打開《聖經》,因為剛才我們所讀的都是其中一個部分
[00:00:56.480 --> 00:00:59.520]  我們想看完這兩章《聖經》
[00:00:59.520 --> 00:01:02.320]  14和15章兩章《聖經》是一起的
[00:01:02.320 --> 00:01:06.560]  所以待會我會說跳來跳去,不過很可惜大家要揭來揭去
[00:01:06.560 --> 00:01:10.800]  不要緊的,《聖經》看多一點就沒問題,越看多越好
[00:01:10.800 --> 00:01:14.800]  所以我們打開《聖經》,我們一起研究一下這個個案
[00:01:14.800 --> 00:01:20.800]  阿撒王所帶來的由大國的復興的這個個案
[00:01:20.800 --> 00:01:24.000]  我記得我幾年前也說過這段《聖經》
[00:01:24.000 --> 00:01:28.720]  所以這次我試試從另一個角度,從復興的角度來說
[00:01:28.720 --> 00:01:33.600]  但是當中很多真理的部分是不能避免又要重複的
[00:01:33.600 --> 00:01:35.600]  所以大家應該也不會介意
[00:01:35.600 --> 00:01:39.120]  好,我們一起來看看這個阿撒王
[00:01:39.120 --> 00:01:43.040]  阿撒王是誰呢?阿撒王可能沒那麼熟
[00:01:43.040 --> 00:01:47.360]  但其實你知道以色列和由大國分裂之後
[00:01:47.360 --> 00:01:52.720]  南邊的由大國第三個王就是阿撒王
[00:01:52.720 --> 00:01:56.000]  第一個當然就是羅邦安
[00:01:56.000 --> 00:01:59.760]  羅邦安之後有一個人是不太熟悉的,叫做阿比亞
