
[00:00:00.000 --> 00:00:08.000]  聖靈我們都在祢的面前恭敬等候
[00:00:08.000 --> 00:00:12.000]  我們求祢親自來對我們說話
[00:00:12.000 --> 00:00:15.000]  在聖經的啟示中間
[00:00:15.000 --> 00:00:19.000]  讓我們明白祢的真理
[00:00:19.000 --> 00:00:23.000]  我們恭敬將今晚的時間交託恩主的手中
[00:00:23.000 --> 00:00:25.000]  除去我們身體的疲倦
[00:00:25.000 --> 00:00:28.000]  開我們心靈的眼睛
[00:00:28.000 --> 00:00:32.000]  讓我們見到祢話語的奇妙
[00:00:32.000 --> 00:00:34.000]  奉耶穌基督的名祈禱
[00:00:34.000 --> 00:00:41.000]  上一堂我們從上帝的名字耶和華
[00:00:41.000 --> 00:00:49.000]  開始看關於舊約聖經裡怎樣介紹上帝自己
[00:00:49.000 --> 00:00:55.000]  耶和華這個名字的問題不在於怎樣讀
[00:00:55.000 --> 00:00:57.000]  就算我們懂得問這個問題
[00:00:57.000 --> 00:01:00.000]  我們坦白說我們不懂得回答
[00:01:00.000 --> 00:01:02.000]  所以不是讀音讀法的問題
[00:01:02.000 --> 00:01:06.000]  我們今天不是一個原始的宗教
[00:01:06.000 --> 00:01:10.000]  要有正確對上帝的名字的讀法
[00:01:10.000 --> 00:01:13.000]  這樣就能夠祈禱上帝就聽了
[00:01:13.000 --> 00:01:16.000]  這個不是我們今天要關心的課題
[00:01:16.000 --> 00:01:19.000]  怎樣讀上帝的名字已經失傳
[00:01:19.000 --> 00:01:22.000]  所以我們看過很多猶太人他們的做法
[00:01:22.000 --> 00:01:25.000]  很多聖經翻譯館的做法
[00:01:25.000 --> 00:01:27.000]  對於耶和華這個翻譯
[00:01:27.000 --> 00:01:31.000]  我們知道是雖然不準確
[00:01:31.000 --> 00:01:34.000]  但是不一定需要反對它
[00:01:34.000 --> 00:01:37.000]  或者已經沿用了這麼久
[00:01:37.000 --> 00:01:39.000]  不過我們對於新的譯本也都尚主
[00:01:39.000 --> 00:01:41.000]  我們有個正確的了解
[00:01:41.000 --> 00:01:43.000]  這個是根據猶太人的傳統
[00:01:43.000 --> 00:01:46.000]  「Ado 9」這個備位的說法
[00:01:46.000 --> 00:01:49.000]  在同一段的經文裡
[00:01:49.000 --> 00:01:52.000]  其實也帶出了第二個的問題
[00:01:52.000 --> 00:01:54.000]  除了關於上帝的名字
[00:01:54.000 --> 00:01:56.000]  應該怎樣解釋
[00:01:56.000 --> 00:02:04.000]  也都牽涉到上帝和以色列的列祖的關係
[00:02:04.000 --> 00:02:06.000]  上帝這個名字
[00:02:06.000 --> 00:02:08.000]  耶和華在出埃及的時候
[00:02:08.000 --> 00:02:11.000]  向摩西來啟示
[00:02:11.000 --> 00:02:14.000]  我們強調是在這個處境當中
[00:02:14.000 --> 00:02:18.000]  有很重要的訊息
[00:02:18.000 --> 00:02:21.000]  上帝的名字表示
[00:02:21.000 --> 00:02:25.000]  祂在祂的子民中間
[00:02:25.000 --> 00:02:29.000]  在以色列受苦的處境裡
[00:02:29.000 --> 00:02:34.000]  上帝並沒有忘記
[00:02:34.000 --> 00:02:36.000]  上帝並沒有忽略
[00:02:36.000 --> 00:02:38.000]  上帝說我在這裡
[00:02:38.000 --> 00:02:40.000]  我在這裡
[00:02:40.000 --> 00:02:45.000]  但是在這段時間之前
[00:02:45.000 --> 00:02:49.000]  《春夏及記》第三章和第六章
[00:02:49.000 --> 00:02:53.000]  上一次我們都看過這兩節的經文
[00:02:53.000 --> 00:02:55.000]  就很清楚地提到
[00:02:55.000 --> 00:02:58.000]  上帝對以色列的祖先
[00:02:58.000 --> 00:03:00.000]  阿伯拉罕以撒瓦國
[00:03:00.000 --> 00:03:06.000]  是以另外一個名字來和他們來往
[00:03:06.000 --> 00:03:07.000]  我們提過
[00:03:07.000 --> 00:03:10.000]  如果我們讀《創世紀》的時候
[00:03:10.000 --> 00:03:12.000]  就這樣讀 我們不讀《春夏及記》
[00:03:12.000 --> 00:03:14.000]  我們是不發覺這個問題的
[00:03:14.000 --> 00:03:15.000]  因為《創世紀》裡面
