
[00:00:00.000 --> 00:00:06.300]  因為平安 從天國上帝並主耶穌基督
[00:00:06.300 --> 00:00:09.780]  歸於每位弟兄姊妹 誠心所願
[00:00:09.780 --> 00:00:13.680]  這個題目有點怪 伊斯蘭
[00:00:13.680 --> 00:00:17.660]  不過我們今天說阿伯拉罕的神
[00:00:17.660 --> 00:00:21.900]  剛才讀了經文就說到
[00:00:21.900 --> 00:00:28.000]  撒萊的婢女夏格為阿伯拉罕生了一個兒子
[00:00:28.000 --> 00:00:30.300]  叫以實瑪利
[00:00:30.300 --> 00:00:41.760]  這段經文未完的 所以我們再讀21章9到21節
[00:00:41.760 --> 00:00:43.200]  我們一起讀
[00:00:43.200 --> 00:00:50.260]  那時撒拉罕見埃及人夏格為阿伯拉罕所生的兒子希紹
[00:00:50.260 --> 00:00:55.760]  就對阿伯拉罕說 你把這婢女和她兒子趕出去
[00:00:55.760 --> 00:01:01.960]  因為這使女的兒子不可與我的兒子以實一同承受產業
[00:01:01.960 --> 00:01:07.880]  阿伯拉罕為這事非常憂愁 因為關乎她的兒子
[00:01:07.880 --> 00:01:13.700]  神對阿伯拉罕說 你不必為這孩子和你的使女憂愁
[00:01:13.700 --> 00:01:17.160]  撒拉對你的你要聽從
[00:01:17.160 --> 00:01:21.520]  因為從以實生的 誓要稱為你的後裔
[00:01:21.520 --> 00:01:28.320]  至於使女的兒子 我也必使她成為一個 因為她是你的後裔
[00:01:28.320 --> 00:01:34.080]  阿伯拉罕清早起來 拿餅和一皮袋手 吸了夏格
[00:01:34.080 --> 00:01:38.320]  踏在她肩上 把她和孩子一起送走
[00:01:38.320 --> 00:01:43.320]  夏格就走了 但她卻在別是花的曠野流浪
[00:01:43.320 --> 00:01:49.360]  皮袋的水用完了 夏格就把孩子放在一個小樹下
[00:01:49.360 --> 00:01:54.240]  自己走開 若有一箭之魚 相對而坐 說:
[00:01:54.240 --> 00:01:57.000]  「我不忍心看見孩子死」
[00:01:57.000 --> 00:02:00.240]  她就坐在對面 放聲大哭
[00:02:00.240 --> 00:02:02.480]  神聽見孩子的聲音
[00:02:02.480 --> 00:02:06.120]  神的使者就從天上呼叫夏格 說:
[00:02:06.120 --> 00:02:08.600]  「夏格 你為何這樣呢?」
[00:02:08.600 --> 00:02:13.560]  「不要害怕 神已經聽見孩子在那裡的聲音了」
[00:02:13.560 --> 00:02:17.960]  「起來 把孩子扶起來 用你的手握住她」
[00:02:17.960 --> 00:02:20.840]  「因我必使她成為大國」
[00:02:20.840 --> 00:02:25.240]  神開了夏格的眼睛 她就看見一口水井
[00:02:25.240 --> 00:02:29.760]  她就去 把皮袋裝滿了水 吸孩子喝
[00:02:29.760 --> 00:02:33.840]  神與這孩子同在 她就漸漸長大
[00:02:33.840 --> 00:02:37.240]  住在曠野 成了一個弓箭手
[00:02:37.240 --> 00:02:39.600]  她住在巴蘭的曠野
[00:02:39.600 --> 00:02:43.800]  她母親從埃及地為她娶了一個妻子
[00:02:43.800 --> 00:02:47.360]  以實瑪利是阿伯拉罕的長子
[00:02:47.360 --> 00:02:53.520]  但是撒拉為她所生的以實是英許所生
[00:02:53.520 --> 00:02:57.320]  剛才我們看到那段經文
[00:02:57.320 --> 00:02:59.320]  神怎麼跟阿伯拉罕說
[00:02:59.320 --> 00:03:04.720]  因為從以實生的 才要稱為你的後裔
[00:03:04.720 --> 00:03:06.600]  其實這裡是說英許
[00:03:06.600 --> 00:03:08.560]  從以實而出
[00:03:08.560 --> 00:03:12.560]  阿伯拉罕與神立約之後有大衛
[00:03:12.560 --> 00:03:14.080]  後來有耶穌基督
[00:03:14.080 --> 00:03:17.320]  這個救贖的英許是從以實
[00:03:17.320 --> 00:03:20.320]  而出 但是這段經文
[00:03:20.320 --> 00:03:22.320]  另外一句是很重要的
[00:03:22.320 --> 00:03:25.720]  至於使女的兒子 即是以實瑪利
[00:03:25.720 --> 00:03:28.120]  我必使她成為一個
[00:03:28.120 --> 00:03:31.120]  因為她是你的後裔
[00:03:31.120 --> 00:03:35.920]  作者用了兩個完全相同的字
[00:03:35.920 --> 00:03:40.720]  就是你的後裔 去說以實
[00:03:40.720 --> 00:03:45.320]  亦都用你的後裔去說以實瑪利
[00:03:45.320 --> 00:03:48.320]  換句話說 以實和以實瑪利
[00:03:48.320 --> 00:03:51.520]  這兩族人都是阿伯拉罕的後裔
[00:03:51.520 --> 00:03:55.120]  在今天 基本上阿拉伯人
[00:03:55.120 --> 00:04:02.120]  他們是承認阿伯拉罕是他們的祖先
[00:04:02.120 --> 00:04:05.120]  並且他們追隨阿伯拉罕
[00:04:05.120 --> 00:04:07.120]  敬拜阿伯拉罕的神
[00:04:07.120 --> 00:04:10.120]  在創世紀十七章二十節
[00:04:10.120 --> 00:04:12.920]  上帝還補充了一句說話
[00:04:12.920 --> 00:04:16.320]  至於以實瑪利 我也應允你
[00:04:16.320 --> 00:04:20.320]  我必賜福給他 使他昌盛極其繁多
[00:04:20.320 --> 00:04:24.320]  他必生十二個族長 我也要使他成為大國
[00:04:24.320 --> 00:04:28.320]  阿拉伯這個大族在今天
[00:04:28.320 --> 00:04:33.320]  在這個世界上成為一個最主要的
[00:04:33.320 --> 00:04:36.320]  伊斯蘭教的一個大族
[00:04:36.320 --> 00:04:39.320]  在我們身邊有很多印尼的姐姐
[00:04:39.320 --> 00:04:40.320]  他們信伊斯蘭教
[00:04:40.320 --> 00:04:43.320]  也有很多南亞的人信伊斯蘭教
[00:04:43.320 --> 00:04:45.320]  我們怎樣看這個宗教
[00:04:45.320 --> 00:04:47.320]  這個宗教和基督教有什麼分別
[00:04:47.320 --> 00:04:50.320]  在過去有很多資訊給我們看
[00:04:50.320 --> 00:04:52.320]  這個宗教是恐怖主義
[00:04:52.320 --> 00:04:56.320]  或者是很邪惡 很暴力
[00:04:56.320 --> 00:04:59.320]  我們有很多錯誤的觀點
[00:04:59.320 --> 00:05:02.320]  今天我們從聖經裏面看
[00:05:02.320 --> 00:05:07.320]  這個民族其實都是阿伯拉罕的後裔
[00:05:07.320 --> 00:05:11.320]  2001年911之後 恐怖襲擊
[00:05:11.320 --> 00:05:15.320]  在美國很多保守派的基督徒
[00:05:15.320 --> 00:05:18.320]  對伊斯蘭的看法是非常負面
[00:05:18.320 --> 00:05:21.320]  例如電視報道家羅伯森公開說
[00:05:21.320 --> 00:05:25.320]  伊斯蘭教本質上是暴力邪惡的
[00:05:25.320 --> 00:05:27.320]  而這種暴力和邪惡
[00:05:27.320 --> 00:05:32.320]  基本上就成為了很多人對伊斯蘭的看法
[00:05:32.320 --> 00:05:40.320]  1993年哈佛的教授叫做亨廷頓
[00:05:40.320 --> 00:05:43.320]  他寫了一本書很有名的
[00:05:43.320 --> 00:05:47.320]  有得賣的 你去誠品 去很多書局
[00:05:47.320 --> 00:05:49.320]  叫做文明衝突論
[00:05:49.320 --> 00:05:52.320]  他講了九個的文明
[00:05:52.320 --> 00:05:55.320]  其中有兩個造成了世界不穩定
[00:05:55.320 --> 00:05:59.320]  這兩個呢 第一個就是伊斯蘭
[00:05:59.320 --> 00:06:02.320]  第二個你猜猜是誰 是中國
[00:06:02.320 --> 00:06:07.320]  不說中國了 先說伊斯蘭
[00:06:07.320 --> 00:06:09.320]  他認為過去1400多年
[00:06:09.320 --> 00:06:14.320]  伊斯蘭和西方是在衝突裏面
[00:06:14.320 --> 00:06:19.320]  事實上衝突最嚴重就是在1200年
[00:06:19.320 --> 00:06:23.320]  十字軍東征在耶路撒冷當時所造成
[00:06:23.320 --> 00:06:28.320]  因為當時耶路撒冷落在回教徒
[00:06:28.320 --> 00:06:30.320]  或者伊斯蘭的手裏面
[00:06:30.320 --> 00:06:35.320]  斷絕了西方人去耶路撒冷的朝拜
[00:06:35.320 --> 00:06:40.320]  因此十字軍上來就要剿滅這些回教徒
[00:06:40.320 --> 00:06:42.320]  第一次十字軍東征很成功
[00:06:42.320 --> 00:06:44.320]  打進耶路撒冷
[00:06:44.320 --> 00:06:48.320]  但是他做了一件事就成為了歷史上的黑點
[00:06:48.320 --> 00:06:52.320]  就是他將耶路撒冷所有的伊斯蘭教人全部殺了
[00:06:52.320 --> 00:06:56.320]  男女老幼應系孕婦一個不放過
[00:06:56.320 --> 00:07:00.320]  這件事就成為了伊斯蘭對於西方基督徒
[00:07:00.320 --> 00:07:02.320]  一個很負面的看法
[00:07:02.320 --> 00:07:05.320]  他就說你攻入我們的地方將我們全部殺了
[00:07:05.320 --> 00:07:09.320]  但歷史上我們從來沒有這樣殺過你們
[00:07:09.320 --> 00:07:12.320]  所以這件事成為今天的口實
[00:07:12.320 --> 00:07:14.320]  就是對於西方的看法
[00:07:14.320 --> 00:07:21.320]  之後現代的神學有一個叫時代論
[00:07:21.320 --> 00:07:27.320]  大家可能不是很熟悉 時代論我很熟悉
[00:07:27.320 --> 00:07:32.320]  因為我第一次在加拿大牧會的時候
[00:07:32.320 --> 00:07:35.320]  當時的人就一直和我討論時代論
[00:07:35.320 --> 00:07:39.320]  我記得牧會的教會長老很厲害
[00:07:39.320 --> 00:07:41.320]  讀很多書 讀很多神學書
[00:07:41.320 --> 00:07:43.320]  以前的牧師怎麼走呢?
[00:07:43.320 --> 00:07:45.320]  就是因為牧師說不到
[00:07:45.320 --> 00:07:47.320]  那些長老就說你哪裏要看什麼書
[00:07:47.320 --> 00:07:49.320]  第幾章第幾頁
[00:07:49.320 --> 00:07:51.320]  牧師受不了就走了
[00:07:51.320 --> 00:07:53.320]  輪到我了
[00:07:53.320 --> 00:07:57.320]  去牧會的時候長老一樣和我說時代論
[00:07:57.320 --> 00:07:59.320]  叫我看書 看什麼書
[00:07:59.320 --> 00:08:01.320]  我就罵他
[00:08:01.320 --> 00:08:03.320]  我給你那些差的書看
[00:08:03.320 --> 00:08:05.320]  我給你好的書看
[00:08:05.320 --> 00:08:07.320]  之後他不敢再送書給我了
[00:08:07.320 --> 00:08:09.320]  時代論說什麼呢?
[00:08:09.320 --> 00:08:11.320]  長話短說 因為我今天很少時間
[00:08:11.320 --> 00:08:14.320]  他認為這個世界分七個時代
[00:08:14.320 --> 00:08:16.320]  現在最後這個所謂國道時代
[00:08:16.320 --> 00:08:19.320]  就是上帝應許耶穌要回來
[00:08:19.320 --> 00:08:21.320]  沒有問題 耶穌是會回來
[00:08:21.320 --> 00:08:24.320]  但是時代論犯下最大的錯誤是什麼呢?
