
[00:00:00.000 --> 00:00:06.000]  今晚我們來到以色列書第22章
[00:00:06.000 --> 00:00:09.000]  上星期我們沒有課程
[00:00:09.000 --> 00:00:13.000]  但在前兩個星期我們查20章的時候
[00:00:13.000 --> 00:00:20.000]  你記得20章神是將以色列人過去的醜惡歷史
[00:00:20.000 --> 00:00:23.000]  很清楚的跟他們說
[00:00:23.000 --> 00:00:27.000]  由他們在埃及的時候
[00:00:27.000 --> 00:00:33.000]  第20章第8節給我們看到一些資料
[00:00:33.000 --> 00:00:36.000]  在初開合記沒有的
[00:00:36.000 --> 00:00:42.000]  就是他們在埃及的時候原來有拜埃及人的偶像
[00:00:42.000 --> 00:00:46.000]  所以他們在埃及習慣了那種生活
[00:00:46.000 --> 00:00:49.000]  完全與埃及人同化
[00:00:49.000 --> 00:00:53.000]  甚至雖然在那裡後來做奴隸
[00:00:53.000 --> 00:00:55.000]  他都覺得那種生活是很好的
[00:00:55.000 --> 00:00:59.000]  通常在最終的生活那種最終的快樂
[00:00:59.000 --> 00:01:03.000]  是會令到你覺得很陶醉的
[00:01:03.000 --> 00:01:08.000]  所以他們在埃及地已經是離棄神
[00:01:08.000 --> 00:01:10.000]  已經是拜偶像
[00:01:10.000 --> 00:01:15.000]  神興起摩西來帶領他們出埃及
[00:01:15.000 --> 00:01:18.000]  在他們面前是行了神蹟的
[00:01:18.000 --> 00:01:21.000]  將紅海分開帶領他們經過
[00:01:21.000 --> 00:01:23.000]  在他們面前行神蹟
[00:01:23.000 --> 00:01:26.000]  都是用雲柱火柱來帶領他們
[00:01:26.000 --> 00:01:29.000]  也用馬阿拿鵪鶉來餵他們
[00:01:29.000 --> 00:01:32.000]  其實他們都看到神的作為
[00:01:32.000 --> 00:01:35.000]  但是他們在抗疫的時候
[00:01:35.000 --> 00:01:38.000]  一有機會又想回到埃及
[00:01:38.000 --> 00:01:41.000]  一有困難的時候就埋怨摩西
[00:01:41.000 --> 00:01:43.000]  為什麼你帶我出來
[00:01:43.000 --> 00:01:46.000]  我在埃及生活得這麼好又有東西吃
[00:01:46.000 --> 00:01:49.000]  他們忘記了在埃及是圍爐的
[00:01:49.000 --> 00:01:52.000]  在抗疫的時候摩西上山
[00:01:52.000 --> 00:01:54.000]  在那裡弄了一隻牛來拜
[00:01:54.000 --> 00:01:58.000]  也是將那種在埃及地拜偶像的習慣
[00:01:58.000 --> 00:02:00.000]  帶出去抗疫那裡
[00:02:00.000 --> 00:02:05.000]  第20章神繼續將過去的歷史告訴他們
[00:02:05.000 --> 00:02:08.000]  他們進入了迦南地之後
[00:02:08.000 --> 00:02:13.000]  一樣是跟迦南地的外邦人拜偶像
[00:02:13.000 --> 00:02:15.000]  而且在聖經裡面我們看到
[00:02:15.000 --> 00:02:20.000]  他們拜偶像可能比外邦人更加厲害
[00:02:20.000 --> 00:02:22.000]  外邦人獻英鞋
[00:02:22.000 --> 00:02:24.000]  他們也一樣獻英鞋
[00:02:24.000 --> 00:02:29.000]  所以是尼西臣拜偶像
[00:02:29.000 --> 00:02:32.000]  然後到第21章以西傑書第21章
[00:02:32.000 --> 00:02:35.000]  前一次我們看到神說到刀
[00:02:35.000 --> 00:02:37.000]  鋒利的刀
[00:02:37.000 --> 00:02:38.000]  很快的刀
[00:02:38.000 --> 00:02:42.000]  神的審判快要來到他們了
[00:02:42.000 --> 00:02:45.000]  在這段時間我們說
[00:02:45.000 --> 00:02:50.000]  耶路撒冷被巴比倫攻陷
[00:02:50.000 --> 00:02:54.000]  主前586年只有5年的時間
[00:02:54.000 --> 00:02:56.000]  已經到尾聲了
[00:02:56.000 --> 00:02:59.000]  其實我們今晚查22章
[00:02:59.000 --> 00:03:01.000]  下次再查23章
[00:03:01.000 --> 00:03:05.000]  到第24章巴比倫攻入耶路撒冷
[00:03:05.000 --> 00:03:10.000]  所以我們已經到他們命運的尾聲了
[00:03:10.000 --> 00:03:12.000]  在這段時間
[00:03:12.000 --> 00:03:15.000]  我們透過兩位先知
[00:03:15.000 --> 00:03:18.000]  用很嚴厲的說話來提醒他們
[00:03:18.000 --> 00:03:20.000]  在耶路撒冷那裡
[00:03:20.000 --> 00:03:22.000]  用哪一位先知呢
