
[00:00:00.000 --> 00:00:02.000]  (字幕君:我地係咁嘅)
[00:00:03.000 --> 00:00:05.000]  好啦,咁頭先呢可以咁講呢就係呢
[00:00:05.000 --> 00:00:08.000]  大家如果見個人畫呢D嘅素描呢
[00:00:08.000 --> 00:00:10.000]  好多時候呢真係
[00:00:10.000 --> 00:00:12.000]  咁樣畫十筆八筆呢
[00:00:12.000 --> 00:00:13.000]  畫到輪廓先
[00:00:13.000 --> 00:00:15.000]  咁跟住再呢度又畫頭髮啦
[00:00:15.000 --> 00:00:19.000]  其實頭先楊希臘未知我未講完㗎其實呢
[00:00:19.000 --> 00:00:21.000]  我頭先只係畫咗個輪廓㗎啫
[00:00:21.000 --> 00:00:24.000]  咁我叫特別係杜峰山多個同工呢
[00:00:24.000 --> 00:00:26.000]  幫我手打咗多quotation
[00:00:26.000 --> 00:00:27.000]  大家見到咁多版呢我自己打唔切㗎
[00:00:27.000 --> 00:00:28.000]  佢打同埋呢
[00:00:28.000 --> 00:00:29.000]  佢插出嚟
[00:00:29.000 --> 00:00:30.000]  咁我再整你個
[00:00:30.000 --> 00:00:32.000]  咁所以我都會
[00:00:32.000 --> 00:00:34.000]  其實頭先都七張個密落都講咗
[00:00:34.000 --> 00:00:36.000]  咁咁因為時間唔夠呢
[00:00:36.000 --> 00:00:37.000]  第七張基本上唔講㗎啦
[00:00:37.000 --> 00:00:39.000]  就主要由第一張講到第六張
[00:00:39.000 --> 00:00:41.000]  即係都係要跳好多
[00:00:41.000 --> 00:00:43.000]  咁呢就而家再睇返少少一啲嘅
[00:00:43.000 --> 00:00:46.000]  即係一啲嘅再highlight返每一張
[00:00:46.000 --> 00:00:47.000]  一啲quotation
[00:00:47.000 --> 00:00:48.000]  特別有啲精彩嘅
[00:00:48.000 --> 00:00:49.000]  咁同大家講一講下
[00:00:49.000 --> 00:00:50.000]  頭先講過啦
[00:00:50.000 --> 00:00:51.000]  講到卡尼嗰度呢
[00:00:51.000 --> 00:00:52.000]  佢已經講到呢一個
[00:00:52.000 --> 00:00:55.000]  嗰個嘅限制啦
[00:00:55.000 --> 00:00:56.000]  就話其實佢將呢個
[00:00:56.000 --> 00:00:59.000]  即係個張主觀同客觀細嘅分得睇開呢
[00:00:59.000 --> 00:01:01.000]  就帶嚟一種嘅Jewelous 甚至係二元盾
[00:01:01.000 --> 00:01:03.000]  我睇第二版
[00:01:03.000 --> 00:01:04.000]  另外一個佢就都
[00:01:04.000 --> 00:01:06.000]  Hans Klung 指出咗話呢
[00:01:06.000 --> 00:01:07.000]  即係其實數學
[00:01:07.000 --> 00:01:08.000]  好多時候呢
[00:01:08.000 --> 00:01:10.000]  Decalci 就用數學嘅模式
[00:01:10.000 --> 00:01:11.000]  佢認為一切呢
[00:01:11.000 --> 00:01:13.000]  係源於一啲叫做
[00:01:13.000 --> 00:01:15.000]  Clear and distinct ideas
[00:01:15.000 --> 00:01:18.000]  呢啲呢好明確清晰嘅概念
[00:01:18.000 --> 00:01:20.000]  就係好似數學啲公理咁樣㗎
[00:01:20.000 --> 00:01:22.000]  咁但係當時佢以為數學公理
[00:01:22.000 --> 00:01:24.000]  大家都有共識冇懷疑嘅
[00:01:24.000 --> 00:01:26.000]  咁但係去到後期呢
[00:01:26.000 --> 00:01:28.000]  開發到原來係幾學裏面呢
[00:01:28.000 --> 00:01:30.000]  一個所謂Euclidean Geometry 同埋
[00:01:30.000 --> 00:01:32.000]  Non-Euclidean Geometry 呢
[00:01:32.000 --> 00:01:34.000]  大家可以透過兩種唔同嘅公理
[00:01:34.000 --> 00:01:37.000]  兩個都可以成立嘅
[00:01:37.000 --> 00:01:38.000]  但可以開展出兩套
[00:01:38.000 --> 00:01:40.000]  完全唔同嘅數學系統出嚟
[00:01:40.000 --> 00:01:42.000]  咁開始就質疑就究竟數學
[00:01:42.000 --> 00:01:43.000]  如果都有分歧
[00:01:43.000 --> 00:01:44.000]  咁係數學根基
[00:01:44.000 --> 00:01:45.000]  係咪就能夠擴立呢
[00:01:45.000 --> 00:01:48.000]  理性如果數學上面都冇Certainty
[00:01:48.000 --> 00:01:50.000]  點能喺其他上面有Certainty呢
[00:01:50.000 --> 00:01:51.000]  咁樣
[00:01:51.000 --> 00:01:53.000]  跟住第二個Cultation 再後面都講到呢
[00:01:53.000 --> 00:01:55.000]  所以絕對懷疑係唔可能嘅
[00:01:55.000 --> 00:01:56.000]  好多時候呢好多人成日解釋
[00:01:56.000 --> 00:01:58.000]  咩都可以懷疑
[00:01:58.000 --> 00:02:00.000]  咁但係其實好多人再睇返
