
[00:00:00.000 --> 00:00:05.000]  農曆年最後一個主日
[00:00:05.000 --> 00:00:08.000]  我們來聽主給我們的訊息
[00:00:08.000 --> 00:00:11.000]  聖靈向宗教會所說的話
[00:00:11.000 --> 00:00:16.000]  凡有疑的就應當聽
[00:00:16.000 --> 00:00:18.000]  這一番的說話
[00:00:18.000 --> 00:00:20.000]  在七個的教會
[00:00:20.000 --> 00:00:22.000]  七次的重複了
[00:00:22.000 --> 00:00:23.000]  在我們今天
[00:00:23.000 --> 00:00:26.000]  我們要聽這一位掌握著
[00:00:26.000 --> 00:00:29.000]  神的七靈和七星的
[00:00:29.000 --> 00:00:31.000]  這一位的耶穌基督
[00:00:31.000 --> 00:00:33.000]  聽他的說話
[00:00:33.000 --> 00:00:36.000]  什麼叫掌握七靈和七星呢
[00:00:36.000 --> 00:00:39.000]  有他很詳盡的解釋
[00:00:39.000 --> 00:00:41.000]  我們未必知道
[00:00:41.000 --> 00:00:43.000]  最準確的是哪一個
[00:00:43.000 --> 00:00:47.000]  但大概離不開那個真理
[00:00:47.000 --> 00:00:49.000]  就是耶穌基督
[00:00:49.000 --> 00:00:50.000]  聖靈在他身上
[00:00:50.000 --> 00:00:53.000]  充充滿滿是無可限量的
[00:00:53.000 --> 00:00:56.000]  在上帝的靈裏面
[00:00:56.000 --> 00:00:58.000]  他有一切的恩典
[00:00:58.000 --> 00:00:59.000]  一切的能力
[00:00:59.000 --> 00:01:01.000]  一切的智慧
[00:01:01.000 --> 00:01:03.000]  他掌握的七星
[00:01:03.000 --> 00:01:04.000]  就是這個教會
[00:01:04.000 --> 00:01:08.000]  盡在耶穌基督的掌管之中
[00:01:08.000 --> 00:01:10.000]  教會從來
[00:01:10.000 --> 00:01:14.000]  只是屬於元首耶穌基督一位
[00:01:14.000 --> 00:01:16.000]  那麼這個說話
[00:01:16.000 --> 00:01:18.000]  介紹耶穌基督
[00:01:18.000 --> 00:01:21.000]  作為掌握這個七靈和七星
[00:01:21.000 --> 00:01:23.000]  有什麼意思呢
[00:01:23.000 --> 00:01:24.000]  會不會就是說
[00:01:24.000 --> 00:01:27.000]  他完全洞察一切
[00:01:27.000 --> 00:01:29.000]  他監察著一切
[00:01:29.000 --> 00:01:32.000]  知道教會的一切
[00:01:32.000 --> 00:01:34.000]  同時間他亦都是
[00:01:34.000 --> 00:01:37.000]  負責他所愛的教會
[00:01:37.000 --> 00:01:40.000]  他用重價買回來的這個群體
[00:01:40.000 --> 00:01:43.000]  他永遠永遠都為他負責
[00:01:43.000 --> 00:01:45.000]  或者在我們的生命裏面
[00:01:45.000 --> 00:01:46.000]  我們能夠想到
[00:01:46.000 --> 00:01:49.000]  我們的主是顧念我們那一位
[00:01:49.000 --> 00:01:51.000]  他是無微不至的
[00:01:51.000 --> 00:01:52.000]  事無大小的
[00:01:52.000 --> 00:01:54.000]  他都顧念我們
[00:01:54.000 --> 00:01:56.000]  我們的心可以安樂
[00:01:56.000 --> 00:01:59.000]  同時間我們都不能夠隨便
[00:01:59.000 --> 00:02:00.000]  不能夠馬虎
[00:02:00.000 --> 00:02:02.000]  不能夠苟且
[00:02:02.000 --> 00:02:06.000]  因為他是監察我們一言一行
[00:02:06.000 --> 00:02:07.000]  就是今天我們看他對
[00:02:07.000 --> 00:02:10.000]  撒迪教會所說的話
[00:02:10.000 --> 00:02:12.000]  或者聽起來都不是很自在
[00:02:12.000 --> 00:02:15.000]  都不是很舒服
[00:02:15.000 --> 00:02:17.000]  我知道你的行為
[00:02:17.000 --> 00:02:19.000]  按名字你是活的
[00:02:19.000 --> 00:02:22.000]  其實你是死的
[00:02:22.000 --> 00:02:24.000]  如果主今天對我們這樣說
[00:02:24.000 --> 00:02:26.000]  我們會怎樣做呢
[00:02:26.000 --> 00:02:28.000]  看你的外表
[00:02:28.000 --> 00:02:31.000]  好像是很多東西
[00:02:31.000 --> 00:02:34.000]  但是看你的內心卻是沒有東西
[00:02:34.000 --> 00:02:36.000]  看你好像是很活潑
[00:02:36.000 --> 00:02:38.000]  但其實你在神面前
[00:02:38.000 --> 00:02:41.000]  卻是死氣沉沉
[00:02:41.000 --> 00:02:44.000]  到底我們今天來到這個年底
[00:02:44.000 --> 00:02:45.000]  最後一個主日
[00:02:45.000 --> 00:02:47.000]  我們想怎樣呢
[00:02:47.000 --> 00:02:50.000]  也許這個信息是可以幫助我們
[00:02:50.000 --> 00:02:53.000]  就是在這個年尾的時候
[00:02:53.000 --> 00:02:55.000]  能夠洗垃圾
[00:02:55.000 --> 00:02:57.000]  能夠清除一切的污穢
[00:02:57.000 --> 00:03:00.000]  能夠在主的面前有更新改變
[00:03:00.000 --> 00:03:02.000]  撒迪那個地方
[00:03:02.000 --> 00:03:08.000]  是一個在軍事上非常險要的堡壘
[00:03:08.000 --> 00:03:10.000]  所以是可以高枕無憂
[00:03:10.000 --> 00:03:12.000]  在商業方面
