
[00:00:00.000 --> 00:00:08.000]  多謝大家,我們可以很輕鬆的在下午一起聊聊關於我們的子女
[00:00:08.000 --> 00:00:15.000]  有沒有打出來的?有個powerpoint的了,先看看題目
[00:00:15.000 --> 00:00:23.000]  這個題目是你們給我的,所以我就按照我自己所認識的和大家說一下
[00:00:23.000 --> 00:00:43.000]  出了沒有?出了先
[00:00:43.000 --> 00:00:53.000]  今天海外華人如何可以鼓勵自己的子女能夠承受中國傳統美德
[00:00:53.000 --> 00:01:00.000]  這個題目我相信大家都很關心,剛才你可能知道一點我的背景
[00:01:00.000 --> 00:01:05.000]  我研究西方的文化和哲學,英國牛津
[00:01:05.000 --> 00:01:13.000]  後來在中文大學再讀一個哲學博士,特別研究中國哲學
[00:01:13.000 --> 00:01:22.000]  14年在香港中文大學我教比較的哲學和宗教各方面
[00:01:22.000 --> 00:01:26.000]  但還有一件事剛才沒有介紹,我覺得很重要的
[00:01:26.000 --> 00:01:37.000]  我1989年全家移民到加拿大的多倫多,所以我在加拿大都有26年的時間
[00:01:37.000 --> 00:01:45.000]  我女兒去的時候是三年級,在加拿大長大,相信和大家很接近
[00:01:45.000 --> 00:01:52.000]  我自己的女兒也是在西方的文化,加拿大的文化里長大成為一個中國人
[00:01:52.000 --> 00:01:58.000]  所以這種經驗和掙扎我相信和大家有一種共鳴的地方
[00:01:58.000 --> 00:02:06.000]  所以今天我試一下用一些理論,從中國父親的角度來看這個問題
[00:02:06.000 --> 00:02:10.000]  不一定是完全成功,不過我也是想了很多這方面
[00:02:10.000 --> 00:02:16.000]  在這方面我也發表了不同的文章,今天試一下很輕鬆的和大家說說
[00:02:16.000 --> 00:02:24.000]  大家不要那麼緊張,等一下我會講完所有時間,不然很辛苦的,下午的教法
[00:02:24.000 --> 00:02:30.000]  我都沒有穿西裝上來,我講的大概45分鐘左右
[00:02:30.000 --> 00:02:34.000]  我們有些時間可以Q&A和大家可以問問題
[00:02:34.000 --> 00:02:39.000]  我相信那些才更實際,你有什麼提議,你不一定只要問我
[00:02:39.000 --> 00:02:45.000]  你可以有什麼提議,你也可以說我的經驗很精彩,我教導小孩這樣
[00:02:45.000 --> 00:02:50.000]  給大家參考一下,千萬不要吝嗇
[00:02:50.000 --> 00:02:53.000]  我們有沒有麥克風,等一下可以給大家講一下
[00:02:53.000 --> 00:02:59.000]  有無線麥,請你發表一下意見,也可以問一下
[00:02:59.000 --> 00:03:03.000]  甚至你說我不是很贊成你剛才說的那些,我們不應該學那些東西
[00:03:03.000 --> 00:03:06.000]  那也行,我們可以很自由地討論
[00:03:06.000 --> 00:03:11.000]  你不用擔心,你不用贊成我的看法,我不會生氣的
[00:03:11.000 --> 00:03:14.000]  不過你不要打我,我不夠你打的
[00:03:14.000 --> 00:03:19.000]  不要人身攻擊就行了,有理由的,我覺得都有權可以說
[00:03:19.000 --> 00:03:21.000]  有理由就有權發言的了
[00:03:21.000 --> 00:03:26.000]  好了,我們不要說那麼多,我們先講一下我們的子女
[00:03:26.000 --> 00:03:31.000]  在這裡長大,我們帶他們來,我們當然希望他們有個好的生活
