
[00:00:00.000 --> 00:00:09.000]  各位觀眾 今天繼續講史特恆傳
[00:00:09.000 --> 00:00:15.000]  上星期Arthur Kennedy講了教會的挑戰
[00:00:15.000 --> 00:00:19.000]  提到上帝是興萬不得的
[00:00:19.000 --> 00:00:23.000]  亦提到教會是信心的群體
[00:00:23.000 --> 00:00:26.000]  又不是求自己的益處
[00:00:26.000 --> 00:00:33.000]  承接這個意思 我今天就和大家看史特恆傳第七章
[00:00:33.000 --> 00:00:37.000]  就是有關史提反
[00:00:37.000 --> 00:00:41.000]  如果我們看史特恆傳第七章的時候
[00:00:41.000 --> 00:00:44.000]  你會覺得很悶的
[00:00:44.000 --> 00:00:46.000]  因為這張聖經很長
[00:00:46.000 --> 00:00:51.000]  將舊的歷史濃縮在一章裏面
[00:00:51.000 --> 00:01:01.000]  很多歷代研究聖經的人都認為史提反這篇道是很差勁的
[00:01:01.000 --> 00:01:05.000]  沒有什麼挑戰 只是重複歷史
[00:01:05.000 --> 00:01:11.000]  並且很悶 覺得他完全不懂得講道
[00:01:11.000 --> 00:01:15.000]  我早就不同意了 為什麼呢
[00:01:15.000 --> 00:01:21.000]  我早就說過史提反這篇道 講完有人打死他
[00:01:21.000 --> 00:01:24.000]  那就是這篇道是有實力的
[00:01:24.000 --> 00:01:29.000]  如果有人講完之後很悶 睡著了 流口水
[00:01:29.000 --> 00:01:34.000]  那這篇道就沒有實力了 怎會用石頭打死你呢
[00:01:34.000 --> 00:01:38.000]  那就是說史提反這篇道是講很重要的東西
[00:01:38.000 --> 00:01:43.000]  並且真的讓當時的猶太人不打死他是不行的
[00:01:43.000 --> 00:01:47.000]  如果不打死他 猶太教會就會倒塌
[00:01:47.000 --> 00:01:49.000]  那麼重要的
[00:01:49.000 --> 00:01:53.000]  所以今天我們要看的是 究竟史提反講了什麼
[00:01:53.000 --> 00:01:59.000]  很長的 但我習慣了長話短說
[00:01:59.000 --> 00:02:02.000]  先看史提反是什麼人
[00:02:02.000 --> 00:02:05.000]  史提反在聖經裏面描述他
[00:02:05.000 --> 00:02:09.000]  是一個被聖靈充滿智慧充足
[00:02:09.000 --> 00:02:13.000]  另外也說他是大有信心 聖靈充滿智慧充足
[00:02:13.000 --> 00:02:15.000]  大有信心 聖靈充滿
[00:02:15.000 --> 00:02:20.000]  還有他是一個滿得欣慰能力的人
[00:02:20.000 --> 00:02:24.000]  那就是說史提反是真的有很多好處的
[00:02:24.000 --> 00:02:28.000]  雖然他做執事 管理飯食
[00:02:28.000 --> 00:02:32.000]  不是因為他管理飯食做執事才有這些
